cell_id,Phylloscopus humei,Phylloscopus humei humei,Phylloscopus humei mandellii
820767fffffffff,5.0,0.0,0.0
8208b7fffffffff,3.0,0.0,0.0
82099ffffffffff,2.0,0.0,0.0
8210effffffffff,4.0,0.0,0.0
82182ffffffffff,1.0,0.0,0.0
82184ffffffffff,27.0,0.0,0.0
821947fffffffff,28.0,0.0,0.0
82194ffffffffff,71.0,0.0,0.0
821957fffffffff,2.0,0.0,0.0
82195ffffffffff,5.0,0.0,0.0
82196ffffffffff,21.0,0.0,0.0
821977fffffffff,1.0,0.0,0.0
821e0ffffffffff,1.0,0.0,0.0
821e1ffffffffff,1.0,0.0,0.0
821e2ffffffffff,1.0,0.0,0.0
821e87fffffffff,2.0,0.0,0.0
821ea7fffffffff,11.0,0.0,0.0
821ec7fffffffff,6.0,0.0,0.0
821ecffffffffff,7.0,0.0,0.0
821edffffffffff,21.0,0.0,0.0
821f07fffffffff,6.0,0.0,0.0
821f0ffffffffff,8.0,0.0,0.0
821f17fffffffff,4.0,0.0,0.0
821f27fffffffff,1.0,0.0,0.0
821f2ffffffffff,21.0,4.0,0.0
821f37fffffffff,5.0,0.0,0.0
821f4ffffffffff,4.0,0.0,0.0
821f77fffffffff,29.0,0.0,0.0
821f87fffffffff,2.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0
821fa7fffffffff,6.0,0.0,0.0
821faffffffffff,2.0,0.0,0.0
821fb7fffffffff,1.0,0.0,0.0
822017fffffffff,4.0,0.0,0.0
82201ffffffffff,4.0,0.0,0.0
822087fffffffff,2.0,0.0,0.0
82208ffffffffff,1.0,0.0,0.0
82209ffffffffff,2.0,0.0,0.0
8220a7fffffffff,4.0,0.0,0.0
8220affffffffff,8.0,0.0,0.0
8220e7fffffffff,14.0,2.0,0.0
8220f7fffffffff,3.0,0.0,0.0
822517fffffffff,114.0,36.0,0.0
8225affffffffff,19.0,8.0,0.0
822c97fffffffff,49.0,0.0,0.0
822cc7fffffffff,3.0,0.0,0.0
822cdffffffffff,1.0,0.0,0.0
822cf7fffffffff,23.0,0.0,0.0
822d07fffffffff,1.0,0.0,0.0
822da7fffffffff,7.0,0.0,0.0
822db7fffffffff,82.0,0.0,0.0
823037fffffffff,2.0,0.0,0.0
82309ffffffffff,7.0,0.0,0.0
8230e7fffffffff,1.0,0.0,0.0
823117fffffffff,2.0,0.0,0.0
823187fffffffff,1.0,0.0,1.0
82318ffffffffff,12.0,0.0,0.0
8231a7fffffffff,3.0,0.0,0.0
8231affffffffff,80.0,0.0,0.0
823917fffffffff,43.0,0.0,0.0
82391ffffffffff,17.0,0.0,0.0
823927fffffffff,1.0,0.0,0.0
82392ffffffffff,47.0,0.0,0.0
823937fffffffff,18.0,0.0,0.0
823947fffffffff,27.0,0.0,0.0
82395ffffffffff,3.0,0.0,0.0
82396ffffffffff,2.0,0.0,0.0
823977fffffffff,14.0,0.0,0.0
823987fffffffff,1.0,0.0,0.0
8239affffffffff,2.0,0.0,0.0
823c07fffffffff,2.0,0.0,0.0
823c0ffffffffff,50.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0
823c1ffffffffff,52.0,1.0,0.0
823c37fffffffff,5.0,0.0,0.0
823c57fffffffff,17.0,0.0,0.0
823c5ffffffffff,12.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0
823c8ffffffffff,3.0,0.0,0.0
823c97fffffffff,37.0,0.0,0.0
823ca7fffffffff,2.0,0.0,0.0
823caffffffffff,134.0,0.0,0.0
823cb7fffffffff,4.0,0.0,0.0
823cc7fffffffff,6.0,0.0,0.0
823ccffffffffff,4.0,0.0,0.0
823cdffffffffff,5.0,0.0,0.0
823ce7fffffffff,150.0,0.0,5.0
823ceffffffffff,78.0,0.0,0.0
823cf7fffffffff,25.0,0.0,0.0
823d07fffffffff,9.0,0.0,0.0
823d17fffffffff,85.0,0.0,0.0
823d27fffffffff,9.0,0.0,0.0
823d37fffffffff,16.0,0.0,0.0
823d87fffffffff,7.0,0.0,0.0
823d8ffffffffff,2.0,0.0,0.0
823d97fffffffff,2.0,0.0,0.0
823d9ffffffffff,5.0,0.0,0.0
823da7fffffffff,2.0,0.0,0.0
823daffffffffff,9.0,0.0,0.0
823e6ffffffffff,55.0,0.0,0.0
