cell_id,Lathrotriccus euleri,Lathrotriccus euleri [flaviventris Group],Lathrotriccus euleri euleri/argentinus
835f03fffffffff,3.0,0.0,0.0
835f14fffffffff,6.0,0.0,0.0
835f1efffffffff,1.0,0.0,0.0
835f22fffffffff,1.0,0.0,0.0
835f40fffffffff,2.0,1.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f48fffffffff,2.0,0.0,0.0
835f4afffffffff,5.0,0.0,0.0
835f50fffffffff,4.0,0.0,0.0
835f58fffffffff,499.0,0.0,0.0
835f59fffffffff,8.0,0.0,0.0
835f5bfffffffff,20.0,0.0,0.0
835f68fffffffff,2.0,0.0,0.0
835f71fffffffff,6.0,0.0,0.0
835f75fffffffff,3.0,0.0,0.0
836621fffffffff,6.0,0.0,0.0
836629fffffffff,1.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0
83662efffffffff,5.0,0.0,0.0
836641fffffffff,95.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836652fffffffff,13.0,0.0,0.0
836654fffffffff,12.0,0.0,0.0
836656fffffffff,13.0,0.0,0.0
83665afffffffff,1.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
83666efffffffff,1.0,0.0,0.0
836672fffffffff,1.0,0.0,0.0
8366c0fffffffff,5.0,0.0,0.0
8366c2fffffffff,5.0,0.0,0.0
8366cefffffffff,27.0,0.0,0.0
8366d8fffffffff,4.0,0.0,0.0
8366dafffffffff,49.0,4.0,0.0
8366dcfffffffff,57.0,4.0,0.0
8366ddfffffffff,2.0,0.0,0.0
8366defffffffff,188.0,29.0,0.0
8366e1fffffffff,2.0,0.0,0.0
8366e5fffffffff,8.0,0.0,0.0
8366e8fffffffff,2.0,0.0,0.0
8366ecfffffffff,287.0,0.0,0.0
8366eefffffffff,13.0,0.0,0.0
836742fffffffff,14.0,0.0,0.0
836743fffffffff,81.0,3.0,0.0
83674cfffffffff,13.0,0.0,0.0
83674efffffffff,14.0,0.0,0.0
836751fffffffff,9.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0
83675cfffffffff,26.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0
838000fffffffff,2.0,0.0,0.0
838002fffffffff,11.0,0.0,0.0
838005fffffffff,3.0,0.0,0.0
838006fffffffff,4.0,0.0,0.0
838010fffffffff,90.0,0.0,0.0
838014fffffffff,8.0,0.0,0.0
838029fffffffff,3.0,0.0,0.0
838030fffffffff,14.0,0.0,0.0
838036fffffffff,85.0,0.0,0.0
83806bfffffffff,1.0,0.0,0.0
838071fffffffff,2.0,0.0,0.0
838101fffffffff,3.0,0.0,0.0
838102fffffffff,47.0,0.0,0.0
838104fffffffff,1.0,0.0,0.0
838106fffffffff,7.0,0.0,0.0
838111fffffffff,3.0,0.0,0.0
838114fffffffff,4.0,0.0,0.0
838116fffffffff,5.0,0.0,0.0
838118fffffffff,2.0,0.0,0.0
83811efffffffff,3.0,0.0,0.0
838121fffffffff,76.0,0.0,0.0
838124fffffffff,88.0,0.0,0.0
83812bfffffffff,2.0,0.0,0.0
83812dfffffffff,10.0,0.0,0.0
838130fffffffff,40.0,0.0,0.0
838132fffffffff,35.0,0.0,0.0
838133fffffffff,100.0,0.0,0.0
838134fffffffff,13.0,0.0,0.0
838136fffffffff,96.0,0.0,0.0
838140fffffffff,6.0,0.0,0.0
838143fffffffff,2.0,0.0,0.0
838144fffffffff,3.0,0.0,0.0
838145fffffffff,5.0,0.0,0.0
838146fffffffff,3.0,0.0,0.0
83814afffffffff,19.0,0.0,0.0
83814dfffffffff,35.0,0.0,0.0
83814efffffffff,16.0,0.0,0.0
838158fffffffff,4.0,0.0,0.0
83815afffffffff,3.0,0.0,0.0
83815cfffffffff,3.0,0.0,0.0
83815dfffffffff,13.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838163fffffffff,29.0,0.0,0.0
838171fffffffff,115.0,0.0,0.0
838172fffffffff,2.0,0.0,0.0
838175fffffffff,8.0,0.0,0.0
838180fffffffff,9.0,0.0,0.0
838181fffffffff,169.0,0.0,0.0
838183fffffffff,1.0,0.0,0.0
838185fffffffff,100.0,0.0,0.0
83818efffffffff,23.0,0.0,0.0
838a00fffffffff,1.0,0.0,0.0
838a06fffffffff,1.0,0.0,0.0
