cell_id,Pachysylvia decurtata,Pachysylvia decurtata decurtata/darienensis,Pachysylvia decurtata minor
8444249ffffffff,7.0,0.0,0.0
8445011ffffffff,1.0,0.0,0.0
8445013ffffffff,2.0,0.0,0.0
8445019ffffffff,179.0,0.0,0.0
844501bffffffff,21.0,2.0,0.0
8445053ffffffff,60.0,0.0,0.0
8445059ffffffff,4.0,0.0,0.0
844505bffffffff,165.0,0.0,0.0
8445083ffffffff,22.0,0.0,0.0
8445085ffffffff,193.0,24.0,0.0
8445087ffffffff,90.0,0.0,0.0
844508dffffffff,42.0,0.0,0.0
8445099ffffffff,2.0,0.0,0.0
84450a1ffffffff,233.0,3.0,0.0
84450a3ffffffff,102.0,0.0,0.0
84450a5ffffffff,85.0,11.0,0.0
84450a7ffffffff,3.0,0.0,0.0
84450a9ffffffff,61.0,7.0,0.0
84450abffffffff,54.0,4.0,0.0
84450b1ffffffff,2.0,0.0,0.0
84450b5ffffffff,8.0,0.0,0.0
84450b9ffffffff,2.0,0.0,0.0
84450bdffffffff,9.0,0.0,0.0
84450c1ffffffff,23.0,1.0,0.0
84450c3ffffffff,4.0,0.0,0.0
84450c5ffffffff,120.0,8.0,0.0
84450c7ffffffff,3.0,0.0,0.0
84450cdffffffff,35.0,9.0,0.0
84450d1ffffffff,14.0,0.0,0.0
84450d3ffffffff,82.0,0.0,0.0
84450d5ffffffff,15.0,0.0,0.0
84450d9ffffffff,4.0,0.0,0.0
84450ddffffffff,22.0,0.0,0.0
84450e1ffffffff,6.0,0.0,0.0
84450e3ffffffff,338.0,18.0,0.0
84450ebffffffff,218.0,35.0,0.0
844519bffffffff,2.0,0.0,0.0
8445201ffffffff,2.0,0.0,0.0
8445203ffffffff,287.0,8.0,0.0
8445205ffffffff,129.0,0.0,0.0
8445207ffffffff,51.0,0.0,0.0
844520bffffffff,186.0,3.0,0.0
844520dffffffff,42.0,0.0,0.0
8445211ffffffff,31.0,0.0,0.0
8445213ffffffff,103.0,0.0,0.0
8445215ffffffff,1268.0,0.0,0.0
8445217ffffffff,496.0,0.0,0.0
8445219ffffffff,14.0,4.0,0.0
844521bffffffff,4.0,0.0,0.0
844521dffffffff,275.0,6.0,0.0
8445221ffffffff,330.0,0.0,0.0
8445223ffffffff,14.0,0.0,0.0
8445225ffffffff,1093.0,0.0,0.0
844522bffffffff,39.0,0.0,0.0
844522dffffffff,9.0,0.0,0.0
8445233ffffffff,1264.0,0.0,0.0
844523bffffffff,130.0,0.0,0.0
8445249ffffffff,24.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445253ffffffff,10.0,0.0,0.0
8445255ffffffff,11.0,0.0,0.0
8445257ffffffff,117.0,2.0,0.0
8445261ffffffff,1.0,0.0,0.0
8445263ffffffff,407.0,0.0,0.0
8445267ffffffff,3.0,0.0,0.0
844526bffffffff,42.0,0.0,0.0
8445281ffffffff,80.0,0.0,0.0
8445283ffffffff,54.0,14.0,0.0
8445285ffffffff,70.0,12.0,0.0
8445287ffffffff,278.0,47.0,0.0
8445289ffffffff,747.0,8.0,0.0
844528dffffffff,243.0,7.0,0.0
8445291ffffffff,12.0,4.0,0.0
844529bffffffff,3.0,0.0,0.0
84452a1ffffffff,131.0,14.0,0.0
84452a3ffffffff,13.0,0.0,0.0
84452a5ffffffff,543.0,0.0,0.0
84452a7ffffffff,31.0,4.0,0.0
84452a9ffffffff,812.0,0.0,0.0
84452abffffffff,52.0,2.0,0.0
84452adffffffff,1458.0,0.0,0.0
84452b3ffffffff,2.0,0.0,0.0
84452b5ffffffff,18.0,1.0,0.0
84452b9ffffffff,125.0,29.0,0.0
84452bdffffffff,172.0,15.0,0.0
84452c1ffffffff,44.0,2.0,0.0
84452c3ffffffff,594.0,77.0,0.0
84452c5ffffffff,141.0,32.0,0.0
84452c7ffffffff,578.0,29.0,0.0
84452c9ffffffff,81.0,22.0,0.0
84452cbffffffff,8.0,1.0,0.0
84452cdffffffff,7.0,0.0,0.0
84452d5ffffffff,17.0,0.0,0.0
84452d9ffffffff,228.0,59.0,0.0
84452dbffffffff,23.0,0.0,0.0
84452e1ffffffff,5978.0,0.0,0.0
84452e3ffffffff,593.0,0.0,0.0
84452e5ffffffff,2550.0,0.0,0.0
84452e7ffffffff,232.0,0.0,0.0
84452e9ffffffff,344.0,0.0,0.0
84452ebffffffff,2077.0,333.0,0.0
84452edffffffff,316.0,0.0,0.0
8445303ffffffff,3.0,0.0,0.0
8445305ffffffff,20.0,0.0,0.0
844530dffffffff,11.0,0.0,0.0
