cell_id,Spindalis zena,Spindalis zena zena,Spindalis zena townsendi,Spindalis zena pretrei,Spindalis zena salvini,Spindalis zena benedicti
8444301ffffffff,12.0,0.0,0.0,11.0,0.0,0.0
8444305ffffffff,35.0,0.0,0.0,6.0,0.0,0.0
8444309ffffffff,109.0,0.0,0.0,65.0,0.0,0.0
844430dffffffff,737.0,0.0,0.0,417.0,0.0,0.0
8444325ffffffff,103.0,0.0,0.0,37.0,0.0,0.0
8444329ffffffff,611.0,0.0,0.0,316.0,0.0,0.0
844432dffffffff,10.0,0.0,0.0,9.0,0.0,0.0
8444347ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844434bffffffff,167.0,0.0,0.0,93.0,0.0,0.0
8444363ffffffff,47.0,0.0,0.0,18.0,0.0,0.0
844480dffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8444843ffffffff,18.0,0.0,4.0,0.0,0.0,0.0
8444847ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
844484bffffffff,251.0,0.0,32.0,0.0,0.0,0.0
8444859ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
844485dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8444861ffffffff,91.0,0.0,3.0,0.0,0.0,0.0
8444869ffffffff,280.0,0.0,27.0,0.0,0.0,0.0
844486bffffffff,192.0,0.0,0.0,0.0,0.0,0.0
844486dffffffff,41.0,0.0,14.0,0.0,0.0,0.0
8444a27ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8444a2dffffffff,45.0,14.0,0.0,0.0,0.0,0.0
8444a37ffffffff,82.0,0.0,16.0,0.0,0.0,0.0
8444a67ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8444b05ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8444b07ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8444b13ffffffff,37.0,0.0,0.0,0.0,0.0,0.0
8444b17ffffffff,151.0,0.0,31.0,0.0,0.0,0.0
8444b2bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8444b39ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8444b51ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8444b53ffffffff,44.0,1.0,0.0,0.0,0.0,0.0
8444b57ffffffff,231.0,44.0,0.0,0.0,0.0,0.0
8444b59ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8444b5bffffffff,76.0,24.0,0.0,0.0,0.0,0.0
8444b5dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8444b63ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8444b67ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84450adffffffff,815.0,0.0,0.0,0.0,0.0,519.0
84451b7ffffffff,17.0,0.0,0.0,4.0,0.0,0.0
84451d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8445833ffffffff,38.0,0.0,0.0,30.0,0.0,0.0
8445837ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8445883ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8445889ffffffff,119.0,0.0,0.0,62.0,0.0,0.0
844588bffffffff,4.0,0.0,0.0,2.0,0.0,0.0
8445899ffffffff,6.0,0.0,0.0,1.0,0.0,0.0
844589dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84458a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84458c3ffffffff,9.0,0.0,0.0,4.0,0.0,0.0
84458c7ffffffff,333.0,0.0,0.0,173.0,0.0,0.0
84458c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84458d3ffffffff,6.0,0.0,0.0,2.0,0.0,0.0
84458d5ffffffff,143.0,0.0,0.0,69.0,0.0,0.0
84458e1ffffffff,133.0,0.0,0.0,71.0,0.0,0.0
84458e5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84458e7ffffffff,18.0,0.0,0.0,2.0,0.0,0.0
84458ebffffffff,6.0,0.0,0.0,6.0,0.0,0.0
84458edffffffff,96.0,0.0,0.0,56.0,0.0,0.0
8445905ffffffff,4.0,0.0,0.0,2.0,0.0,0.0
8445909ffffffff,26.0,0.0,0.0,2.0,0.0,0.0
844590dffffffff,3.0,0.0,0.0,2.0,0.0,0.0
8445911ffffffff,71.0,0.0,0.0,38.0,0.0,0.0
8445913ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8445923ffffffff,5.0,0.0,0.0,1.0,0.0,0.0
8445925ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8445929ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8445933ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
