cell_id,Lurocalis semitorquatus,Lurocalis semitorquatus [semitorquatus Group],Lurocalis semitorquatus nattereri
8445203ffffffff,2.0,0.0,0.0
8445215ffffffff,4.0,0.0,0.0
844521dffffffff,4.0,0.0,0.0
8445233ffffffff,3.0,0.0,0.0
8445289ffffffff,3.0,0.0,0.0
84452c3ffffffff,34.0,0.0,0.0
84452c7ffffffff,23.0,0.0,0.0
84452c9ffffffff,9.0,0.0,0.0
84452e3ffffffff,2.0,0.0,0.0
84452ebffffffff,8.0,0.0,0.0
845f017ffffffff,1.0,1.0,0.0
845f4a3ffffffff,2.0,0.0,0.0
845f583ffffffff,2.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0
846622bffffffff,3.0,3.0,0.0
8466529ffffffff,4.0,0.0,0.0
8466a05ffffffff,1.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0
8466d1bffffffff,1.0,0.0,0.0
8466f03ffffffff,4.0,0.0,0.0
8467417ffffffff,2.0,0.0,0.0
84674c7ffffffff,4.0,0.0,0.0
84674e5ffffffff,1.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0
846d2cbffffffff,1.0,0.0,0.0
846d2ddffffffff,7.0,0.0,0.0
846d69dffffffff,2.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
8480363ffffffff,2.0,0.0,0.0
8481021ffffffff,2.0,0.0,2.0
8481023ffffffff,9.0,0.0,9.0
8481029ffffffff,14.0,0.0,1.0
8481063ffffffff,2.0,0.0,0.0
8481149ffffffff,4.0,0.0,0.0
8481167ffffffff,2.0,0.0,0.0
84811e1ffffffff,6.0,0.0,6.0
84811e9ffffffff,3.0,0.0,3.0
84812bdffffffff,4.0,0.0,0.0
8481307ffffffff,1.0,0.0,0.0
8481321ffffffff,4.0,0.0,0.0
8481339ffffffff,35.0,0.0,0.0
8481343ffffffff,2.0,0.0,0.0
8481363ffffffff,42.0,0.0,0.0
848145dffffffff,3.0,0.0,0.0
848146bffffffff,2.0,0.0,0.0
8481635ffffffff,1.0,0.0,0.0
8481713ffffffff,8.0,0.0,0.0
8481851ffffffff,57.0,0.0,19.0
8481857ffffffff,46.0,0.0,8.0
8481ad1ffffffff,2.0,0.0,0.0
848a925ffffffff,2.0,2.0,0.0
848ad13ffffffff,2.0,0.0,0.0
848b637ffffffff,2.0,2.0,0.0
848b75dffffffff,1.0,0.0,0.0
848b9d5ffffffff,5.0,0.0,0.0
848f42dffffffff,2.0,0.0,0.0
84a5969ffffffff,43.0,0.0,0.0
84a8101ffffffff,4.0,0.0,0.0
84a8109ffffffff,4.0,0.0,0.0
84a8121ffffffff,1.0,0.0,0.0
84a8123ffffffff,1.0,0.0,0.0
84a8143ffffffff,5.0,0.0,0.0
84a8155ffffffff,1.0,0.0,0.0
84a815bffffffff,1.0,0.0,1.0
84a818dffffffff,2.0,0.0,0.0
84a81edffffffff,2.0,0.0,0.0
84a831dffffffff,1.0,0.0,0.0
84a882dffffffff,1.0,0.0,0.0
84a8917ffffffff,2.0,0.0,0.0
84a8c0dffffffff,2.0,0.0,0.0
84a9461ffffffff,8.0,0.0,0.0
84a9465ffffffff,6.0,0.0,0.0
84a9507ffffffff,1.0,0.0,0.0
84a950dffffffff,1.0,0.0,0.0
84a953bffffffff,5.0,0.0,0.0
84a9559ffffffff,7.0,0.0,0.0
84a95edffffffff,1.0,0.0,0.0
84a9685ffffffff,2.0,0.0,0.0
84a9733ffffffff,2.0,0.0,0.0
84b3421ffffffff,1.0,0.0,0.0
84b3425ffffffff,10.0,0.0,2.0
84b342bffffffff,2.0,0.0,0.0
84b35c1ffffffff,2.0,0.0,0.0
84b35e1ffffffff,2.0,0.0,0.0
