cell_id,Alaemon alaudipes,Alaemon alaudipes boavistae,Alaemon alaudipes [alaudipes Group]
832c36fffffffff,1.0,0.0,0.0
832c91fffffffff,6.0,0.0,0.0
832c93fffffffff,3.0,0.0,0.0
832d94fffffffff,3.0,0.0,0.0
832da1fffffffff,19.0,0.0,0.0
832da8fffffffff,1.0,0.0,0.0
832dabfffffffff,11.0,0.0,0.0
832db2fffffffff,1.0,0.0,0.0
832db3fffffffff,2.0,0.0,0.0
833854fffffffff,1.0,0.0,0.0
8338c8fffffffff,1.0,0.0,0.0
8338dbfffffffff,2.0,0.0,0.0
834251fffffffff,33.0,0.0,0.0
834253fffffffff,23.0,0.0,1.0
8342c1fffffffff,29.0,0.0,0.0
8342c4fffffffff,7.0,0.0,0.0
8342c5fffffffff,47.0,0.0,0.0
8342e3fffffffff,17.0,0.0,0.0
834392fffffffff,2.0,0.0,2.0
834396fffffffff,2.0,0.0,2.0
8343a1fffffffff,16.0,0.0,0.0
8343a6fffffffff,1.0,0.0,0.0
8343aefffffffff,1.0,0.0,0.0
83524dfffffffff,2.0,0.0,2.0
835269fffffffff,1.0,0.0,1.0
8354b0fffffffff,9.0,9.0,0.0
835900fffffffff,2.0,0.0,0.0
835901fffffffff,1.0,0.0,0.0
83590cfffffffff,2.0,0.0,0.0
83590efffffffff,1.0,0.0,0.0
836335fffffffff,2.0,0.0,2.0
836336fffffffff,5.0,0.0,5.0
