cell_id,Cinnyris notatus,Cinnyris notatus moebii,Cinnyris notatus voeltzkowi,Cinnyris notatus notatus
83a204fffffffff,6.0,0.0,0.0,0.0
83a210fffffffff,2.0,0.0,0.0,0.0
83a214fffffffff,281.0,0.0,0.0,0.0
83a215fffffffff,13.0,0.0,0.0,0.0
83a222fffffffff,213.0,0.0,0.0,0.0
83a223fffffffff,4.0,0.0,0.0,0.0
83a230fffffffff,8.0,0.0,0.0,0.0
83a231fffffffff,317.0,0.0,0.0,0.0
83a233fffffffff,11.0,0.0,0.0,0.0
83a234fffffffff,1.0,0.0,0.0,0.0
83a235fffffffff,53.0,0.0,0.0,0.0
83a2a3fffffffff,10.0,0.0,0.0,0.0
83a2a4fffffffff,11.0,0.0,0.0,0.0
83a2aefffffffff,14.0,0.0,0.0,0.0
83a308fffffffff,20.0,0.0,0.0,0.0
83a309fffffffff,31.0,0.0,0.0,0.0
83a30afffffffff,1.0,0.0,0.0,0.0
83a30cfffffffff,5.0,0.0,0.0,0.0
83a30efffffffff,3.0,0.0,0.0,0.0
83a318fffffffff,9.0,0.0,0.0,0.0
83a319fffffffff,105.0,0.0,0.0,0.0
83a31bfffffffff,5.0,0.0,0.0,0.0
83a31dfffffffff,8.0,0.0,0.0,0.0
83a331fffffffff,18.0,0.0,0.0,0.0
83a335fffffffff,32.0,0.0,0.0,0.0
83a356fffffffff,40.0,0.0,0.0,0.0
83a372fffffffff,2.0,0.0,0.0,0.0
83a376fffffffff,8.0,0.0,0.0,0.0
83a38bfffffffff,40.0,0.0,0.0,0.0
83a38cfffffffff,6.0,0.0,0.0,0.0
83a38dfffffffff,14.0,0.0,0.0,0.0
83a399fffffffff,62.0,0.0,0.0,0.0
83a3a9fffffffff,1.0,0.0,0.0,0.0
83a3abfffffffff,4.0,0.0,0.0,0.0
83a3adfffffffff,3.0,0.0,0.0,0.0
