cell_id,Todiramphus chloris,Todiramphus chloris abyssinicus,Todiramphus chloris kalbaensis,Todiramphus chloris [humii Group],Todiramphus chloris occipitalis,Todiramphus chloris [chloris Group]
823c8ffffffffff,276.0,0.0,0.0,0.0,0.0,0.0
823cc7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
823cd7fffffffff,99.0,0.0,0.0,1.0,0.0,0.0
823cdffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
823cf7fffffffff,733.0,0.0,0.0,45.0,0.0,0.0
824147fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8243affffffffff,183.0,0.0,90.0,0.0,0.0,0.0
824a97fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
824b97fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
824b9ffffffffff,29.0,0.0,0.0,0.0,0.0,6.0
825217fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8260affffffffff,237.0,0.0,0.0,0.0,0.0,0.0
82640ffffffffff,2459.0,0.0,0.0,0.0,0.0,0.0
826417fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
826427fffffffff,150.0,0.0,0.0,31.0,0.0,0.0
82642ffffffffff,114.0,0.0,0.0,0.0,0.0,0.0
826437fffffffff,407.0,0.0,0.0,112.0,0.0,0.0
8264a7fffffffff,160.0,0.0,0.0,42.0,0.0,0.0
8264affffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8264e7fffffffff,669.0,0.0,0.0,0.0,0.0,0.0
826507fffffffff,577.0,0.0,0.0,32.0,0.0,0.0
82650ffffffffff,51.0,0.0,0.0,0.0,0.0,0.0
826517fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82651ffffffffff,411.0,0.0,0.0,46.0,0.0,0.0
826527fffffffff,3469.0,0.0,0.0,38.0,0.0,0.0
82652ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
826537fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
826557fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
826577fffffffff,24.0,0.0,0.0,0.0,0.0,5.0
826587fffffffff,530.0,0.0,0.0,0.0,0.0,19.0
82658ffffffffff,2753.0,0.0,0.0,811.0,0.0,0.0
8265a7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8265b7fffffffff,128.0,0.0,0.0,3.0,0.0,8.0
826807fffffffff,105.0,0.0,0.0,0.0,0.0,4.0
826817fffffffff,515.0,0.0,0.0,0.0,0.0,63.0
82681ffffffffff,687.0,0.0,0.0,0.0,0.0,57.0
82682ffffffffff,635.0,0.0,0.0,0.0,0.0,133.0
826847fffffffff,341.0,0.0,0.0,0.0,0.0,57.0
82684ffffffffff,97.0,0.0,0.0,0.0,0.0,19.0
826857fffffffff,63.0,0.0,0.0,0.0,0.0,15.0
82685ffffffffff,757.0,0.0,0.0,0.0,0.0,85.0
826867fffffffff,94.0,0.0,0.0,0.0,0.0,42.0
82686ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
826877fffffffff,131.0,0.0,0.0,0.0,0.0,12.0
826897fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
82689ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8268a7fffffffff,61.0,0.0,0.0,0.0,0.0,1.0
8268c7fffffffff,55.0,0.0,0.0,0.0,0.0,2.0
8268cffffffffff,444.0,0.0,0.0,0.0,0.0,85.0
8268d7fffffffff,247.0,0.0,0.0,0.0,0.0,94.0
8268dffffffffff,43.0,0.0,0.0,0.0,0.0,21.0
8268e7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8268f7fffffffff,19.0,0.0,0.0,0.0,0.0,1.0
826937fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
826947fffffffff,2190.0,0.0,0.0,0.0,0.0,40.0
82694ffffffffff,1387.0,0.0,0.0,0.0,0.0,56.0
82695ffffffffff,181.0,0.0,0.0,0.0,0.0,36.0
82696ffffffffff,90.0,0.0,0.0,0.0,0.0,4.0
82699ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
827297fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8272f7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82731ffffffffff,1960.0,0.0,0.0,0.0,0.0,0.0
827397fffffffff,25.0,0.0,0.0,0.0,0.0,3.0
82739ffffffffff,32.0,0.0,0.0,0.0,0.0,5.0
8273b7fffffffff,8.0,0.0,0.0,0.0,0.0,2.0
828c17fffffffff,573.0,0.0,0.0,0.0,0.0,72.0
828c1ffffffffff,17.0,0.0,0.0,0.0,0.0,1.0
828c8ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
828c97fffffffff,89.0,0.0,0.0,0.0,0.0,8.0
828c9ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
828caffffffffff,91.0,0.0,0.0,0.0,0.0,12.0
828cc7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828cd7fffffffff,11.0,0.0,0.0,0.0,0.0,5.0
828cdffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
828ce7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
828d87fffffffff,40.0,0.0,0.0,0.0,0.0,7.0
828d8ffffffffff,53.0,0.0,0.0,0.0,0.0,4.0
828d97fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
828da7fffffffff,215.0,0.0,0.0,0.0,0.0,41.0
828daffffffffff,5.0,0.0,0.0,0.0,0.0,2.0
828db7fffffffff,742.0,0.0,0.0,0.0,0.0,232.0
829407fffffffff,17.0,0.0,0.0,0.0,0.0,10.0
829427fffffffff,46.0,0.0,0.0,0.0,0.0,9.0
82942ffffffffff,250.0,0.0,0.0,0.0,0.0,74.0
829437fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
829467fffffffff,130.0,0.0,0.0,0.0,0.0,21.0
829507fffffffff,96.0,0.0,0.0,0.0,0.0,40.0
82950ffffffffff,16.0,0.0,0.0,0.0,0.0,12.0
829517fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82951ffffffffff,225.0,0.0,0.0,0.0,0.0,48.0
829527fffffffff,10.0,0.0,0.0,0.0,0.0,8.0
82952ffffffffff,7.0,0.0,0.0,0.0,0.0,6.0
829547fffffffff,95.0,0.0,0.0,0.0,0.0,6.0
82954ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
829557fffffffff,55.0,0.0,0.0,0.0,0.0,7.0
82955ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0
829567fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
82956ffffffffff,67.0,0.0,0.0,0.0,0.0,10.0
8295a7fffffffff,460.0,0.0,0.0,0.0,0.0,114.0
8295affffffffff,66.0,0.0,0.0,0.0,0.0,10.0
