cell_id,Scytalopus meridanus,Scytalopus meridanus meridanus,Scytalopus meridanus fuscicauda
836629fffffffff,313.0,17.0,0.0
83662bfffffffff,115.0,6.0,0.0
83662dfffffffff,15.0,0.0,1.0
83675afffffffff,346.0,0.0,3.0
83675efffffffff,40.0,0.0,0.0
