cell_id,Anthoscopus caroli,Anthoscopus caroli [ansorgei Group],Anthoscopus caroli sylviella/sharpei,Anthoscopus caroli roccatii,Anthoscopus caroli rankinei,Anthoscopus caroli [caroli Group]
826ac7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
826acffffffffff,83.0,0.0,0.0,0.0,0.0,0.0
826adffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
826aeffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
827a4ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0
827a67fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
827a6ffffffffff,82.0,0.0,21.0,0.0,0.0,0.0
827b4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
827b6ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8282a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828337fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829607fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
82960ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
829617fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
829627fffffffff,13.0,0.0,0.0,0.0,0.0,2.0
82962ffffffffff,13.0,0.0,0.0,0.0,0.0,5.0
829637fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
829657fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829677fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
829697fffffffff,37.0,0.0,5.0,0.0,0.0,0.0
8296a7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8296affffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8296b7fffffffff,92.0,5.0,11.0,9.0,0.0,2.0
829707fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
82970ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
829717fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
82971ffffffffff,36.0,0.0,0.0,0.0,0.0,0.0
829727fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82972ffffffffff,40.0,0.0,0.0,0.0,0.0,8.0
829737fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829747fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82974ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
829757fffffffff,39.0,0.0,0.0,0.0,0.0,6.0
82975ffffffffff,28.0,0.0,0.0,0.0,0.0,1.0
829777fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82978ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8297affffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82ac97fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82bc8ffffffffff,29.0,0.0,0.0,0.0,0.0,0.0
82bc9ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82bcd7fffffffff,88.0,0.0,0.0,0.0,0.0,7.0
82bcdffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
82bcf7fffffffff,207.0,0.0,0.0,0.0,0.0,32.0
