cell_id,Glaucidium capense,Glaucidium capense scheffleri,Glaucidium capense capense/ngamiense,Glaucidium capense etchecopari,Glaucidium capense castaneum
8475131ffffffff,1.0,0.0,0.0,0.0,0.0
8475293ffffffff,16.0,0.0,0.0,7.0,0.0
847529bffffffff,42.0,0.0,0.0,4.0,0.0
847b4cbffffffff,1.0,0.0,0.0,0.0,0.0
847b597ffffffff,19.0,0.0,0.0,0.0,0.0
847b5bbffffffff,2.0,0.0,0.0,0.0,0.0
847b6a9ffffffff,10.0,0.0,0.0,0.0,0.0
8483117ffffffff,4.0,0.0,1.0,0.0,0.0
8483125ffffffff,9.0,0.0,1.0,0.0,0.0
8483ac3ffffffff,1.0,0.0,1.0,0.0,0.0
8496003ffffffff,1.0,0.0,0.0,0.0,0.0
8496009ffffffff,4.0,0.0,0.0,0.0,0.0
8496015ffffffff,3.0,0.0,0.0,0.0,0.0
849602dffffffff,8.0,0.0,6.0,0.0,0.0
8496039ffffffff,5.0,0.0,4.0,0.0,0.0
8496047ffffffff,2.0,0.0,0.0,0.0,0.0
8496059ffffffff,1.0,0.0,0.0,0.0,0.0
8496097ffffffff,2.0,0.0,0.0,0.0,0.0
84960b5ffffffff,1.0,0.0,0.0,0.0,0.0
84960edffffffff,2.0,0.0,0.0,0.0,0.0
8496141ffffffff,1.0,0.0,0.0,0.0,0.0
8496151ffffffff,1.0,0.0,0.0,0.0,0.0
849615dffffffff,10.0,0.0,0.0,0.0,0.0
8496201ffffffff,13.0,0.0,0.0,0.0,0.0
8496203ffffffff,3.0,0.0,0.0,0.0,0.0
8496207ffffffff,4.0,0.0,0.0,0.0,0.0
8496219ffffffff,3.0,0.0,0.0,0.0,0.0
8496233ffffffff,1.0,0.0,0.0,0.0,0.0
849623bffffffff,3.0,0.0,0.0,0.0,0.0
8496257ffffffff,1.0,0.0,0.0,0.0,0.0
8496263ffffffff,10.0,0.0,0.0,0.0,0.0
8496283ffffffff,14.0,0.0,0.0,0.0,0.0
8496287ffffffff,5.0,0.0,0.0,0.0,0.0
849628bffffffff,6.0,0.0,0.0,0.0,0.0
84962abffffffff,2.0,0.0,0.0,0.0,0.0
84962b9ffffffff,15.0,0.0,1.0,0.0,0.0
84962bdffffffff,4.0,0.0,0.0,0.0,0.0
84962c9ffffffff,7.0,0.0,2.0,0.0,0.0
84962d7ffffffff,7.0,0.0,0.0,0.0,0.0
84962e5ffffffff,2.0,0.0,2.0,0.0,0.0
8496331ffffffff,2.0,0.0,0.0,0.0,0.0
8496335ffffffff,4.0,0.0,0.0,0.0,0.0
8496365ffffffff,2.0,0.0,0.0,0.0,0.0
8496703ffffffff,2.0,0.0,0.0,0.0,0.0
8496707ffffffff,2.0,0.0,0.0,0.0,0.0
8496753ffffffff,2.0,0.0,0.0,0.0,0.0
8496757ffffffff,8.0,0.0,0.0,0.0,0.0
8496885ffffffff,2.0,0.0,0.0,0.0,0.0
84968d3ffffffff,4.0,0.0,0.0,0.0,0.0
8496901ffffffff,11.0,0.0,0.0,0.0,0.0
8496907ffffffff,4.0,0.0,0.0,0.0,0.0
849692bffffffff,1.0,0.0,0.0,0.0,0.0
849692dffffffff,2.0,0.0,0.0,0.0,0.0
849693bffffffff,2.0,0.0,0.0,0.0,0.0
849693dffffffff,2.0,0.0,0.0,0.0,0.0
8496a59ffffffff,1.0,0.0,0.0,0.0,0.0
8496abdffffffff,2.0,0.0,0.0,0.0,0.0
8496b11ffffffff,1.0,0.0,0.0,0.0,0.0
8496b13ffffffff,4.0,0.0,0.0,0.0,0.0
8496b19ffffffff,1.0,0.0,0.0,0.0,0.0
8496b5bffffffff,1.0,0.0,0.0,0.0,0.0
