cell_id,Basileuterus rufifrons,Basileuterus rufifrons [rufifrons Group],Basileuterus rufifrons salvini
834523fffffffff,7.0,0.0,0.0
834525fffffffff,31.0,0.0,2.0
83452dfffffffff,2.0,0.0,0.0
83452efffffffff,2161.0,0.0,82.0
834564fffffffff,23.0,0.0,3.0
834802fffffffff,5.0,0.0,0.0
834803fffffffff,2.0,0.0,0.0
834809fffffffff,5.0,0.0,0.0
83480afffffffff,292.0,0.0,0.0
834810fffffffff,2.0,0.0,0.0
834814fffffffff,3.0,0.0,0.0
834815fffffffff,7.0,0.0,0.0
834816fffffffff,1.0,0.0,0.0
834818fffffffff,4.0,0.0,0.0
834819fffffffff,2.0,0.0,0.0
83481dfffffffff,51.0,0.0,0.0
834832fffffffff,11.0,0.0,0.0
834833fffffffff,348.0,8.0,0.0
834836fffffffff,1040.0,76.0,0.0
834884fffffffff,40.0,9.0,0.0
8348a2fffffffff,1731.0,54.0,0.0
8348a6fffffffff,19.0,1.0,0.0
8348b5fffffffff,56.0,2.0,0.0
8348e0fffffffff,10.0,0.0,0.0
8348e1fffffffff,14.0,0.0,0.0
8348e4fffffffff,139.0,0.0,0.0
8348e5fffffffff,10.0,0.0,0.0
834980fffffffff,299.0,4.0,0.0
834982fffffffff,47.0,0.0,0.0
834983fffffffff,125.0,0.0,0.0
834984fffffffff,1.0,0.0,0.0
834985fffffffff,53.0,3.0,0.0
834986fffffffff,191.0,43.0,0.0
834988fffffffff,54.0,0.0,0.0
83498cfffffffff,19.0,0.0,0.0
83498dfffffffff,6.0,0.0,0.0
834990fffffffff,87.0,2.0,0.0
834991fffffffff,93.0,5.0,0.0
834993fffffffff,3.0,3.0,0.0
834994fffffffff,162.0,2.0,0.0
834995fffffffff,1584.0,114.0,0.0
834996fffffffff,1481.0,176.0,0.0
834998fffffffff,154.0,5.0,0.0
834999fffffffff,2.0,0.0,0.0
83499bfffffffff,19.0,0.0,0.0
83499cfffffffff,191.0,1.0,0.0
83499dfffffffff,16.0,0.0,0.0
83499efffffffff,6.0,0.0,0.0
8349a2fffffffff,15.0,0.0,0.0
8349a3fffffffff,1.0,0.0,0.0
8349a8fffffffff,370.0,14.0,0.0
8349a9fffffffff,341.0,16.0,0.0
8349aafffffffff,310.0,17.0,0.0
8349abfffffffff,300.0,7.0,0.0
8349adfffffffff,1.0,0.0,0.0
8349b0fffffffff,30.0,0.0,0.0
8349b1fffffffff,51.0,0.0,0.0
8349b2fffffffff,88.0,0.0,0.0
8349b3fffffffff,737.0,29.0,0.0
8349b5fffffffff,73.0,0.0,0.0
8349b6fffffffff,7.0,0.0,0.0
836d04fffffffff,45.0,4.0,0.0
836d05fffffffff,197.0,30.0,0.0
836d14fffffffff,1.0,0.0,0.0
836d15fffffffff,6.0,0.0,0.0
836d20fffffffff,37.0,0.0,3.0
836d21fffffffff,111.0,2.0,21.0
836d22fffffffff,43.0,2.0,13.0
836d23fffffffff,574.0,46.0,8.0
836d25fffffffff,2.0,0.0,0.0
836d26fffffffff,2.0,0.0,0.0
836d28fffffffff,312.0,152.0,0.0
836d29fffffffff,141.0,7.0,0.0
836d2afffffffff,70.0,25.0,0.0
836d2bfffffffff,42.0,16.0,0.0
836d2cfffffffff,15.0,0.0,4.0
836d2dfffffffff,2236.0,133.0,1038.0
836d2efffffffff,163.0,11.0,7.0
836d30fffffffff,674.0,0.0,0.0
836d31fffffffff,155.0,2.0,33.0
836d32fffffffff,2702.0,67.0,0.0
836d33fffffffff,591.0,2.0,0.0
836d34fffffffff,37.0,0.0,0.0
836d35fffffffff,265.0,8.0,9.0
836d36fffffffff,192.0,8.0,0.0
