cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
831215fffffffff,2.0,0.0,0.0
831280fffffffff,2.0,0.0,0.0
831281fffffffff,2.0,0.0,0.0
831284fffffffff,2.0,0.0,0.0
831285fffffffff,43.0,0.0,0.0
831288fffffffff,54.0,0.0,0.0
831289fffffffff,318.0,0.0,0.0
83128afffffffff,5.0,0.0,0.0
83128bfffffffff,873.0,0.0,0.0
83128dfffffffff,109.0,0.0,0.0
83128efffffffff,21.0,0.0,0.0
8312a3fffffffff,4.0,0.0,0.0
8312a6fffffffff,2.0,0.0,0.0
8312a8fffffffff,3.0,0.0,0.0
8312a9fffffffff,31.0,0.0,0.0
8312aafffffffff,11.0,0.0,0.0
8312abfffffffff,346.0,0.0,0.0
8312adfffffffff,75.0,0.0,0.0
8312c0fffffffff,734.0,0.0,3.0
8312c1fffffffff,3393.0,0.0,6.0
8312c2fffffffff,45.0,0.0,0.0
8312c3fffffffff,693.0,0.0,0.0
8312c4fffffffff,68.0,0.0,0.0
8312c5fffffffff,20.0,0.0,0.0
8312c8fffffffff,352.0,0.0,0.0
8312c9fffffffff,1.0,0.0,0.0
8312cafffffffff,1142.0,0.0,0.0
8312cbfffffffff,1154.0,52.0,0.0
8312ccfffffffff,2505.0,0.0,0.0
8312cefffffffff,399.0,0.0,0.0
8312d0fffffffff,518.0,0.0,0.0
8312d1fffffffff,1592.0,0.0,0.0
8312d2fffffffff,29.0,0.0,0.0
8312d3fffffffff,1430.0,0.0,0.0
8312d4fffffffff,86.0,0.0,0.0
8312d5fffffffff,77.0,0.0,0.0
8312d6fffffffff,575.0,0.0,0.0
8312d8fffffffff,627.0,0.0,0.0
8312d9fffffffff,288.0,0.0,0.0
8312dafffffffff,808.0,0.0,0.0
8312dbfffffffff,2204.0,0.0,0.0
8312dcfffffffff,161.0,0.0,0.0
8312ddfffffffff,5663.0,0.0,0.0
8312defffffffff,2874.0,0.0,0.0
8312e1fffffffff,2.0,0.0,0.0
8312e2fffffffff,9.0,0.0,0.0
8312eafffffffff,119.0,0.0,0.0
8312f0fffffffff,4.0,0.0,0.0
8312f1fffffffff,245.0,0.0,3.0
8312f2fffffffff,32.0,0.0,0.0
8312f3fffffffff,11.0,0.0,0.0
8312f6fffffffff,176.0,0.0,0.0
831382fffffffff,2.0,0.0,0.0
831383fffffffff,2.0,0.0,0.0
831399fffffffff,7.0,0.0,0.0
832680fffffffff,1065.0,258.0,0.0
832681fffffffff,23431.0,2724.0,0.0
832682fffffffff,89.0,2.0,0.0
832683fffffffff,1758.0,421.0,0.0
832684fffffffff,284.0,14.0,0.0
832685fffffffff,3554.0,388.0,0.0
832686fffffffff,6.0,2.0,0.0
832688fffffffff,2999.0,265.0,0.0
832689fffffffff,27.0,0.0,0.0
83268afffffffff,741.0,83.0,0.0
83268bfffffffff,833.0,53.0,0.0
83268cfffffffff,10265.0,273.0,0.0
83268dfffffffff,12.0,0.0,0.0
83268efffffffff,3287.0,194.0,0.0
832690fffffffff,1005.0,0.0,0.0
832691fffffffff,14.0,0.0,0.0
832692fffffffff,178.0,0.0,0.0
832693fffffffff,47.0,0.0,0.0
832694fffffffff,540.0,0.0,0.0
832695fffffffff,216.0,0.0,0.0
832696fffffffff,5176.0,0.0,0.0
832698fffffffff,1616.0,56.0,0.0
832699fffffffff,1566.0,115.0,0.0
83269afffffffff,154.0,0.0,0.0
83269bfffffffff,278.0,78.0,0.0
83269cfffffffff,2161.0,7.0,0.0
83269dfffffffff,1649.0,146.0,0.0
83269efffffffff,336.0,0.0,0.0
8326a0fffffffff,12.0,0.0,0.0
8326a1fffffffff,25.0,0.0,0.0
8326a2fffffffff,123.0,2.0,0.0
8326a3fffffffff,40.0,0.0,0.0
8326a6fffffffff,77.0,2.0,0.0
8326a8fffffffff,24.0,4.0,0.0
8326aafffffffff,874.0,34.0,0.0
8326abfffffffff,2.0,0.0,0.0
8326aefffffffff,640.0,2.0,0.0
8326b0fffffffff,344.0,13.0,0.0
8326b1fffffffff,33.0,0.0,0.0
8326b2fffffffff,88.0,3.0,0.0
8326b3fffffffff,7.0,0.0,0.0
8326b4fffffffff,336.0,0.0,0.0
8326b5fffffffff,47.0,0.0,0.0
8326b6fffffffff,1982.0,120.0,0.0
8326d2fffffffff,4.0,0.0,0.0
8326d4fffffffff,57.0,0.0,0.0
8326d6fffffffff,26.0,0.0,0.0
8326f2fffffffff,4.0,0.0,0.0
832781fffffffff,2.0,0.0,0.0
832782fffffffff,6.0,0.0,0.0
832786fffffffff,2.0,0.0,0.0
832788fffffffff,1.0,0.0,0.0
832790fffffffff,46.0,0.0,0.0
832791fffffffff,84.0,0.0,0.0
832792fffffffff,2660.0,1.0,0.0
832793fffffffff,117.0,0.0,0.0
832795fffffffff,121.0,7.0,0.0
832796fffffffff,11.0,0.0,0.0
832798fffffffff,159.0,0.0,0.0
832799fffffffff,115.0,0.0,0.0
83279afffffffff,573.0,24.0,0.0
83279bfffffffff,70.0,3.0,0.0
83279cfffffffff,10.0,0.0,0.0
83279efffffffff,20.0,0.0,0.0
832802fffffffff,898.0,0.0,0.0
832806fffffffff,375.0,0.0,0.0
832810fffffffff,1771.0,0.0,19.0
832811fffffffff,3440.0,0.0,0.0
832812fffffffff,581.0,0.0,10.0
832813fffffffff,706.0,0.0,2.0
832814fffffffff,6557.0,0.0,4.0
832815fffffffff,217.0,0.0,7.0
832816fffffffff,86.0,0.0,0.0
832818fffffffff,12.0,0.0,0.0
83281afffffffff,455.0,0.0,0.0
83281cfffffffff,170.0,0.0,0.0
83281efffffffff,3842.0,0.0,0.0
832832fffffffff,1604.0,0.0,129.0
832833fffffffff,149.0,0.0,0.0
832836fffffffff,9.0,0.0,0.0
832880fffffffff,796.0,0.0,0.0
832881fffffffff,1378.0,0.0,0.0
832882fffffffff,48.0,0.0,0.0
832883fffffffff,750.0,0.0,0.0
832884fffffffff,2717.0,0.0,0.0
832885fffffffff,107.0,0.0,0.0
832886fffffffff,901.0,0.0,0.0
832888fffffffff,61.0,0.0,0.0
832889fffffffff,781.0,0.0,0.0
