cell_id,Cardinalis cardinalis,Cardinalis cardinalis [cardinalis Group],Cardinalis cardinalis carneus
8426001ffffffff,2.0,0.0,0.0
8426003ffffffff,6.0,0.0,0.0
8426007ffffffff,23.0,0.0,0.0
8426009ffffffff,16.0,0.0,0.0
842600bffffffff,317.0,0.0,0.0
842600dffffffff,6.0,0.0,0.0
8426011ffffffff,4.0,0.0,0.0
8426013ffffffff,16.0,0.0,0.0
8426015ffffffff,456.0,36.0,0.0
8426017ffffffff,441.0,8.0,0.0
8426019ffffffff,23.0,0.0,0.0
842601dffffffff,211.0,0.0,0.0
8426021ffffffff,25.0,0.0,0.0
8426023ffffffff,11.0,0.0,0.0
8426025ffffffff,10.0,0.0,0.0
8426027ffffffff,2.0,0.0,0.0
8426029ffffffff,9.0,0.0,0.0
842602bffffffff,16.0,0.0,0.0
842602dffffffff,2.0,0.0,0.0
8426031ffffffff,39.0,16.0,0.0
8426033ffffffff,120.0,7.0,0.0
8426035ffffffff,40.0,6.0,0.0
8426037ffffffff,4.0,0.0,0.0
8426039ffffffff,166.0,26.0,0.0
842603bffffffff,284.0,18.0,0.0
842603dffffffff,91.0,24.0,0.0
8426041ffffffff,36.0,0.0,0.0
8426043ffffffff,70.0,0.0,0.0
8426049ffffffff,6.0,0.0,0.0
842604bffffffff,24.0,0.0,0.0
8426051ffffffff,79.0,0.0,0.0
8426053ffffffff,11.0,0.0,0.0
8426055ffffffff,142.0,0.0,0.0
8426057ffffffff,7.0,0.0,0.0
8426059ffffffff,8.0,0.0,0.0
842605bffffffff,58.0,0.0,0.0
842605dffffffff,41.0,0.0,0.0
8426061ffffffff,5.0,0.0,0.0
8426063ffffffff,24.0,0.0,0.0
8426065ffffffff,8.0,0.0,0.0
8426067ffffffff,2.0,0.0,0.0
842606bffffffff,2.0,0.0,0.0
8426081ffffffff,10.0,0.0,0.0
8426083ffffffff,18.0,0.0,0.0
8426085ffffffff,952.0,30.0,0.0
8426087ffffffff,193.0,2.0,0.0
8426089ffffffff,12.0,0.0,0.0
842608bffffffff,18.0,0.0,0.0
842608dffffffff,377.0,84.0,0.0
8426091ffffffff,57.0,0.0,0.0
8426093ffffffff,108.0,0.0,0.0
8426095ffffffff,73.0,0.0,0.0
8426097ffffffff,124.0,0.0,0.0
8426099ffffffff,230.0,11.0,0.0
842609bffffffff,82.0,0.0,0.0
842609dffffffff,20.0,0.0,0.0
84260a1ffffffff,2725.0,0.0,0.0
84260a3ffffffff,66.0,0.0,0.0
84260a5ffffffff,22.0,0.0,0.0
84260a7ffffffff,61.0,0.0,0.0
84260a9ffffffff,745.0,3.0,0.0
84260abffffffff,48.0,0.0,0.0
84260adffffffff,745.0,4.0,0.0
84260b1ffffffff,138.0,0.0,0.0
84260b3ffffffff,608.0,0.0,0.0
84260b5ffffffff,98.0,0.0,0.0
84260b7ffffffff,219.0,0.0,0.0
84260b9ffffffff,1177.0,5.0,0.0
84260bbffffffff,573.0,0.0,0.0
84260bdffffffff,126.0,6.0,0.0
84260c1ffffffff,42.0,2.0,0.0
84260c3ffffffff,8.0,0.0,0.0
84260c7ffffffff,9.0,0.0,0.0
84260c9ffffffff,26.0,0.0,0.0
84260cbffffffff,43.0,2.0,0.0
84260cdffffffff,18.0,2.0,0.0
84260d1ffffffff,71.0,0.0,0.0
84260d3ffffffff,45.0,0.0,0.0
84260d5ffffffff,13.0,0.0,0.0
84260d7ffffffff,14.0,2.0,0.0
84260d9ffffffff,1885.0,9.0,0.0
84260dbffffffff,8.0,0.0,0.0
84260ddffffffff,111.0,0.0,0.0
84260e1ffffffff,115.0,11.0,0.0
84260e3ffffffff,1592.0,82.0,0.0
84260e7ffffffff,152.0,2.0,0.0
84260e9ffffffff,45.0,0.0,0.0
84260ebffffffff,305.0,20.0,0.0
84260edffffffff,55.0,0.0,0.0
8426103ffffffff,2.0,0.0,0.0
842610bffffffff,2.0,0.0,0.0
842610dffffffff,3.0,0.0,0.0
8426111ffffffff,33.0,0.0,0.0
8426113ffffffff,2.0,0.0,0.0
8426115ffffffff,28.0,0.0,0.0
8426117ffffffff,6.0,0.0,0.0
8426119ffffffff,2.0,0.0,0.0
842611bffffffff,99.0,0.0,0.0
842611dffffffff,76.0,1.0,0.0
8426133ffffffff,7.0,0.0,0.0
8426139ffffffff,1.0,0.0,0.0
842614bffffffff,81.0,0.0,0.0
8426155ffffffff,2.0,0.0,0.0
842615bffffffff,22.0,0.0,0.0
8426165ffffffff,18.0,0.0,0.0
8426181ffffffff,18.0,6.0,0.0
8426183ffffffff,705.0,21.0,0.0
8426187ffffffff,57.0,1.0,0.0
