cell_id,Gymnobucco bonapartei,Gymnobucco bonapartei bonapartei,Gymnobucco bonapartei cinereiceps
8258dffffffffff,6.0,0.0,0.0
826ac7fffffffff,262.0,0.0,0.0
826acffffffffff,72.0,0.0,0.0
826ad7fffffffff,1.0,0.0,0.0
826adffffffffff,1074.0,0.0,0.0
826aeffffffffff,12.0,0.0,0.0
827a4ffffffffff,784.0,0.0,51.0
827a6ffffffffff,65.0,0.0,0.0
828287fffffffff,4.0,0.0,0.0
82828ffffffffff,130.0,3.0,0.0
828297fffffffff,1.0,0.0,0.0
8282a7fffffffff,9.0,0.0,0.0
8282affffffffff,7.0,0.0,0.0
8282d7fffffffff,3.0,0.0,0.0
8282f7fffffffff,12.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0
82839ffffffffff,4.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
8296d7fffffffff,6.0,0.0,0.0
