cell_id,Rallus crepitans,Rallus crepitans crepitans/waynei,Rallus crepitans saturatus/scottii,Rallus crepitans [caribaeus Group],Rallus crepitans [pallidus Group]
842a101ffffffff,220.0,4.0,0.0,0.0,0.0
842a103ffffffff,1203.0,24.0,0.0,0.0,0.0
842a107ffffffff,1655.0,38.0,0.0,0.0,0.0
842a109ffffffff,1128.0,181.0,0.0,0.0,0.0
842a10bffffffff,288.0,17.0,0.0,0.0,0.0
842a133ffffffff,5720.0,598.0,0.0,0.0,0.0
842a139ffffffff,52.0,0.0,0.0,0.0,0.0
842a13bffffffff,313.0,27.0,0.0,0.0,0.0
842a143ffffffff,1111.0,66.0,0.0,0.0,0.0
842a151ffffffff,200.0,3.0,0.0,0.0,0.0
842a155ffffffff,4.0,0.0,0.0,0.0,0.0
842a157ffffffff,593.0,24.0,0.0,0.0,0.0
842a159ffffffff,50.0,0.0,0.0,0.0,0.0
842a15dffffffff,1135.0,62.0,0.0,0.0,0.0
842a1a5ffffffff,440.0,73.0,0.0,0.0,0.0
842a311ffffffff,189.0,12.0,0.0,0.0,0.0
842a313ffffffff,2.0,0.0,0.0,0.0,0.0
842a317ffffffff,10.0,0.0,0.0,0.0,0.0
842a31dffffffff,7.0,2.0,0.0,0.0,0.0
842a333ffffffff,2.0,0.0,0.0,0.0,0.0
842a33bffffffff,121.0,9.0,0.0,0.0,0.0
842aa83ffffffff,24.0,5.0,0.0,0.0,0.0
842aa91ffffffff,911.0,341.0,0.0,0.0,0.0
842aa93ffffffff,534.0,55.0,0.0,0.0,0.0
842aa95ffffffff,232.0,30.0,0.0,0.0,0.0
842aa97ffffffff,237.0,12.0,0.0,0.0,0.0
842aa99ffffffff,22.0,2.0,0.0,0.0,0.0
842aa9bffffffff,2159.0,183.0,0.0,0.0,0.0
842aa9dffffffff,280.0,29.0,0.0,0.0,0.0
842aabbffffffff,3.0,0.0,0.0,0.0,0.0
842aac3ffffffff,7.0,0.0,0.0,0.0,0.0
842aac7ffffffff,1.0,0.0,0.0,0.0,0.0
842aacbffffffff,2.0,0.0,0.0,0.0,0.0
842aad1ffffffff,3631.0,230.0,0.0,0.0,0.0
842aad3ffffffff,874.0,10.0,0.0,0.0,0.0
842aad5ffffffff,2840.0,174.0,0.0,0.0,0.0
842aad7ffffffff,9.0,0.0,0.0,0.0,0.0
842aad9ffffffff,3577.0,266.0,0.0,0.0,0.0
842aadbffffffff,3394.0,492.0,0.0,0.0,0.0
842aaddffffffff,798.0,48.0,0.0,0.0,0.0
842ac6dffffffff,60.0,11.0,0.0,0.0,0.0
842ad03ffffffff,260.0,0.0,0.0,0.0,0.0
842ad0bffffffff,43.0,0.0,0.0,0.0,0.0
842ad15ffffffff,734.0,0.0,0.0,0.0,0.0
842ad31ffffffff,275.0,7.0,0.0,0.0,0.0
842ad35ffffffff,11.0,0.0,0.0,0.0,0.0
842ad37ffffffff,1753.0,84.0,0.0,0.0,0.0
842ad39ffffffff,385.0,0.0,0.0,0.0,0.0
842ad51ffffffff,131.0,0.0,0.0,0.0,0.0
842ad55ffffffff,114.0,0.0,0.0,0.0,0.0
842ad57ffffffff,85.0,0.0,0.0,0.0,0.0
842ad59ffffffff,442.0,0.0,0.0,0.0,0.0
842ad5bffffffff,76.0,0.0,0.0,0.0,0.0
842ad5dffffffff,2.0,0.0,0.0,0.0,0.0
842af01ffffffff,14.0,0.0,0.0,0.0,0.0
842af03ffffffff,150.0,22.0,0.0,0.0,0.0
842af05ffffffff,10.0,1.0,0.0,0.0,0.0
842af07ffffffff,10.0,0.0,0.0,0.0,0.0
842af0dffffffff,19.0,4.0,0.0,0.0,0.0
842af15ffffffff,1565.0,247.0,0.0,0.0,0.0
842af17ffffffff,23.0,2.0,0.0,0.0,0.0
842af31ffffffff,61.0,3.0,0.0,0.0,0.0
842af33ffffffff,75.0,8.0,0.0,0.0,0.0
842af37ffffffff,60.0,0.0,0.0,0.0,0.0
842af39ffffffff,52.0,3.0,0.0,0.0,0.0
842af45ffffffff,22.0,6.0,0.0,0.0,0.0
842af61ffffffff,969.0,50.0,0.0,0.0,0.0
842af63ffffffff,981.0,146.0,0.0,0.0,0.0
842af65ffffffff,403.0,2.0,0.0,0.0,0.0
842af67ffffffff,78.0,0.0,0.0,0.0,0.0
842af69ffffffff,446.0,51.0,0.0,0.0,0.0
842af6bffffffff,981.0,65.0,0.0,0.0,0.0
842af6dffffffff,112.0,8.0,0.0,0.0,0.0
8444123ffffffff,8.0,0.0,0.0,0.0,0.0
8444131ffffffff,107.0,0.0,0.0,0.0,0.0
8444133ffffffff,3.0,0.0,0.0,0.0,0.0
8444137ffffffff,3.0,0.0,0.0,0.0,0.0
844413bffffffff,24.0,0.0,0.0,0.0,0.0
844413dffffffff,71.0,0.0,0.0,0.0,0.0
8444161ffffffff,95.0,0.0,0.0,0.0,0.0
8444165ffffffff,35.0,0.0,0.0,0.0,0.0
844416bffffffff,74.0,0.0,0.0,0.0,0.0
84441a3ffffffff,400.0,0.0,32.0,0.0,0.0
84441a9ffffffff,181.0,0.0,17.0,0.0,0.0
84441abffffffff,286.0,0.0,109.0,0.0,0.0
84441adffffffff,129.0,0.0,2.0,0.0,0.0
84441b1ffffffff,1.0,0.0,0.0,0.0,0.0
84441b3ffffffff,37.0,0.0,9.0,0.0,0.0
84441b5ffffffff,297.0,0.0,19.0,0.0,0.0
84441b7ffffffff,612.0,0.0,11.0,0.0,0.0
84441e3ffffffff,41.0,0.0,4.0,0.0,0.0
84441e5ffffffff,66.0,0.0,3.0,0.0,0.0
84441e7ffffffff,234.0,0.0,16.0,0.0,0.0
8444249ffffffff,148.0,0.0,0.0,0.0,0.0
844424dffffffff,6.0,0.0,0.0,0.0,0.0
8444329ffffffff,2.0,0.0,0.0,2.0,0.0
844432dffffffff,1.0,0.0,0.0,0.0,0.0
8444363ffffffff,39.0,0.0,0.0,0.0,0.0
844436bffffffff,1.0,0.0,0.0,0.0,0.0
8444441ffffffff,27.0,0.0,0.0,0.0,0.0
844444bffffffff,30.0,0.0,0.0,0.0,0.0
8444459ffffffff,71.0,0.0,0.0,0.0,0.0
8444465ffffffff,328.0,0.0,0.0,0.0,0.0
8444467ffffffff,18.0,0.0,0.0,0.0,0.0
844446dffffffff,8.0,0.0,0.0,0.0,0.0
8444501ffffffff,177.0,0.0,23.0,0.0,0.0
8444509ffffffff,2037.0,0.0,65.0,0.0,0.0
844450dffffffff,1853.0,0.0,212.0,0.0,0.0
8444529ffffffff,16.0,0.0,0.0,0.0,0.0
8444543ffffffff,22.0,0.0,0.0,0.0,0.0
844454bffffffff,5.0,0.0,0.0,0.0,0.0
8444551ffffffff,569.0,0.0,0.0,0.0,0.0
8444555ffffffff,2152.0,0.0,0.0,0.0,0.0
8444559ffffffff,70.0,0.0,0.0,0.0,0.0
844455bffffffff,391.0,0.0,0.0,0.0,0.0
844455dffffffff,84.0,0.0,0.0,0.0,0.0
8444563ffffffff,67.0,0.0,8.0,0.0,0.0
8444567ffffffff,109.0,0.0,0.0,0.0,0.0
8444633ffffffff,1314.0,0.0,0.0,0.0,0.0
8444637ffffffff,84.0,0.0,0.0,0.0,0.0
84446c1ffffffff,353.0,0.0,16.0,0.0,0.0
84446c3ffffffff,2.0,0.0,0.0,0.0,0.0
84446c5ffffffff,2582.0,0.0,329.0,0.0,0.0
84446c7ffffffff,24.0,0.0,2.0,0.0,0.0
84446c9ffffffff,291.0,0.0,12.0,0.0,0.0
84446cbffffffff,2.0,0.0,0.0,0.0,0.0
84446cdffffffff,3405.0,0.0,579.0,0.0,0.0
84446e1ffffffff,31.0,0.0,0.0,0.0,0.0
84446e5ffffffff,411.0,0.0,0.0,0.0,0.0
84446e9ffffffff,872.0,0.0,10.0,0.0,0.0
84446ebffffffff,23.0,0.0,0.0,0.0,0.0
84446edffffffff,486.0,0.0,20.0,0.0,0.0
8444711ffffffff,44.0,0.0,0.0,0.0,0.0
8444713ffffffff,25.0,0.0,0.0,0.0,0.0
8444715ffffffff,309.0,0.0,0.0,0.0,0.0
8444717ffffffff,163.0,0.0,0.0,0.0,0.0
8444731ffffffff,234.0,0.0,0.0,0.0,0.0
8444733ffffffff,52.0,0.0,0.0,0.0,0.0
8444735ffffffff,1.0,0.0,0.0,0.0,0.0
8444737ffffffff,12.0,0.0,0.0,0.0,0.0
844473bffffffff,2838.0,0.0,0.0,0.0,0.0
