cell_id,Turdus schlegelii,Turdus schlegelii hygroscopus,Turdus schlegelii celebensis,Turdus schlegelii schlegelii,Turdus schlegelii sterlingi
8468d2bffffffff,3.0,0.0,0.0,0.0,0.0
8494231ffffffff,85.0,0.0,0.0,24.0,0.0
8494237ffffffff,1.0,0.0,0.0,1.0,0.0
849423dffffffff,2.0,0.0,0.0,1.0,0.0
8494289ffffffff,1.0,0.0,0.0,0.0,0.0
84942c5ffffffff,6.0,0.0,0.0,0.0,0.0
84942c7ffffffff,5.0,0.0,0.0,0.0,0.0
84942d5ffffffff,17.0,0.0,0.0,0.0,0.0
84942e9ffffffff,9.0,0.0,0.0,0.0,0.0
849500bffffffff,3.0,0.0,2.0,0.0,0.0
8495217ffffffff,1.0,0.0,0.0,0.0,0.0
84952edffffffff,1.0,0.0,0.0,0.0,0.0
