cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
820c2ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,138.0,0.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,147.0,0.0,0.0,0.0,0.0,0.0,0.0
820c5ffffffffff,71.0,0.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0
820c6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,596.0,0.0,53.0,0.0,0.0,0.0,0.0
820ceffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
820d4ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
820d57fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,152.0,0.0,8.0,0.0,0.0,0.0,0.0
820d67fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
820d6ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
820e47fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,892.0,0.0,0.0,0.0,0.0,0.0,0.0
820e57fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820e5ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820e8ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820e9ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,166.0,0.0,4.0,0.0,0.0,0.0,0.0
820ed7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,8.0,0.0,2.0,0.0,0.0,0.0,0.0
820eeffffffffff,404.0,0.0,0.0,0.0,0.0,0.0,0.0
820ef7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820f4ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82120ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821217fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
821227fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
821247fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,224.0,0.0,33.0,0.0,0.0,0.0,0.0
82125ffffffffff,165.0,0.0,1.0,0.0,0.0,0.0,0.0
821267fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82126ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,102.0,0.0,3.0,0.0,0.0,0.0,0.0
821287fffffffff,101.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,774.0,0.0,2.0,0.0,0.0,0.0,0.0
821297fffffffff,104.0,0.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8212a7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,352.0,0.0,4.0,0.0,0.0,0.0,0.0
8212b7fffffffff,265.0,0.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,477.0,0.0,2.0,0.0,0.0,0.0,0.0
8212cffffffffff,2413.0,0.0,74.0,0.0,0.0,0.0,0.0
8212d7fffffffff,964.0,0.0,50.0,0.0,0.0,0.0,0.0
8212dffffffffff,1197.0,0.0,31.0,0.0,0.0,0.0,0.0
8212e7fffffffff,85.0,0.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,657.0,0.0,12.0,0.0,0.0,0.0,0.0
8212f7fffffffff,123.0,0.0,4.0,0.0,0.0,0.0,0.0
82130ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,1270.0,0.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,115.0,0.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,67.0,0.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,146.0,0.0,0.0,0.0,0.0,0.0,0.0
8213a7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8213affffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,124.0,0.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,658.0,0.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821b87fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
821b97fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
821bb7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,350.0,0.0,57.0,0.0,0.0,0.0,0.0
82260ffffffffff,684.0,0.0,95.0,0.0,0.0,0.0,0.0
822617fffffffff,97.0,0.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,155.0,0.0,14.0,0.0,0.0,0.0,0.0
822627fffffffff,1195.0,0.0,30.0,0.0,0.0,0.0,0.0
82262ffffffffff,1530.0,0.0,37.0,0.0,0.0,0.0,0.0
822637fffffffff,184.0,0.0,16.0,0.0,0.0,0.0,0.0
822647fffffffff,1569.0,0.0,40.0,0.0,0.0,0.0,0.0
82264ffffffffff,1234.0,0.0,9.0,0.0,0.0,0.0,0.0
822657fffffffff,2407.0,0.0,15.0,0.0,0.0,0.0,0.0
82265ffffffffff,843.0,0.0,6.0,0.0,0.0,0.0,0.0
822667fffffffff,3650.0,0.0,108.0,0.0,0.0,0.0,0.0
82266ffffffffff,1306.0,0.0,24.0,0.0,0.0,0.0,0.0
822677fffffffff,474.0,0.0,21.0,0.0,0.0,0.0,0.0
822687fffffffff,1990.0,0.0,2.0,0.0,0.0,0.0,0.0
82268ffffffffff,3446.0,0.0,3.0,0.0,0.0,0.0,0.0
822697fffffffff,3245.0,0.0,1109.0,0.0,0.0,0.0,0.0
82269ffffffffff,1906.0,0.0,34.0,0.0,0.0,0.0,0.0
8226a7fffffffff,86.0,0.0,5.0,0.0,0.0,0.0,0.0
8226affffffffff,1431.0,0.0,11.0,0.0,0.0,0.0,0.0
8226b7fffffffff,341.0,0.0,19.0,0.0,0.0,0.0,0.0
8226c7fffffffff,575.0,0.0,4.0,0.0,0.0,0.0,0.0
8226cffffffffff,1924.0,0.0,15.0,0.0,0.0,0.0,0.0
8226d7fffffffff,462.0,0.0,17.0,0.0,0.0,0.0,0.0
8226dffffffffff,709.0,0.0,58.0,0.0,0.0,0.0,0.0
8226e7fffffffff,1329.0,0.0,13.0,0.0,0.0,0.0,0.0
8226effffffffff,600.0,0.0,6.0,0.0,0.0,0.0,0.0
8226f7fffffffff,504.0,0.0,5.0,0.0,0.0,0.0,0.0
822707fffffffff,596.0,0.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,484.0,0.0,29.0,0.0,0.0,0.0,0.0
822717fffffffff,374.0,0.0,0.0,0.0,0.0,0.0,0.0
82271ffffffffff,524.0,0.0,0.0,0.0,0.0,0.0,0.0
822727fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82272ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
822747fffffffff,1205.0,0.0,24.0,0.0,0.0,0.0,0.0
82274ffffffffff,2620.0,0.0,2.0,0.0,0.0,0.0,0.0
822757fffffffff,4809.0,0.0,501.0,0.0,0.0,0.0,0.0
82275ffffffffff,5344.0,0.0,137.0,0.0,0.0,0.0,0.0
822767fffffffff,1971.0,0.0,36.0,0.0,0.0,0.0,0.0
82276ffffffffff,1605.0,0.0,60.0,0.0,0.0,0.0,0.0
822777fffffffff,519.0,0.0,19.0,0.0,0.0,0.0,0.0
822787fffffffff,86.0,0.0,5.0,0.0,0.0,0.0,0.0
82278ffffffffff,109.0,0.0,1.0,0.0,0.0,0.0,0.0
822797fffffffff,476.0,0.0,22.0,0.0,0.0,0.0,0.0
82279ffffffffff,199.0,0.0,4.0,0.0,0.0,0.0,0.0
8227a7fffffffff,174.0,0.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,249.0,0.0,2.0,0.0,0.0,0.0,0.0
8227b7fffffffff,118.0,0.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,1609.0,0.0,125.0,0.0,0.0,0.0,0.0
822817fffffffff,1506.0,0.0,37.0,0.0,0.0,0.0,0.0
82281ffffffffff,2000.0,0.0,179.0,0.0,0.0,0.0,0.0
822837fffffffff,17219.0,0.0,793.0,0.0,0.0,0.0,0.0
822887fffffffff,3617.0,0.0,324.0,0.0,0.0,0.0,0.0
82288ffffffffff,2812.0,0.0,109.0,0.0,0.0,0.0,0.0
822897fffffffff,1354.0,0.0,30.0,0.0,0.0,0.0,0.0
82289ffffffffff,1273.0,0.0,26.0,0.0,0.0,0.0,0.0
8228a7fffffffff,161.0,0.0,7.0,0.0,0.0,0.0,0.0
8228affffffffff,1383.0,0.0,27.0,0.0,0.0,0.0,0.0
8228b7fffffffff,1227.0,0.0,104.0,0.0,0.0,0.0,0.0
8228c7fffffffff,804.0,0.0,15.0,0.0,0.0,0.0,0.0
8228d7fffffffff,9834.0,0.0,233.0,0.0,0.0,0.0,0.0
8228dffffffffff,3229.0,0.0,35.0,0.0,0.0,0.0,0.0
8228f7fffffffff,6219.0,0.0,131.0,0.0,0.0,0.0,0.0
822917fffffffff,1144.0,0.0,26.0,0.0,0.0,0.0,0.0
82291ffffffffff,791.0,0.0,256.0,0.0,0.0,0.0,0.0
