cell_id,Chalcothraupis ruficervix,Chalcothraupis ruficervix [ruficervix Group],Chalcothraupis ruficervix [fulvicervix Group]
82660ffffffffff,72.0,0.0,0.0
82661ffffffffff,544.0,5.0,0.0
8266c7fffffffff,347.0,0.0,0.0
8266d7fffffffff,7974.0,475.0,0.0
8266dffffffffff,369.0,16.0,0.0
8266e7fffffffff,370.0,5.0,0.0
8266f7fffffffff,3914.0,43.0,0.0
828b27fffffffff,6.0,0.0,0.0
828b2ffffffffff,20.0,0.0,0.0
828b67fffffffff,497.0,0.0,3.0
828b6ffffffffff,426.0,0.0,1.0
828b77fffffffff,24.0,0.0,0.0
828e67fffffffff,139.0,0.0,0.0
828e6ffffffffff,3.0,0.0,0.0
828f0ffffffffff,86.0,4.0,0.0
828f2ffffffffff,109.0,0.0,0.0
828f47fffffffff,123.0,0.0,0.0
828f4ffffffffff,9.0,0.0,0.0
828f57fffffffff,42.0,0.0,0.0
828f5ffffffffff,22.0,0.0,0.0
828f77fffffffff,212.0,0.0,0.0
82b327fffffffff,21.0,0.0,0.0
