cell_id,Turdus simillimus,Turdus simillimus simillimus/bourdilloni,Turdus simillimus nigropileus,Turdus simillimus kinnisii
833c8cfffffffff,9.0,0.0,0.0,0.0
833c90fffffffff,1.0,0.0,0.0,0.0
833c94fffffffff,1.0,0.0,0.0,0.0
833cb4fffffffff,1.0,0.0,0.0,0.0
833d84fffffffff,4.0,0.0,2.0,0.0
833d98fffffffff,4.0,0.0,0.0,0.0
833d9bfffffffff,3.0,0.0,0.0,0.0
833d9dfffffffff,15.0,0.0,0.0,0.0
833db6fffffffff,23.0,0.0,0.0,0.0
8342c2fffffffff,22.0,0.0,0.0,0.0
8342c4fffffffff,2.0,0.0,0.0,0.0
8342cafffffffff,2.0,0.0,0.0,0.0
8342d9fffffffff,14.0,0.0,0.0,0.0
8342dbfffffffff,3.0,0.0,0.0,0.0
8342dcfffffffff,6.0,0.0,0.0,0.0
8342ebfffffffff,33.0,0.0,7.0,0.0
836002fffffffff,5.0,0.0,0.0,0.0
836004fffffffff,2.0,0.0,0.0,0.0
836006fffffffff,30.0,3.0,2.0,0.0
836010fffffffff,2.0,0.0,0.0,0.0
836011fffffffff,13.0,0.0,0.0,0.0
836014fffffffff,71.0,0.0,0.0,0.0
836015fffffffff,45.0,0.0,2.0,0.0
836016fffffffff,90.0,1.0,0.0,0.0
83601efffffffff,15.0,0.0,3.0,0.0
836026fffffffff,1.0,1.0,0.0,0.0
836030fffffffff,2.0,2.0,0.0,0.0
836031fffffffff,334.0,24.0,4.0,0.0
836032fffffffff,12.0,0.0,0.0,0.0
836033fffffffff,371.0,1.0,12.0,0.0
836035fffffffff,4.0,2.0,0.0,0.0
836088fffffffff,13.0,0.0,0.0,0.0
83608afffffffff,1.0,0.0,0.0,0.0
83608bfffffffff,4.0,0.0,0.0,0.0
83608dfffffffff,10.0,0.0,0.0,0.0
836092fffffffff,12.0,0.0,0.0,0.0
836093fffffffff,1.0,0.0,0.0,0.0
836099fffffffff,3.0,0.0,0.0,0.0
8360a1fffffffff,4.0,0.0,0.0,0.0
8360a2fffffffff,204.0,0.0,0.0,0.0
8360a6fffffffff,1.0,0.0,0.0,0.0
8360a8fffffffff,28.0,0.0,0.0,0.0
8360a9fffffffff,28.0,0.0,1.0,0.0
8360abfffffffff,1.0,0.0,0.0,0.0
8360acfffffffff,1.0,0.0,0.0,0.0
8360adfffffffff,19.0,1.0,3.0,0.0
8360b1fffffffff,31.0,0.0,0.0,0.0
8360b4fffffffff,10.0,0.0,0.0,0.0
836189fffffffff,2.0,0.0,2.0,0.0
83618afffffffff,3.0,0.0,0.0,0.0
83618bfffffffff,12.0,0.0,0.0,0.0
83618dfffffffff,2.0,0.0,0.0,0.0
83619afffffffff,2.0,0.0,0.0,0.0
