cell_id,Caryothraustes poliogaster,Caryothraustes poliogaster poliogaster,Caryothraustes poliogaster scapularis
83450cfffffffff,5.0,0.0,0.0
834521fffffffff,3.0,0.0,0.0
834525fffffffff,3.0,0.0,0.0
834528fffffffff,1.0,0.0,0.0
83452afffffffff,10.0,0.0,0.0
83452dfffffffff,2.0,0.0,0.0
83452efffffffff,14.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
8366a0fffffffff,9.0,0.0,0.0
8366a5fffffffff,1.0,0.0,0.0
8366b5fffffffff,22.0,0.0,0.0
836796fffffffff,4.0,0.0,0.0
83679afffffffff,8.0,0.0,0.0
83679bfffffffff,5.0,0.0,0.0
836d21fffffffff,5.0,0.0,0.0
836d23fffffffff,10.0,0.0,0.0
836d2cfffffffff,7.0,0.0,0.0
836d2dfffffffff,9.0,0.0,0.0
836d30fffffffff,7.0,0.0,0.0
836d31fffffffff,12.0,0.0,0.0
836d35fffffffff,1.0,0.0,0.0
836d69fffffffff,8.0,0.0,0.0
