cell_id,Amaurospiza concolor,Amaurospiza concolor relicta,Amaurospiza concolor concolor
834505fffffffff,3.0,0.0,0.0
83452dfffffffff,16.0,0.0,4.0
83452efffffffff,97.0,0.0,0.0
8349b1fffffffff,6.0,6.0,0.0
8349b3fffffffff,20.0,10.0,0.0
8366a0fffffffff,40.0,0.0,0.0
8366a3fffffffff,1.0,0.0,0.0
8366a5fffffffff,10.0,0.0,4.0
8366b4fffffffff,69.0,0.0,0.0
8366b5fffffffff,39.0,0.0,8.0
836d23fffffffff,110.0,0.0,23.0
836d2afffffffff,9.0,0.0,3.0
836d2bfffffffff,29.0,0.0,0.0
836d2cfffffffff,24.0,0.0,2.0
836d69fffffffff,40.0,0.0,0.0
836d74fffffffff,20.0,0.0,0.0
