cell_id,Hydrobates pelagicus,Hydrobates pelagicus pelagicus,Hydrobates pelagicus melitensis
820747fffffffff,19.0,0.0,0.0
82074ffffffffff,36.0,0.0,0.0
82075ffffffffff,41.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0
820997fffffffff,5.0,0.0,0.0
82099ffffffffff,2.0,0.0,0.0
8209a7fffffffff,38.0,9.0,0.0
821807fffffffff,372.0,203.0,0.0
82180ffffffffff,34.0,11.0,0.0
821827fffffffff,7.0,0.0,0.0
82182ffffffffff,41.0,9.0,0.0
821847fffffffff,91.0,9.0,0.0
82184ffffffffff,220.0,0.0,0.0
821857fffffffff,37.0,0.0,0.0
82185ffffffffff,29.0,0.0,0.0
821867fffffffff,1.0,1.0,0.0
82186ffffffffff,11.0,5.0,0.0
821877fffffffff,151.0,30.0,0.0
821907fffffffff,2.0,0.0,0.0
82190ffffffffff,54.0,11.0,0.0
821927fffffffff,6.0,0.0,0.0
82192ffffffffff,23.0,8.0,0.0
821947fffffffff,7.0,1.0,0.0
821957fffffffff,29.0,4.0,0.0
82195ffffffffff,8.0,0.0,0.0
821977fffffffff,16.0,3.0,0.0
82344ffffffffff,11.0,0.0,0.0
823467fffffffff,15.0,0.0,0.0
82346ffffffffff,31.0,0.0,0.0
82354ffffffffff,2.0,0.0,0.0
823827fffffffff,24.0,0.0,0.0
823917fffffffff,260.0,3.0,0.0
82391ffffffffff,353.0,0.0,1.0
823927fffffffff,404.0,0.0,0.0
82392ffffffffff,3.0,0.0,0.0
823937fffffffff,350.0,0.0,0.0
823947fffffffff,57.0,0.0,8.0
823957fffffffff,17.0,0.0,0.0
82395ffffffffff,9.0,0.0,0.0
823967fffffffff,2.0,0.0,2.0
823977fffffffff,45.0,0.0,2.0
823987fffffffff,7.0,0.0,0.0
823997fffffffff,20.0,0.0,0.0
8239affffffffff,1.0,0.0,0.0
823f37fffffffff,4.0,0.0,4.0
825417fffffffff,1.0,0.0,0.0
8254affffffffff,5.0,0.0,0.0
825517fffffffff,16.0,0.0,0.0
8255affffffffff,1.0,0.0,0.0
8255b7fffffffff,1.0,0.0,0.0
82ac17fffffffff,3.0,0.0,0.0
82ac37fffffffff,2.0,0.0,0.0
82ad37fffffffff,51.0,0.0,0.0
82bc77fffffffff,2.0,0.0,0.0
82d16ffffffffff,3.0,0.0,0.0
