cell_id,Tangara vassorii,Tangara vassorii vassorii/branickii,Tangara vassorii atrocoerulea
826607fffffffff,3.0,0.0,0.0
82660ffffffffff,621.0,4.0,0.0
82661ffffffffff,3122.0,16.0,0.0
82662ffffffffff,148.0,8.0,0.0
8266c7fffffffff,788.0,1.0,0.0
8266d7fffffffff,1538.0,49.0,0.0
8266dffffffffff,1548.0,122.0,0.0
8266e7fffffffff,6830.0,80.0,0.0
8266f7fffffffff,690.0,4.0,0.0
82675ffffffffff,41.0,0.0,0.0
828b27fffffffff,31.0,0.0,0.0
828b2ffffffffff,64.0,0.0,0.0
828b67fffffffff,620.0,0.0,38.0
828b6ffffffffff,429.0,0.0,18.0
828b77fffffffff,24.0,0.0,0.0
828e67fffffffff,367.0,0.0,0.0
828e6ffffffffff,9.0,0.0,0.0
828f0ffffffffff,85.0,7.0,0.0
828f2ffffffffff,198.0,3.0,0.0
828f47fffffffff,101.0,3.0,0.0
828f4ffffffffff,14.0,0.0,0.0
828f57fffffffff,468.0,1.0,0.0
828f5ffffffffff,116.0,0.0,0.0
828f77fffffffff,1092.0,84.0,0.0
82b327fffffffff,95.0,0.0,0.0
