cell_id,Artisornis moreaui,Artisornis moreaui moreaui,Artisornis moreaui sousae
847b487ffffffff,21.0,6.0,0.0
84978e3ffffffff,11.0,0.0,0.0
84978ebffffffff,20.0,0.0,0.0
