cell_id,Cochlearius cochlearius,Cochlearius cochlearius [zeledoni Group],Cochlearius cochlearius cochlearius/panamensis
834424fffffffff,82.0,0.0,0.0
834501fffffffff,62.0,0.0,0.0
834505fffffffff,81.0,2.0,0.0
834509fffffffff,66.0,0.0,0.0
83450afffffffff,85.0,0.0,0.0
83450bfffffffff,252.0,0.0,0.0
83450cfffffffff,35.0,0.0,0.0
83450efffffffff,44.0,0.0,0.0
834520fffffffff,100.0,0.0,0.0
834521fffffffff,87.0,0.0,0.0
834522fffffffff,594.0,0.0,0.0
834523fffffffff,291.0,3.0,0.0
834525fffffffff,2.0,0.0,0.0
834528fffffffff,46.0,0.0,0.0
834529fffffffff,6.0,0.0,0.0
83452afffffffff,1838.0,90.0,0.0
83452bfffffffff,33.0,0.0,0.0
83452cfffffffff,210.0,5.0,0.0
83452dfffffffff,11.0,0.0,0.0
83452efffffffff,830.0,46.0,0.0
834531fffffffff,30.0,0.0,0.0
834532fffffffff,7.0,0.0,0.0
834534fffffffff,12.0,0.0,0.0
834535fffffffff,8.0,0.0,0.0
834572fffffffff,180.0,0.0,0.0
834576fffffffff,19.0,0.0,0.0
834801fffffffff,1.0,0.0,0.0
834833fffffffff,75.0,0.0,0.0
834836fffffffff,1184.0,47.0,0.0
834992fffffffff,6.0,0.0,0.0
834996fffffffff,59.0,0.0,0.0
834998fffffffff,30.0,0.0,0.0
83499bfffffffff,1.0,0.0,0.0
83499efffffffff,16.0,0.0,0.0
8349a2fffffffff,28.0,0.0,0.0
8349a8fffffffff,40.0,0.0,0.0
8349a9fffffffff,81.0,0.0,0.0
8349acfffffffff,4.0,0.0,0.0
8349adfffffffff,5.0,0.0,0.0
8349b5fffffffff,6.0,0.0,0.0
835f12fffffffff,6.0,0.0,0.0
835f1cfffffffff,4.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0
835f29fffffffff,125.0,0.0,0.0
835f2bfffffffff,27.0,0.0,0.0
835f2dfffffffff,3.0,0.0,0.0
835f4afffffffff,1.0,0.0,0.0
835f4efffffffff,2.0,0.0,0.0
835f58fffffffff,5.0,0.0,0.0
835f68fffffffff,14.0,0.0,0.0
836602fffffffff,10.0,0.0,0.0
836603fffffffff,4.0,0.0,0.0
836605fffffffff,3.0,0.0,0.0
836606fffffffff,76.0,0.0,0.0
836608fffffffff,1.0,0.0,0.0
836609fffffffff,1.0,0.0,0.0
83660afffffffff,7.0,0.0,0.0
83660dfffffffff,3.0,0.0,0.0
83660efffffffff,17.0,0.0,0.0
836610fffffffff,178.0,0.0,18.0
836611fffffffff,12.0,0.0,0.0
836612fffffffff,7.0,0.0,0.0
836613fffffffff,54.0,0.0,2.0
836616fffffffff,56.0,0.0,10.0
836619fffffffff,12.0,0.0,0.0
83661afffffffff,11.0,0.0,0.0
836622fffffffff,7.0,0.0,0.0
836631fffffffff,12.0,0.0,4.0
