cell_id,Apus horus,Apus horus (White-rumped),Apus horus (Brown-rumped)
82529ffffffffff,1.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
826ac7fffffffff,29.0,0.0,0.0
826acffffffffff,6.0,0.0,0.0
826adffffffffff,32.0,0.0,0.0
826aeffffffffff,19.0,0.0,0.0
827a47fffffffff,17.0,0.0,0.0
827a4ffffffffff,11.0,0.0,0.0
827a67fffffffff,27.0,0.0,0.0
827a6ffffffffff,234.0,0.0,0.0
827acffffffffff,69.0,23.0,0.0
827adffffffffff,2.0,0.0,0.0
827b4ffffffffff,6.0,0.0,0.0
827b6ffffffffff,4.0,0.0,0.0
8282a7fffffffff,7.0,0.0,0.0
8282affffffffff,2.0,0.0,0.0
8282d7fffffffff,3.0,0.0,0.0
828327fffffffff,3.0,0.0,1.0
828337fffffffff,13.0,0.0,3.0
829627fffffffff,15.0,0.0,0.0
829637fffffffff,34.0,5.0,0.0
829697fffffffff,218.0,21.0,0.0
8296a7fffffffff,2.0,0.0,0.0
8296b7fffffffff,2.0,0.0,0.0
829707fffffffff,7.0,0.0,0.0
82970ffffffffff,12.0,0.0,0.0
829717fffffffff,19.0,0.0,0.0
82971ffffffffff,10.0,0.0,0.0
82972ffffffffff,44.0,10.0,0.0
829737fffffffff,4.0,0.0,0.0
82974ffffffffff,6.0,0.0,0.0
829757fffffffff,10.0,2.0,0.0
82975ffffffffff,8.0,0.0,0.0
829777fffffffff,1.0,0.0,0.0
82978ffffffffff,1.0,0.0,0.0
82bc0ffffffffff,1.0,0.0,0.0
82bc47fffffffff,4.0,0.0,0.0
82bc57fffffffff,3.0,2.0,0.0
82bc77fffffffff,12.0,0.0,0.0
82bcc7fffffffff,37.0,10.0,0.0
82bcd7fffffffff,67.0,12.0,0.0
82bcdffffffffff,20.0,4.0,0.0
82bce7fffffffff,144.0,44.0,0.0
82bceffffffffff,9.0,0.0,0.0
82bcf7fffffffff,106.0,21.0,0.0
