cell_id,Tachyspiza hiogaster,Tachyspiza hiogaster sylvestris,Tachyspiza hiogaster [hiogaster Group]
837289fffffffff,1.0,0.0,0.0
83728efffffffff,2.0,0.0,0.0
837290fffffffff,29.0,0.0,2.0
83729dfffffffff,1.0,0.0,0.0
8372a0fffffffff,7.0,0.0,0.0
8372a2fffffffff,36.0,0.0,2.0
8372a3fffffffff,8.0,0.0,4.0
8372aefffffffff,28.0,0.0,9.0
8372b4fffffffff,2.0,0.0,2.0
8372b5fffffffff,1.0,0.0,0.0
8372c9fffffffff,5.0,0.0,0.0
8372d2fffffffff,76.0,0.0,2.0
8372d4fffffffff,2.0,0.0,0.0
8372d5fffffffff,13.0,0.0,0.0
8372dafffffffff,17.0,0.0,0.0
8372defffffffff,9.0,0.0,0.0
8372f2fffffffff,81.0,0.0,6.0
8372f3fffffffff,13.0,0.0,2.0
837390fffffffff,92.0,0.0,7.0
837395fffffffff,11.0,0.0,2.0
837396fffffffff,3.0,0.0,0.0
837398fffffffff,7.0,0.0,0.0
83739afffffffff,75.0,0.0,14.0
83739bfffffffff,95.0,0.0,30.0
83739efffffffff,1.0,0.0,0.0
837680fffffffff,1.0,0.0,0.0
837683fffffffff,2.0,0.0,0.0
837684fffffffff,1.0,0.0,0.0
837699fffffffff,8.0,0.0,0.0
83769dfffffffff,4.0,0.0,0.0
839421fffffffff,3.0,1.0,0.0
839460fffffffff,29.0,0.0,0.0
839466fffffffff,3.0,0.0,3.0
839512fffffffff,2.0,0.0,0.0
839513fffffffff,1.0,0.0,0.0
839518fffffffff,1.0,0.0,0.0
83951afffffffff,23.0,0.0,0.0
83951bfffffffff,1.0,1.0,0.0
83951efffffffff,40.0,8.0,0.0
839544fffffffff,12.0,0.0,0.0
839545fffffffff,2.0,0.0,0.0
839548fffffffff,2.0,0.0,0.0
839561fffffffff,38.0,0.0,0.0
83956afffffffff,13.0,0.0,4.0
83956bfffffffff,3.0,0.0,0.0
83956dfffffffff,1.0,0.0,1.0
8395a5fffffffff,9.0,1.0,0.0
839c83fffffffff,2.0,0.0,0.0
839c84fffffffff,3.0,0.0,0.0
839c85fffffffff,9.0,0.0,0.0
839c8afffffffff,3.0,0.0,0.0
839c8bfffffffff,3.0,0.0,0.0
839c90fffffffff,202.0,0.0,0.0
839c99fffffffff,4.0,0.0,0.0
839c9dfffffffff,5.0,0.0,0.0
839ca6fffffffff,21.0,0.0,0.0
839caafffffffff,27.0,0.0,3.0
839caefffffffff,63.0,0.0,4.0
839cb5fffffffff,6.0,0.0,0.0
839cc2fffffffff,6.0,0.0,0.0
839cd1fffffffff,2.0,0.0,0.0
839cd3fffffffff,80.0,0.0,3.0
839ed3fffffffff,1.0,0.0,0.0
839edafffffffff,6.0,0.0,0.0
839edbfffffffff,2.0,0.0,0.0
839edefffffffff,7.0,0.0,0.0
