cell_id,Campylorhynchus capistratus,Campylorhynchus capistratus castaneus,Campylorhynchus capistratus [capistratus Group]
8445201ffffffff,4.0,0.0,0.0
8445205ffffffff,523.0,0.0,0.0
8445207ffffffff,12.0,0.0,0.0
8445209ffffffff,3.0,0.0,0.0
844520dffffffff,480.0,0.0,0.0
844522bffffffff,47.0,0.0,0.0
8445241ffffffff,18.0,0.0,0.0
8445243ffffffff,11.0,0.0,0.0
8445247ffffffff,11.0,0.0,0.0
8445249ffffffff,559.0,0.0,0.0
844524bffffffff,167.0,0.0,0.0
844524dffffffff,52.0,0.0,0.0
8445251ffffffff,162.0,0.0,0.0
8445255ffffffff,183.0,0.0,0.0
8445257ffffffff,8.0,0.0,0.0
8445259ffffffff,3.0,0.0,0.0
844525bffffffff,437.0,0.0,0.0
844525dffffffff,22.0,0.0,0.0
8445261ffffffff,6.0,0.0,0.0
8445263ffffffff,331.0,0.0,0.0
8445265ffffffff,4.0,0.0,0.0
8445267ffffffff,2.0,0.0,0.0
8445269ffffffff,3.0,0.0,0.0
844526bffffffff,33.0,0.0,0.0
844526dffffffff,3.0,0.0,0.0
8445343ffffffff,5.0,0.0,0.0
8445359ffffffff,2.0,0.0,0.0
844535dffffffff,1.0,0.0,0.0
8466b45ffffffff,315.0,0.0,0.0
8466b47ffffffff,161.0,0.0,0.0
8466b4dffffffff,33.0,0.0,0.0
8466b69ffffffff,451.0,0.0,0.0
8467925ffffffff,6.0,0.0,0.0
846d043ffffffff,19.0,0.0,0.0
846d04bffffffff,5.0,0.0,0.0
846d051ffffffff,16.0,0.0,0.0
846d053ffffffff,45.0,0.0,0.0
846d059ffffffff,5.0,0.0,0.0
846d05bffffffff,37.0,0.0,0.0
846d05dffffffff,31.0,0.0,0.0
846d283ffffffff,5.0,0.0,0.0
846d287ffffffff,60.0,0.0,0.0
846d291ffffffff,82.0,0.0,0.0
846d293ffffffff,67.0,0.0,0.0
846d295ffffffff,1683.0,0.0,0.0
846d297ffffffff,194.0,0.0,0.0
846d299ffffffff,54.0,0.0,0.0
846d29bffffffff,10.0,0.0,0.0
846d2a1ffffffff,31.0,0.0,0.0
846d2a3ffffffff,166.0,0.0,0.0
846d2a9ffffffff,1.0,0.0,0.0
846d2abffffffff,5.0,0.0,0.0
846d2adffffffff,17.0,0.0,0.0
846d2b1ffffffff,28.0,0.0,0.0
846d2b3ffffffff,111.0,0.0,0.0
846d2b9ffffffff,1366.0,0.0,0.0
846d2bbffffffff,75.0,0.0,0.0
846d2bdffffffff,63.0,0.0,0.0
846d601ffffffff,130.0,0.0,0.0
846d603ffffffff,29.0,0.0,0.0
846d605ffffffff,305.0,0.0,0.0
846d607ffffffff,154.0,0.0,0.0
846d609ffffffff,400.0,0.0,0.0
846d60bffffffff,3.0,0.0,0.0
846d60dffffffff,488.0,0.0,0.0
846d611ffffffff,26.0,0.0,0.0
846d613ffffffff,1256.0,0.0,0.0
846d615ffffffff,96.0,0.0,0.0
846d617ffffffff,1866.0,0.0,0.0
846d619ffffffff,74.0,0.0,0.0
846d61bffffffff,90.0,0.0,0.0
846d61dffffffff,2.0,0.0,0.0
846d629ffffffff,1.0,0.0,0.0
846d639ffffffff,279.0,0.0,0.0
846d63bffffffff,41.0,0.0,0.0
846d641ffffffff,2082.0,0.0,0.0
846d643ffffffff,100.0,0.0,0.0
846d645ffffffff,1992.0,0.0,0.0
846d647ffffffff,15.0,0.0,0.0
846d649ffffffff,9.0,0.0,0.0
846d64bffffffff,29.0,0.0,0.0
846d64dffffffff,119.0,0.0,0.0
846d651ffffffff,88.0,0.0,0.0
846d653ffffffff,360.0,0.0,0.0
846d655ffffffff,190.0,0.0,0.0
846d657ffffffff,365.0,0.0,0.0
846d65bffffffff,1.0,0.0,0.0
846d65dffffffff,23.0,0.0,0.0
846d661ffffffff,33.0,0.0,0.0
846d663ffffffff,182.0,0.0,0.0
846d665ffffffff,347.0,0.0,0.0
846d667ffffffff,167.0,0.0,0.0
846d669ffffffff,18.0,0.0,0.0
846d66bffffffff,198.0,0.0,0.0
846d66dffffffff,269.0,0.0,0.0
846d681ffffffff,753.0,0.0,0.0
846d683ffffffff,1377.0,0.0,0.0
846d685ffffffff,498.0,0.0,0.0
846d687ffffffff,1067.0,0.0,0.0
846d689ffffffff,11.0,0.0,0.0
846d68bffffffff,43.0,0.0,0.0
846d68dffffffff,316.0,0.0,0.0
846d691ffffffff,1646.0,0.0,0.0
846d693ffffffff,5210.0,0.0,0.0
846d695ffffffff,2166.0,0.0,0.0
846d697ffffffff,9612.0,0.0,0.0
846d69bffffffff,3424.0,0.0,0.0
846d69dffffffff,73.0,0.0,0.0
846d6abffffffff,280.0,0.0,0.0
846d6b1ffffffff,88.0,0.0,0.0
846d6b3ffffffff,1.0,0.0,0.0
846d6b9ffffffff,348.0,0.0,0.0
846d6bbffffffff,3713.0,0.0,0.0
846d6bdffffffff,254.0,0.0,0.0
846d6c7ffffffff,8.0,0.0,0.0
846d6c9ffffffff,56.0,0.0,0.0
846d6cdffffffff,38.0,0.0,0.0
846d6e1ffffffff,20.0,0.0,0.0
846d6e9ffffffff,1631.0,0.0,0.0
846d6ebffffffff,113.0,0.0,0.0
846d6edffffffff,247.0,0.0,0.0
846d741ffffffff,587.0,0.0,0.0
846d743ffffffff,247.0,0.0,0.0
846d745ffffffff,256.0,0.0,0.0
846d747ffffffff,201.0,0.0,0.0
846d749ffffffff,204.0,0.0,0.0
846d74bffffffff,1644.0,0.0,0.0
846d74dffffffff,12.0,0.0,0.0
846d751ffffffff,160.0,0.0,0.0
846d759ffffffff,109.0,0.0,0.0
846d75bffffffff,243.0,0.0,0.0
846d75dffffffff,688.0,0.0,0.0
846d769ffffffff,304.0,0.0,0.0
846d76dffffffff,132.0,0.0,0.0
