cell_id,Camptostoma obsoletum,Camptostoma obsoletum [pusillum Group],Camptostoma obsoletum [obsoletum Group]
825f5ffffffffff,5.0,5.0,0.0
82661ffffffffff,1.0,1.0,0.0
826627fffffffff,5.0,5.0,0.0
82662ffffffffff,2.0,0.0,0.0
8266a7fffffffff,29.0,2.0,0.0
8266b7fffffffff,8.0,2.0,0.0
8266c7fffffffff,15.0,0.0,0.0
8266d7fffffffff,4.0,0.0,0.0
8266dffffffffff,2.0,0.0,0.0
8266e7fffffffff,17.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0
826747fffffffff,3.0,2.0,0.0
82674ffffffffff,13.0,0.0,0.0
82675ffffffffff,4.0,2.0,0.0
826d6ffffffffff,2.0,0.0,0.0
82811ffffffffff,2.0,0.0,0.0
828187fffffffff,70.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0
828a47fffffffff,1.0,0.0,0.0
828b07fffffffff,1.0,0.0,0.0
828b0ffffffffff,1.0,0.0,0.0
828b27fffffffff,4.0,0.0,4.0
828e67fffffffff,2.0,0.0,1.0
828f2ffffffffff,2.0,0.0,0.0
828f57fffffffff,4.0,0.0,4.0
82a947fffffffff,2.0,0.0,0.0
82a957fffffffff,3.0,0.0,3.0
82a967fffffffff,33.0,0.0,0.0
82a96ffffffffff,37.0,0.0,0.0
82b20ffffffffff,2.0,0.0,0.0
82b24ffffffffff,206.0,0.0,0.0
82b257fffffffff,5.0,0.0,0.0
82b25ffffffffff,2.0,0.0,0.0
82b267fffffffff,9.0,0.0,0.0
82b26ffffffffff,137.0,0.0,0.0
82b277fffffffff,4.0,0.0,0.0
82b2effffffffff,8.0,0.0,0.0
82c2c7fffffffff,4.0,0.0,4.0
82c2cffffffffff,112.0,0.0,0.0
82c2e7fffffffff,15.0,0.0,0.0
