cell_id,Icterus cayanensis,Icterus cayanensis chrysocephalus,Icterus cayanensis cayanensis
845f2b3ffffffff,2.0,2.0,0.0
845f581ffffffff,6.0,5.0,0.0
845f583ffffffff,169.0,120.0,0.0
845f587ffffffff,3.0,2.0,0.0
84665abffffffff,1.0,1.0,0.0
8466c01ffffffff,1.0,0.0,0.0
8466dadffffffff,7.0,0.0,0.0
8466dc3ffffffff,2.0,0.0,2.0
8466de1ffffffff,6.0,0.0,0.0
8466debffffffff,8.0,0.0,0.0
8466e15ffffffff,3.0,0.0,0.0
84814a9ffffffff,4.0,0.0,4.0
84814adffffffff,2.0,0.0,2.0
84814d5ffffffff,3.0,0.0,3.0
8481711ffffffff,3.0,0.0,3.0
8481713ffffffff,3.0,0.0,3.0
848a45bffffffff,3.0,0.0,3.0
848ad13ffffffff,3.0,3.0,0.0
848adc5ffffffff,2.0,2.0,0.0
848f745ffffffff,2.0,0.0,0.0
848f74bffffffff,4.0,0.0,0.0
84a82dbffffffff,2.0,0.0,0.0
