cell_id,Eremomela icteropygialis,Eremomela icteropygialis [icteropygialis Group],Eremomela icteropygialis salvadorii
845280bffffffff,1.0,0.0,0.0
84528edffffffff,2.0,0.0,0.0
84529b7ffffffff,1.0,0.0,0.0
84529b9ffffffff,2.0,0.0,0.0
8452d33ffffffff,2.0,0.0,0.0
8454025ffffffff,2.0,0.0,0.0
845402dffffffff,12.0,0.0,0.0
8454103ffffffff,5.0,0.0,0.0
845410bffffffff,1.0,0.0,0.0
8454115ffffffff,1.0,0.0,0.0
845411dffffffff,50.0,0.0,0.0
8454131ffffffff,1.0,0.0,0.0
8454133ffffffff,5.0,0.0,0.0
8454137ffffffff,2.0,0.0,0.0
8454139ffffffff,14.0,0.0,0.0
845413bffffffff,9.0,0.0,0.0
8454143ffffffff,2.0,0.0,0.0
8454153ffffffff,2.0,0.0,0.0
8454157ffffffff,49.0,0.0,0.0
84541adffffffff,2.0,0.0,0.0
84541e3ffffffff,3.0,0.0,0.0
84541e5ffffffff,4.0,0.0,0.0
84541e7ffffffff,19.0,0.0,0.0
84541e9ffffffff,3.0,0.0,0.0
84541edffffffff,5.0,0.0,0.0
8454447ffffffff,1.0,0.0,0.0
8454ad5ffffffff,4.0,0.0,0.0
8454addffffffff,4.0,0.0,0.0
8454e5bffffffff,1.0,0.0,0.0
8458517ffffffff,3.0,0.0,0.0
84585a1ffffffff,1.0,0.0,0.0
84585a9ffffffff,1.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0
846a581ffffffff,4.0,0.0,0.0
846a5a9ffffffff,15.0,0.0,0.0
846acadffffffff,1.0,0.0,0.0
846ae85ffffffff,7.0,0.0,0.0
847a401ffffffff,43.0,0.0,0.0
847a403ffffffff,6.0,0.0,0.0
847a407ffffffff,14.0,0.0,0.0
847a40bffffffff,12.0,0.0,0.0
847a40dffffffff,1.0,0.0,0.0
847a413ffffffff,56.0,0.0,0.0
847a41bffffffff,7.0,0.0,0.0
847a41dffffffff,21.0,0.0,0.0
847a457ffffffff,3.0,0.0,0.0
847a459ffffffff,3.0,0.0,0.0
847a45dffffffff,2.0,0.0,0.0
847a481ffffffff,5.0,0.0,0.0
847a483ffffffff,1.0,0.0,0.0
847a4b1ffffffff,9.0,0.0,0.0
847a4b5ffffffff,5.0,0.0,0.0
847a4cdffffffff,4.0,0.0,0.0
847a4e9ffffffff,1.0,0.0,0.0
847a593ffffffff,5.0,0.0,0.0
847a59bffffffff,9.0,0.0,0.0
847a5a5ffffffff,3.0,0.0,0.0
847a5adffffffff,1.0,0.0,0.0
847a611ffffffff,7.0,0.0,0.0
847a615ffffffff,1.0,0.0,0.0
847a619ffffffff,14.0,0.0,0.0
847a61bffffffff,7.0,0.0,0.0
847a61dffffffff,29.0,0.0,0.0
847a637ffffffff,2.0,0.0,0.0
847a655ffffffff,2.0,0.0,0.0
847a657ffffffff,12.0,0.0,0.0
847a659ffffffff,6.0,0.0,0.0
847a65bffffffff,4.0,0.0,0.0
847a681ffffffff,30.0,0.0,0.0
847a683ffffffff,5.0,0.0,0.0
847a689ffffffff,1.0,0.0,0.0
847a68bffffffff,6.0,0.0,0.0
847a6a1ffffffff,5.0,0.0,0.0
847a6adffffffff,6.0,0.0,0.0
847a6d1ffffffff,21.0,0.0,0.0
847a6d3ffffffff,2.0,0.0,0.0
847a6d5ffffffff,1.0,0.0,0.0
847a6d9ffffffff,10.0,0.0,0.0
847a6dbffffffff,4.0,0.0,0.0
847a6ddffffffff,2.0,0.0,0.0
847a6e1ffffffff,33.0,0.0,0.0
847a6e5ffffffff,84.0,0.0,0.0
847a6e7ffffffff,8.0,0.0,0.0
847a6e9ffffffff,3.0,0.0,0.0
847a6ebffffffff,6.0,0.0,0.0
847a6edffffffff,3.0,0.0,0.0
847ac15ffffffff,2.0,0.0,0.0
847ac81ffffffff,15.0,0.0,0.0
847ac83ffffffff,5.0,0.0,0.0
847ac8bffffffff,48.0,0.0,0.0
847aca1ffffffff,1.0,0.0,0.0
847aca5ffffffff,1.0,0.0,0.0
847acabffffffff,5.0,0.0,0.0
847acc5ffffffff,1.0,0.0,0.0
847acd7ffffffff,2.0,0.0,0.0
847ad91ffffffff,17.0,0.0,0.0
847ad93ffffffff,7.0,0.0,0.0
847ad95ffffffff,24.0,0.0,0.0
847ad97ffffffff,5.0,0.0,0.0
847ad99ffffffff,83.0,0.0,0.0
847ad9dffffffff,8.0,0.0,0.0
847ada9ffffffff,2.0,0.0,0.0
847adb1ffffffff,2.0,0.0,0.0
847ae85ffffffff,34.0,0.0,0.0
847ae87ffffffff,11.0,0.0,0.0
847ae8bffffffff,1.0,0.0,0.0
847ae99ffffffff,26.0,0.0,0.0
847ae9bffffffff,20.0,0.0,0.0
847ae9dffffffff,12.0,0.0,0.0
847aea3ffffffff,5.0,0.0,0.0
847aed3ffffffff,31.0,0.0,0.0
847aedbffffffff,1.0,0.0,0.0
847b49bffffffff,1.0,0.0,0.0
847b4b1ffffffff,2.0,0.0,0.0
847b4b7ffffffff,1.0,0.0,0.0
847b4d1ffffffff,1.0,0.0,0.0
8482a09ffffffff,9.0,0.0,9.0
8482a55ffffffff,2.0,0.0,2.0
8483045ffffffff,3.0,0.0,0.0
848304dffffffff,8.0,0.0,0.0
848320dffffffff,4.0,0.0,0.0
8483263ffffffff,10.0,0.0,5.0
8483337ffffffff,1.0,0.0,1.0
848333dffffffff,6.0,0.0,6.0
84838adffffffff,1.0,0.0,1.0
8496009ffffffff,11.0,0.0,0.0
8496047ffffffff,6.0,0.0,0.0
8496097ffffffff,3.0,0.0,0.0
84960b1ffffffff,8.0,0.0,0.0
84960b5ffffffff,4.0,0.0,0.0
84960edffffffff,5.0,0.0,0.0
849615dffffffff,1.0,0.0,0.0
8496233ffffffff,1.0,0.0,0.0
849623bffffffff,12.0,0.0,0.0
8496283ffffffff,2.0,0.0,0.0
8496287ffffffff,1.0,0.0,0.0
84962c9ffffffff,13.0,0.0,0.0
84962e5ffffffff,2.0,0.0,0.0
84962edffffffff,1.0,0.0,0.0
8496365ffffffff,6.0,0.0,0.0
8496663ffffffff,1.0,0.0,0.0
849671bffffffff,1.0,0.0,0.0
8496861ffffffff,5.0,0.0,0.0
8496905ffffffff,2.0,0.0,0.0
8496907ffffffff,13.0,0.0,0.0
8496921ffffffff,14.0,0.0,0.0
8496923ffffffff,5.0,0.0,0.0
8496925ffffffff,139.0,0.0,0.0
8496927ffffffff,2.0,0.0,0.0
849692bffffffff,13.0,0.0,0.0
849692dffffffff,26.0,0.0,0.0
8496931ffffffff,2.0,0.0,0.0
8496933ffffffff,6.0,0.0,0.0
8496935ffffffff,1.0,0.0,0.0
8496937ffffffff,8.0,0.0,0.0
849693dffffffff,7.0,0.0,0.0
84969a5ffffffff,5.0,0.0,0.0
8496a2dffffffff,5.0,0.0,0.0
8496a59ffffffff,5.0,0.0,0.0
8496b09ffffffff,2.0,0.0,0.0
8496b19ffffffff,5.0,0.0,0.0
8496b1bffffffff,1.0,0.0,0.0
8496b61ffffffff,2.0,0.0,0.0
8496b63ffffffff,11.0,0.0,0.0
8496b6dffffffff,2.0,0.0,0.0
8497027ffffffff,1.0,0.0,0.0
849702bffffffff,6.0,0.0,0.0
8497035ffffffff,2.0,0.0,0.0
849703dffffffff,13.0,0.0,0.0
8497151ffffffff,3.0,0.0,0.0
849719bffffffff,2.0,0.0,0.0
84971cbffffffff,4.0,0.0,0.0
849721bffffffff,2.0,0.0,0.0
849728dffffffff,2.0,0.0,0.0
8497291ffffffff,1.0,0.0,0.0
849729bffffffff,1.0,0.0,0.0
84972c5ffffffff,1.0,0.0,0.0
84972c9ffffffff,2.0,0.0,0.0
84972cdffffffff,4.0,0.0,0.0
84972d9ffffffff,1.0,0.0,0.0
84972dbffffffff,5.0,0.0,0.0
84972e3ffffffff,15.0,0.0,0.0
84972ebffffffff,3.0,0.0,0.0
849741dffffffff,5.0,0.0,0.0
8497431ffffffff,2.0,0.0,0.0
8497435ffffffff,2.0,0.0,0.0
849743bffffffff,7.0,0.0,0.0
8497455ffffffff,1.0,0.0,0.0
8497461ffffffff,3.0,0.0,0.0
849746bffffffff,1.0,0.0,0.0
84974a1ffffffff,2.0,0.0,0.0
84974a9ffffffff,2.0,0.0,0.0
84974abffffffff,15.0,0.0,0.0
84974b9ffffffff,9.0,0.0,0.0
84974e3ffffffff,2.0,0.0,0.0
84974e9ffffffff,13.0,0.0,0.0
84974edffffffff,5.0,0.0,0.0
8497509ffffffff,1.0,0.0,0.0
8497513ffffffff,1.0,0.0,0.0
8497515ffffffff,4.0,0.0,0.0
8497517ffffffff,6.0,0.0,0.0
8497535ffffffff,5.0,0.0,0.0
8497543ffffffff,2.0,0.0,0.0
84975c7ffffffff,5.0,0.0,0.0
84975c9ffffffff,2.0,0.0,0.0
8497643ffffffff,1.0,0.0,0.0
8497649ffffffff,2.0,0.0,0.0
8497681ffffffff,1.0,0.0,0.0
84976a5ffffffff,2.0,0.0,0.0
8497725ffffffff,2.0,0.0,0.0
849772dffffffff,6.0,0.0,0.0
8497751ffffffff,3.0,0.0,0.0
8497885ffffffff,2.0,0.0,0.0
849789dffffffff,2.0,0.0,0.0
84978d9ffffffff,7.0,0.0,0.0
84978ebffffffff,4.0,0.0,0.0
8497997ffffffff,3.0,0.0,0.0
8497a85ffffffff,5.0,0.0,0.0
8497a8bffffffff,5.0,0.0,0.0
8497aabffffffff,1.0,0.0,0.0
8497ab1ffffffff,1.0,0.0,0.0
84ac125ffffffff,7.0,0.0,0.0
84ac12dffffffff,2.0,0.0,0.0
84ac165ffffffff,3.0,0.0,0.0
84ac801ffffffff,99.0,0.0,0.0
84ac805ffffffff,18.0,0.0,0.0
84ac807ffffffff,2.0,0.0,0.0
84ac811ffffffff,7.0,0.0,0.0
84ac815ffffffff,1.0,0.0,0.0
84ac81bffffffff,1.0,0.0,0.0
84ac81dffffffff,2.0,0.0,0.0
84ac829ffffffff,6.0,0.0,0.0
84ac82dffffffff,4.0,0.0,0.0
84ac841ffffffff,1.0,0.0,0.0
84ac851ffffffff,2.0,0.0,0.0
84ac853ffffffff,3.0,0.0,0.0
84ac857ffffffff,2.0,0.0,0.0
84ac85dffffffff,3.0,0.0,0.0
84ac863ffffffff,28.0,0.0,0.0
84ac867ffffffff,60.0,0.0,0.0
84ac8a9ffffffff,18.0,0.0,0.0
84ac8e9ffffffff,2.0,0.0,0.0
84ac959ffffffff,3.0,0.0,0.0
84aca15ffffffff,108.0,0.0,0.0
84aca19ffffffff,3.0,0.0,0.0
84aca1dffffffff,3.0,0.0,0.0
84aca27ffffffff,18.0,0.0,0.0
84aca33ffffffff,7.0,0.0,0.0
84aca39ffffffff,77.0,0.0,0.0
84aca3bffffffff,2.0,0.0,0.0
84aca3dffffffff,113.0,0.0,0.0
84aca4bffffffff,46.0,0.0,0.0
84aca4dffffffff,3.0,0.0,0.0
84aca51ffffffff,3.0,0.0,0.0
84aca53ffffffff,1.0,0.0,0.0
84aca5dffffffff,15.0,0.0,0.0
84aca61ffffffff,51.0,0.0,0.0
84aca69ffffffff,5.0,0.0,0.0
84aca6bffffffff,70.0,0.0,0.0
84aca6dffffffff,1.0,0.0,0.0
84acaa1ffffffff,4.0,0.0,0.0
84acaa5ffffffff,5.0,0.0,0.0
84acae5ffffffff,1.0,0.0,0.0
84acae7ffffffff,14.0,0.0,0.0
84acaedffffffff,7.0,0.0,0.0
84acb11ffffffff,5.0,0.0,0.0
84acb1bffffffff,11.0,0.0,0.0
84acb35ffffffff,2.0,0.0,0.0
