cell_id,Copsychus saularis,Copsychus saularis [saularis Group],Copsychus saularis [amoenus Group]
82309ffffffffff,4.0,2.0,0.0
8230e7fffffffff,2.0,0.0,0.0
823c07fffffffff,6.0,1.0,0.0
823c0ffffffffff,3.0,0.0,0.0
823c1ffffffffff,26.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0
823c5ffffffffff,4.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0
823c8ffffffffff,10.0,0.0,0.0
823c97fffffffff,1.0,1.0,0.0
823ca7fffffffff,2.0,0.0,0.0
823caffffffffff,7.0,0.0,0.0
823cb7fffffffff,4.0,4.0,0.0
823cc7fffffffff,1.0,0.0,0.0
823ce7fffffffff,5.0,1.0,0.0
823cf7fffffffff,27.0,0.0,0.0
823d17fffffffff,1.0,0.0,0.0
823d87fffffffff,69.0,1.0,0.0
823d8ffffffffff,2.0,0.0,0.0
823d97fffffffff,3.0,0.0,0.0
823d9ffffffffff,4.0,0.0,0.0
823da7fffffffff,4.0,2.0,0.0
823daffffffffff,11.0,3.0,0.0
823db7fffffffff,4.0,4.0,0.0
8240b7fffffffff,1.0,1.0,0.0
8240e7fffffffff,4.0,4.0,0.0
824107fffffffff,9.0,9.0,0.0
82411ffffffffff,18.0,18.0,0.0
824167fffffffff,4.0,0.0,0.0
824177fffffffff,1.0,1.0,0.0
824197fffffffff,3.0,1.0,0.0
8241a7fffffffff,5.0,0.0,0.0
8241b7fffffffff,7.0,2.0,0.0
82426ffffffffff,2.0,0.0,0.0
8242c7fffffffff,12.0,1.0,0.0
8242cffffffffff,1.0,0.0,0.0
8242effffffffff,1.0,1.0,0.0
824ba7fffffffff,10.0,0.0,0.0
824bb7fffffffff,27.0,0.0,0.0
826007fffffffff,114.0,0.0,0.0
826017fffffffff,11.0,2.0,0.0
82601ffffffffff,4.0,0.0,0.0
826027fffffffff,113.0,0.0,0.0
826037fffffffff,73.0,4.0,0.0
82608ffffffffff,4.0,0.0,0.0
826097fffffffff,8.0,4.0,0.0
8260a7fffffffff,6.0,0.0,0.0
8260affffffffff,60.0,0.0,0.0
8260b7fffffffff,8.0,0.0,0.0
82618ffffffffff,43.0,2.0,0.0
82640ffffffffff,13.0,13.0,0.0
82648ffffffffff,2.0,0.0,0.0
826527fffffffff,110.0,0.0,0.0
82658ffffffffff,3.0,0.0,0.0
