cell_id,Amblycercus holosericeus,Amblycercus holosericeus holosericeus/flavirostris,Amblycercus holosericeus australis
8444249ffffffff,46.0,0.0,0.0
8445011ffffffff,33.0,0.0,0.0
8445017ffffffff,2.0,0.0,0.0
8445019ffffffff,204.0,0.0,0.0
844501bffffffff,61.0,7.0,0.0
8445053ffffffff,31.0,0.0,0.0
8445057ffffffff,35.0,0.0,0.0
8445059ffffffff,14.0,0.0,0.0
844505bffffffff,237.0,0.0,0.0
8445081ffffffff,11.0,0.0,0.0
8445083ffffffff,95.0,21.0,0.0
8445085ffffffff,127.0,12.0,0.0
8445087ffffffff,342.0,26.0,0.0
8445089ffffffff,10.0,0.0,0.0
844508bffffffff,15.0,0.0,0.0
844508dffffffff,108.0,3.0,0.0
8445091ffffffff,28.0,7.0,0.0
8445093ffffffff,15.0,9.0,0.0
8445095ffffffff,3.0,0.0,0.0
8445097ffffffff,3.0,3.0,0.0
8445099ffffffff,79.0,0.0,0.0
844509bffffffff,238.0,101.0,0.0
844509dffffffff,1.0,0.0,0.0
84450a1ffffffff,501.0,5.0,0.0
84450a3ffffffff,164.0,12.0,0.0
84450a5ffffffff,87.0,7.0,0.0
84450a7ffffffff,44.0,6.0,0.0
84450a9ffffffff,31.0,0.0,0.0
84450abffffffff,102.0,4.0,0.0
84450adffffffff,15.0,0.0,0.0
84450b1ffffffff,20.0,4.0,0.0
84450b5ffffffff,120.0,0.0,0.0
84450b9ffffffff,2.0,0.0,0.0
84450bdffffffff,39.0,3.0,0.0
84450c1ffffffff,34.0,5.0,0.0
84450c3ffffffff,3.0,0.0,0.0
84450c5ffffffff,52.0,5.0,0.0
84450c7ffffffff,17.0,0.0,0.0
84450cbffffffff,1.0,0.0,0.0
84450cdffffffff,29.0,7.0,0.0
84450d1ffffffff,4.0,0.0,0.0
84450d3ffffffff,119.0,61.0,0.0
84450d5ffffffff,42.0,25.0,0.0
84450d9ffffffff,2.0,0.0,0.0
84450ddffffffff,3.0,0.0,0.0
84450e1ffffffff,36.0,0.0,0.0
84450e3ffffffff,440.0,6.0,0.0
84450e7ffffffff,4.0,0.0,0.0
84450ebffffffff,123.0,24.0,0.0
84450edffffffff,2.0,0.0,0.0
844519bffffffff,14.0,10.0,0.0
8445201ffffffff,5.0,0.0,0.0
8445203ffffffff,6.0,0.0,0.0
8445205ffffffff,156.0,0.0,0.0
8445207ffffffff,54.0,0.0,0.0
8445209ffffffff,74.0,0.0,0.0
844520bffffffff,4.0,0.0,0.0
844520dffffffff,172.0,0.0,0.0
8445211ffffffff,9.0,0.0,0.0
8445213ffffffff,29.0,0.0,0.0
8445215ffffffff,1209.0,0.0,0.0
8445217ffffffff,775.0,0.0,0.0
8445219ffffffff,6.0,0.0,0.0
844521dffffffff,65.0,5.0,0.0
8445221ffffffff,176.0,0.0,0.0
8445225ffffffff,139.0,0.0,0.0
844522bffffffff,18.0,0.0,0.0
844522dffffffff,2.0,0.0,0.0
8445231ffffffff,3.0,0.0,0.0
8445233ffffffff,817.0,0.0,0.0
844523bffffffff,135.0,0.0,0.0
8445241ffffffff,7.0,0.0,0.0
8445243ffffffff,70.0,0.0,0.0
8445247ffffffff,40.0,0.0,0.0
8445249ffffffff,50.0,0.0,0.0
844524bffffffff,12.0,0.0,0.0
844524dffffffff,3.0,0.0,0.0
8445253ffffffff,2.0,0.0,0.0
8445255ffffffff,11.0,0.0,0.0
8445257ffffffff,86.0,9.0,0.0
844525dffffffff,8.0,0.0,0.0
8445261ffffffff,44.0,0.0,0.0
8445263ffffffff,291.0,0.0,0.0
8445267ffffffff,4.0,0.0,0.0
8445269ffffffff,5.0,0.0,0.0
844526bffffffff,65.0,0.0,0.0
8445283ffffffff,4.0,0.0,0.0
8445285ffffffff,32.0,6.0,0.0
8445287ffffffff,10.0,3.0,0.0
8445289ffffffff,402.0,0.0,0.0
844528dffffffff,94.0,0.0,0.0
8445297ffffffff,16.0,0.0,0.0
844529bffffffff,19.0,2.0,0.0
84452a1ffffffff,19.0,2.0,0.0
84452a3ffffffff,9.0,4.0,0.0
84452a5ffffffff,310.0,0.0,0.0
84452a7ffffffff,29.0,3.0,0.0
84452a9ffffffff,70.0,0.0,0.0
84452abffffffff,42.0,0.0,0.0
84452adffffffff,1742.0,0.0,0.0
84452b5ffffffff,27.0,0.0,0.0
84452b7ffffffff,1.0,0.0,0.0
84452b9ffffffff,28.0,6.0,0.0
84452bdffffffff,126.0,15.0,0.0
84452c1ffffffff,35.0,2.0,0.0
84452c3ffffffff,524.0,30.0,0.0
84452c5ffffffff,122.0,9.0,0.0
84452c7ffffffff,634.0,20.0,0.0
84452c9ffffffff,66.0,14.0,0.0
84452cbffffffff,32.0,0.0,0.0
84452cdffffffff,2.0,0.0,0.0
84452d5ffffffff,9.0,0.0,0.0
84452d7ffffffff,4.0,0.0,0.0
84452d9ffffffff,226.0,92.0,0.0
84452dbffffffff,4.0,0.0,0.0
84452ddffffffff,5.0,0.0,0.0
84452e1ffffffff,3823.0,0.0,0.0
84452e3ffffffff,80.0,0.0,0.0
84452e5ffffffff,1201.0,0.0,0.0
84452e7ffffffff,113.0,0.0,0.0
84452e9ffffffff,48.0,0.0,0.0
84452ebffffffff,162.0,3.0,0.0
84452edffffffff,143.0,0.0,0.0
8445303ffffffff,1.0,0.0,0.0
8445305ffffffff,3.0,0.0,0.0
8445309ffffffff,18.0,0.0,0.0
8445319ffffffff,6.0,0.0,0.0
8445321ffffffff,13.0,0.0,0.0
844532bffffffff,68.0,0.0,0.0
8445343ffffffff,61.0,0.0,0.0
8445349ffffffff,6.0,0.0,0.0
844534dffffffff,11.0,0.0,0.0
8445351ffffffff,53.0,0.0,0.0
8445353ffffffff,17.0,0.0,0.0
8445355ffffffff,2.0,0.0,0.0
844535bffffffff,3.0,0.0,0.0
844535dffffffff,5.0,0.0,0.0
8445363ffffffff,18.0,0.0,0.0
8445365ffffffff,21.0,0.0,0.0
8445367ffffffff,9.0,0.0,0.0
8445649ffffffff,4.0,0.0,0.0
8445721ffffffff,43.0,23.0,0.0
8445725ffffffff,87.0,4.0,0.0
8445727ffffffff,6.0,4.0,0.0
8445729ffffffff,2.0,0.0,0.0
8445761ffffffff,18.0,0.0,0.0
8445765ffffffff,2.0,0.0,0.0
8445767ffffffff,10.0,0.0,0.0
8449903ffffffff,1.0,0.0,0.0
844991dffffffff,3.0,0.0,0.0
844992bffffffff,8.0,8.0,0.0
8449937ffffffff,2.0,2.0,0.0
8449961ffffffff,79.0,24.0,0.0
8449963ffffffff,9.0,0.0,0.0
8449965ffffffff,33.0,7.0,0.0
8449967ffffffff,5.0,0.0,0.0
8449969ffffffff,14.0,1.0,0.0
844996bffffffff,7.0,0.0,0.0
844996dffffffff,29.0,1.0,0.0
8449981ffffffff,5.0,0.0,0.0
8449987ffffffff,55.0,0.0,0.0
84499c5ffffffff,12.0,0.0,0.0
84499ebffffffff,2.0,0.0,0.0
8466089ffffffff,5.0,0.0,0.0
846608dffffffff,10.0,0.0,0.0
84660b3ffffffff,1.0,0.0,0.0
84660b9ffffffff,1.0,0.0,0.0
84660bdffffffff,5.0,0.0,0.0
84660c3ffffffff,18.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0
8466103ffffffff,6.0,0.0,0.0
8466105ffffffff,1.0,0.0,0.0
8466107ffffffff,12.0,2.0,0.0
8466129ffffffff,9.0,0.0,0.0
8466131ffffffff,53.0,6.0,0.0
8466135ffffffff,2.0,0.0,0.0
8466139ffffffff,12.0,0.0,0.0
8466161ffffffff,3.0,0.0,0.0
8466163ffffffff,28.0,0.0,0.0
8466165ffffffff,4.0,0.0,0.0
8466187ffffffff,2.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0
8466197ffffffff,15.0,0.0,0.0
846619bffffffff,5.0,0.0,0.0
846619dffffffff,11.0,0.0,0.0
84661a5ffffffff,3.0,0.0,0.0
84661b1ffffffff,4.0,0.0,0.0
84661b3ffffffff,8.0,0.0,0.0
84661b9ffffffff,7.0,0.0,0.0
84661bbffffffff,13.0,0.0,0.0
84661bdffffffff,1.0,0.0,0.0
84661c7ffffffff,2.0,0.0,0.0
8466217ffffffff,134.0,0.0,0.0
846622bffffffff,116.0,0.0,15.0
846623dffffffff,7.0,0.0,0.0
