cell_id,Myzomela wakoloensis,Myzomela wakoloensis elisabethae,Myzomela wakoloensis wakoloensis
8495441ffffffff,16.0,0.0,0.0
849544bffffffff,113.0,0.0,84.0
84954d9ffffffff,1.0,1.0,0.0
84956a3ffffffff,1.0,1.0,0.0
84956abffffffff,5.0,5.0,0.0
84956b1ffffffff,1.0,0.0,0.0
84956bdffffffff,122.0,75.0,0.0
