cell_id,Anisognathus somptuosus,Anisognathus somptuosus [somptuosus Group],Anisognathus somptuosus flavinucha
836608fffffffff,224.0,3.0,0.0
836609fffffffff,4.0,0.0,0.0
83660afffffffff,4.0,0.0,0.0
83660bfffffffff,41.0,0.0,0.0
83660cfffffffff,4.0,0.0,0.0
83660dfffffffff,5.0,0.0,0.0
836618fffffffff,334.0,0.0,0.0
836619fffffffff,895.0,4.0,0.0
83661bfffffffff,2998.0,44.0,0.0
83661dfffffffff,234.0,1.0,0.0
83662bfffffffff,1.0,0.0,0.0
8366c0fffffffff,32.0,0.0,0.0
8366c2fffffffff,251.0,0.0,0.0
8366c4fffffffff,83.0,0.0,0.0
8366c6fffffffff,993.0,9.0,0.0
8366d0fffffffff,312.0,9.0,0.0
8366d1fffffffff,42.0,1.0,0.0
8366d2fffffffff,2.0,0.0,0.0
8366d3fffffffff,7021.0,469.0,0.0
8366d5fffffffff,103.0,4.0,0.0
8366dafffffffff,12.0,0.0,0.0
8366defffffffff,1964.0,173.0,0.0
8366e0fffffffff,149.0,2.0,0.0
8366e2fffffffff,52.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0
8366e4fffffffff,12.0,0.0,0.0
8366e5fffffffff,33.0,0.0,0.0
8366e6fffffffff,4339.0,100.0,0.0
8366f0fffffffff,86.0,0.0,0.0
8366f1fffffffff,4083.0,28.0,0.0
8366f3fffffffff,18.0,0.0,0.0
8366f5fffffffff,818.0,2.0,0.0
836741fffffffff,11.0,0.0,0.0
836743fffffffff,167.0,2.0,0.0
83674efffffffff,207.0,1.0,0.0
83675cfffffffff,24.0,0.0,0.0
838b20fffffffff,96.0,0.0,21.0
838b21fffffffff,67.0,0.0,15.0
838b22fffffffff,7.0,0.0,0.0
838b26fffffffff,3.0,0.0,0.0
838b2cfffffffff,125.0,0.0,16.0
838b2dfffffffff,26.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0
838b61fffffffff,64.0,0.0,0.0
838b6cfffffffff,30.0,0.0,0.0
838b75fffffffff,62.0,0.0,0.0
838e64fffffffff,173.0,0.0,0.0
838e65fffffffff,21.0,0.0,0.0
838e6cfffffffff,4.0,0.0,0.0
838f0dfffffffff,55.0,0.0,0.0
838f29fffffffff,71.0,0.0,0.0
838f2bfffffffff,94.0,9.0,0.0
838f2dfffffffff,45.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0
838f42fffffffff,42.0,0.0,0.0
838f43fffffffff,109.0,4.0,0.0
838f46fffffffff,338.0,7.0,0.0
838f48fffffffff,4.0,0.0,0.0
838f4afffffffff,73.0,0.0,0.0
838f54fffffffff,90.0,0.0,0.0
838f55fffffffff,17.0,0.0,0.0
838f59fffffffff,8.0,0.0,0.0
838f5cfffffffff,4.0,0.0,0.0
838f5dfffffffff,25.0,0.0,0.0
838f70fffffffff,117.0,0.0,0.0
838f72fffffffff,83.0,1.0,0.0
838f73fffffffff,100.0,4.0,0.0
838f74fffffffff,6.0,0.0,0.0
838f76fffffffff,100.0,3.0,0.0
83b321fffffffff,2.0,0.0,0.0
83b324fffffffff,3.0,0.0,0.0
83b325fffffffff,45.0,0.0,9.0
