cell_id,Thryothorus ludovicianus,Thryothorus ludovicianus [ludovicianus Group],Thryothorus ludovicianus [berlandieri Group],Thryothorus ludovicianus albinucha/subfulvus
820e4ffffffffff,2.0,0.0,0.0,0.0
822607fffffffff,19.0,0.0,0.0,0.0
82260ffffffffff,6.0,2.0,0.0,0.0
822617fffffffff,5.0,0.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0,0.0
822627fffffffff,23.0,0.0,0.0,0.0
82262ffffffffff,127.0,1.0,0.0,0.0
822647fffffffff,54.0,1.0,0.0,0.0
82264ffffffffff,126.0,105.0,0.0,0.0
822657fffffffff,32.0,2.0,0.0,0.0
82265ffffffffff,26.0,3.0,0.0,0.0
822667fffffffff,94.0,4.0,0.0,0.0
82266ffffffffff,15.0,1.0,0.0,0.0
822677fffffffff,8.0,3.0,0.0,0.0
822687fffffffff,20.0,0.0,0.0,0.0
82268ffffffffff,149.0,0.0,0.0,0.0
8226affffffffff,29.0,0.0,0.0,0.0
8226c7fffffffff,3.0,0.0,0.0,0.0
8226cffffffffff,2.0,0.0,0.0,0.0
8226d7fffffffff,41.0,0.0,0.0,0.0
8226dffffffffff,26.0,0.0,0.0,0.0
8226e7fffffffff,35.0,1.0,0.0,0.0
8226effffffffff,5.0,0.0,0.0,0.0
8226f7fffffffff,45.0,0.0,0.0,0.0
822707fffffffff,10.0,0.0,0.0,0.0
82270ffffffffff,8.0,0.0,0.0,0.0
822717fffffffff,1.0,0.0,0.0,0.0
822747fffffffff,69.0,0.0,0.0,0.0
82274ffffffffff,487.0,3.0,0.0,0.0
822757fffffffff,112.0,1.0,0.0,0.0
82275ffffffffff,95.0,0.0,0.0,0.0
822767fffffffff,33.0,0.0,0.0,0.0
82276ffffffffff,49.0,0.0,0.0,0.0
822777fffffffff,9.0,0.0,0.0,0.0
82289ffffffffff,3.0,0.0,0.0,0.0
822a07fffffffff,46.0,3.0,0.0,0.0
822a17fffffffff,16209.0,56.0,0.0,0.0
822a1ffffffffff,9.0,0.0,0.0,0.0
822a37fffffffff,336.0,10.0,0.0,0.0
822a87fffffffff,42.0,8.0,0.0,0.0
822a8ffffffffff,22.0,0.0,0.0,0.0
822a97fffffffff,7.0,3.0,0.0,0.0
822a9ffffffffff,9.0,1.0,0.0,0.0
822aa7fffffffff,53.0,1.0,0.0,0.0
822aaffffffffff,1578.0,88.0,0.0,0.0
822ab7fffffffff,1338.0,482.0,0.0,0.0
822af7fffffffff,16.0,1.0,0.0,0.0
822b07fffffffff,186.0,2.0,0.0,0.0
822b0ffffffffff,325.0,0.0,0.0,0.0
822b17fffffffff,96.0,0.0,0.0,0.0
822b1ffffffffff,113.0,0.0,0.0,0.0
822b37fffffffff,177.0,0.0,0.0,0.0
822b87fffffffff,515.0,6.0,0.0,0.0
822b8ffffffffff,702.0,18.0,0.0,0.0
822b97fffffffff,18.0,0.0,0.0,0.0
822b9ffffffffff,583.0,171.0,0.0,0.0
822ba7fffffffff,20.0,0.0,0.0,0.0
822baffffffffff,489.0,5.0,0.0,0.0
824417fffffffff,242.0,3.0,0.0,0.0
82441ffffffffff,69.0,33.0,0.0,0.0
824447fffffffff,17.0,0.0,0.0,0.0
82444ffffffffff,21.0,0.0,0.0,0.0
824457fffffffff,3.0,0.0,0.0,0.0
82445ffffffffff,2.0,0.0,0.0,0.0
82446ffffffffff,5.0,0.0,0.0,0.0
8244a7fffffffff,388.0,3.0,0.0,0.0
8244affffffffff,24.0,3.0,0.0,0.0
8244c7fffffffff,6.0,0.0,0.0,0.0
8244cffffffffff,9.0,0.0,0.0,0.0
8244d7fffffffff,8.0,2.0,0.0,0.0
8244dffffffffff,6.0,0.0,0.0,0.0
8244e7fffffffff,6.0,0.0,0.0,0.0
8244f7fffffffff,31.0,14.0,0.0,0.0
82450ffffffffff,11.0,0.0,0.0,9.0
82452ffffffffff,107.0,0.0,0.0,24.0
824887fffffffff,1.0,0.0,0.0,0.0
82488ffffffffff,5.0,0.0,0.0,0.0
824897fffffffff,7.0,0.0,0.0,0.0
82489ffffffffff,8.0,2.0,0.0,0.0
8248a7fffffffff,2.0,0.0,2.0,0.0
8248affffffffff,27.0,4.0,0.0,0.0
8248b7fffffffff,24.0,0.0,17.0,0.0
8248c7fffffffff,213.0,0.0,0.0,0.0
8248cffffffffff,3.0,0.0,0.0,0.0
8248d7fffffffff,17.0,0.0,0.0,0.0
8248dffffffffff,35.0,0.0,0.0,0.0
8248effffffffff,32.0,0.0,0.0,0.0
8248f7fffffffff,6.0,0.0,0.0,0.0
82499ffffffffff,1.0,0.0,1.0,0.0
826d2ffffffffff,62.0,0.0,0.0,55.0
826d67fffffffff,105.0,0.0,0.0,61.0
