cell_id,Leptosomus discolor,Leptosomus discolor gracilis,Leptosomus discolor intermedius,Leptosomus discolor discolor
82a207fffffffff,1.0,0.0,0.0,0.0
82a217fffffffff,311.0,0.0,0.0,0.0
82a227fffffffff,211.0,0.0,0.0,0.0
82a237fffffffff,285.0,0.0,0.0,0.0
82a2a7fffffffff,186.0,0.0,0.0,0.0
82a2affffffffff,18.0,0.0,0.0,0.0
82a307fffffffff,16.0,0.0,0.0,0.0
82a30ffffffffff,62.0,0.0,0.0,0.0
82a31ffffffffff,214.0,0.0,0.0,0.0
82a327fffffffff,1.0,0.0,0.0,0.0
82a337fffffffff,38.0,0.0,0.0,0.0
82a357fffffffff,37.0,0.0,0.0,0.0
82a377fffffffff,31.0,0.0,0.0,0.0
82a38ffffffffff,42.0,0.0,0.0,0.0
82a39ffffffffff,12.0,0.0,0.0,0.0
82a3affffffffff,16.0,0.0,0.0,0.0
