cell_id,Muscicapa sibirica,Muscicapa sibirica sibirica,Muscicapa sibirica [cacabata Group]
820a37fffffffff,2.0,0.0,0.0
8214affffffffff,2.0,0.0,0.0
82158ffffffffff,6.0,0.0,0.0
821597fffffffff,7.0,0.0,0.0
8215b7fffffffff,2.0,0.0,0.0
821617fffffffff,7.0,0.0,0.0
82171ffffffffff,10.0,0.0,0.0
82209ffffffffff,38.0,0.0,0.0
822407fffffffff,3.0,0.0,0.0
82240ffffffffff,4.0,0.0,0.0
82242ffffffffff,4.0,0.0,0.0
822437fffffffff,1.0,0.0,0.0
82244ffffffffff,17.0,0.0,0.0
822457fffffffff,30.0,0.0,0.0
822467fffffffff,36.0,0.0,0.0
82246ffffffffff,2.0,0.0,0.0
822477fffffffff,2.0,0.0,0.0
822547fffffffff,31.0,0.0,0.0
82255ffffffffff,27.0,0.0,0.0
822e0ffffffffff,2.0,0.0,0.0
822e1ffffffffff,6.0,0.0,0.0
822e67fffffffff,1.0,0.0,0.0
822e6ffffffffff,11.0,0.0,0.0
822e77fffffffff,3.0,0.0,0.0
822e8ffffffffff,3.0,0.0,0.0
822eaffffffffff,11.0,0.0,0.0
822ec7fffffffff,2.0,0.0,0.0
822ecffffffffff,2.0,0.0,0.0
822edffffffffff,3.0,0.0,0.0
822ef7fffffffff,1.0,0.0,0.0
822f5ffffffffff,11.0,0.0,0.0
823007fffffffff,3.0,0.0,0.0
823017fffffffff,1.0,0.0,0.0
82301ffffffffff,9.0,0.0,0.0
823027fffffffff,1.0,0.0,0.0
823037fffffffff,19.0,0.0,0.0
823087fffffffff,27.0,0.0,0.0
823097fffffffff,1.0,0.0,0.0
82309ffffffffff,253.0,1.0,0.0
8230affffffffff,1.0,0.0,0.0
8230c7fffffffff,5.0,0.0,0.0
8230dffffffffff,1.0,0.0,0.0
8230e7fffffffff,38.0,0.0,0.0
8230f7fffffffff,1.0,0.0,0.0
823137fffffffff,2.0,0.0,0.0
82316ffffffffff,31.0,0.0,0.0
823187fffffffff,60.0,0.0,0.0
82318ffffffffff,187.0,0.0,0.0
823197fffffffff,3.0,0.0,0.0
8231affffffffff,84.0,0.0,0.0
823c07fffffffff,251.0,0.0,0.0
823c0ffffffffff,244.0,0.0,0.0
823c1ffffffffff,373.0,0.0,0.0
823c37fffffffff,41.0,0.0,0.0
823c57fffffffff,508.0,0.0,0.0
823c5ffffffffff,66.0,0.0,0.0
823c6ffffffffff,9.0,0.0,0.0
823cc7fffffffff,31.0,0.0,0.0
823cdffffffffff,40.0,0.0,0.0
823ce7fffffffff,201.0,0.0,0.0
823ceffffffffff,49.0,0.0,0.0
823cf7fffffffff,1.0,0.0,0.0
823d17fffffffff,435.0,0.0,0.0
823d1ffffffffff,120.0,0.0,0.0
823d37fffffffff,204.0,0.0,0.0
823daffffffffff,266.0,0.0,0.0
82400ffffffffff,2.0,0.0,0.0
82401ffffffffff,2.0,0.0,0.0
824027fffffffff,2.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0
82404ffffffffff,16.0,0.0,0.0
82405ffffffffff,6.0,0.0,0.0
824067fffffffff,1.0,0.0,0.0
8240a7fffffffff,7.0,0.0,0.0
8240affffffffff,5.0,0.0,0.0
8240b7fffffffff,4.0,0.0,0.0
8240c7fffffffff,56.0,0.0,0.0
8240cffffffffff,3.0,0.0,0.0
8240e7fffffffff,39.0,0.0,2.0
8240effffffffff,53.0,0.0,2.0
824107fffffffff,13.0,0.0,0.0
82411ffffffffff,139.0,0.0,0.0
824147fffffffff,8.0,0.0,0.0
82414ffffffffff,14.0,0.0,0.0
824157fffffffff,1.0,0.0,0.0
82415ffffffffff,12.0,0.0,0.0
824167fffffffff,4.0,0.0,0.0
82416ffffffffff,1.0,0.0,0.0
824177fffffffff,2.0,0.0,0.0
824187fffffffff,6.0,0.0,0.0
824197fffffffff,3.0,0.0,0.0
8241a7fffffffff,31.0,0.0,0.0
8241b7fffffffff,347.0,1.0,0.0
82426ffffffffff,18.0,0.0,0.0
824a27fffffffff,4.0,0.0,0.0
824b27fffffffff,1.0,0.0,0.0
824b37fffffffff,5.0,1.0,0.0
824b77fffffffff,1.0,0.0,0.0
824ba7fffffffff,62.0,0.0,0.0
824baffffffffff,4.0,0.0,0.0
824bb7fffffffff,56.0,0.0,0.0
826417fffffffff,282.0,0.0,1.0
826427fffffffff,8.0,0.0,0.0
826437fffffffff,78.0,1.0,1.0
826487fffffffff,59.0,2.0,0.0
82648ffffffffff,7.0,0.0,0.0
826497fffffffff,7.0,0.0,0.0
82649ffffffffff,5.0,0.0,0.0
8264a7fffffffff,89.0,2.0,0.0
8264b7fffffffff,13.0,0.0,0.0
826507fffffffff,174.0,0.0,0.0
82650ffffffffff,2.0,0.0,0.0
82651ffffffffff,160.0,3.0,0.0
826527fffffffff,182.0,0.0,0.0
82652ffffffffff,1.0,0.0,0.0
826587fffffffff,52.0,0.0,0.0
82658ffffffffff,221.0,4.0,0.0
826597fffffffff,2.0,0.0,0.0
82659ffffffffff,59.0,0.0,0.0
8265a7fffffffff,4.0,0.0,0.0
8265b7fffffffff,75.0,0.0,0.0
826807fffffffff,7.0,0.0,0.0
826817fffffffff,105.0,0.0,0.0
82681ffffffffff,190.0,1.0,0.0
82689ffffffffff,2.0,0.0,0.0
8268affffffffff,5.0,0.0,0.0
826937fffffffff,12.0,0.0,0.0
828c17fffffffff,6.0,0.0,0.0
828c97fffffffff,19.0,0.0,0.0
828caffffffffff,2.0,0.0,0.0
828cd7fffffffff,2.0,0.0,0.0
828d8ffffffffff,2.0,0.0,0.0
