cell_id,Aulacorhynchus albivitta,Aulacorhynchus albivitta lautus,Aulacorhynchus albivitta griseigularis,Aulacorhynchus albivitta albivitta/phaeolaemus,Aulacorhynchus albivitta cyanolaemus,Aulacorhynchus albivitta atrogularis/dimidiatus
826607fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,958.0,0.0,0.0,60.0,0.0,0.0
82661ffffffffff,5549.0,0.0,240.0,140.0,0.0,0.0
826627fffffffff,3493.0,1469.0,0.0,346.0,0.0,0.0
82662ffffffffff,261.0,0.0,0.0,42.0,0.0,0.0
8266c7fffffffff,989.0,0.0,21.0,10.0,0.0,0.0
8266d7fffffffff,95.0,0.0,5.0,16.0,0.0,0.0
8266dffffffffff,941.0,0.0,0.0,289.0,0.0,0.0
8266e7fffffffff,7107.0,0.0,248.0,322.0,0.0,0.0
8266f7fffffffff,1596.0,0.0,45.0,156.0,0.0,0.0
82675ffffffffff,72.0,0.0,0.0,0.0,0.0,0.0
828b27fffffffff,4.0,0.0,0.0,0.0,0.0,3.0
828b2ffffffffff,6.0,0.0,0.0,0.0,0.0,4.0
828b47fffffffff,87.0,0.0,0.0,0.0,0.0,3.0
828b5ffffffffff,23.0,0.0,0.0,0.0,0.0,16.0
828b67fffffffff,437.0,0.0,0.0,0.0,0.0,45.0
828b6ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0
828b77fffffffff,70.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,138.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0
828f47fffffffff,115.0,0.0,0.0,0.0,2.0,1.0
828f4ffffffffff,85.0,0.0,0.0,0.0,0.0,7.0
828f57fffffffff,222.0,0.0,0.0,0.0,47.0,0.0
828f5ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0
828f6ffffffffff,8.0,0.0,0.0,0.0,0.0,4.0
828f77fffffffff,394.0,0.0,0.0,0.0,77.0,5.0
82b327fffffffff,64.0,0.0,0.0,0.0,0.0,10.0
