cell_id,Cyanistes cyanus,Cyanistes cyanus [cyanus Group],Cyanistes cyanus [flavipectus Group]
830bb0fffffffff,2.0,0.0,0.0
8310c2fffffffff,44.0,0.0,0.0
8310c3fffffffff,3.0,0.0,0.0
8310c6fffffffff,1.0,0.0,0.0
8310dcfffffffff,24.0,0.0,0.0
83118cfffffffff,1.0,0.0,0.0
8311a8fffffffff,1.0,0.0,0.0
8311aefffffffff,107.0,17.0,0.0
8314aefffffffff,61.0,0.0,0.0
8314d6fffffffff,1.0,0.0,0.0
831592fffffffff,9.0,0.0,0.0
831598fffffffff,4.0,0.0,0.0
8315b3fffffffff,2.0,0.0,0.0
831e64fffffffff,6.0,0.0,0.0
831f59fffffffff,15.0,0.0,0.0
831f73fffffffff,1.0,0.0,0.0
83200afffffffff,34.0,17.0,0.0
83200efffffffff,4.0,2.0,0.0
832012fffffffff,20.0,0.0,19.0
832013fffffffff,12.0,0.0,11.0
832018fffffffff,17.0,8.0,0.0
832019fffffffff,1.0,0.0,0.0
83201afffffffff,25.0,0.0,4.0
83201bfffffffff,15.0,0.0,1.0
83201dfffffffff,10.0,3.0,0.0
83204afffffffff,28.0,4.0,0.0
83204bfffffffff,9.0,2.0,0.0
832059fffffffff,7.0,0.0,0.0
83205afffffffff,1.0,0.0,0.0
83205bfffffffff,17.0,5.0,0.0
83205efffffffff,3.0,2.0,0.0
832075fffffffff,1.0,0.0,0.0
832080fffffffff,7.0,0.0,6.0
832081fffffffff,1.0,0.0,1.0
832083fffffffff,16.0,0.0,12.0
832084fffffffff,3.0,0.0,3.0
83208dfffffffff,3.0,0.0,0.0
8320a0fffffffff,7.0,0.0,7.0
8320a1fffffffff,2.0,0.0,1.0
8320a2fffffffff,41.0,0.0,40.0
8320a5fffffffff,5.0,0.0,4.0
8320a6fffffffff,13.0,0.0,12.0
8320a8fffffffff,1.0,0.0,1.0
8320a9fffffffff,9.0,2.0,7.0
8320adfffffffff,25.0,2.0,18.0
8320aefffffffff,2.0,0.0,2.0
8320c1fffffffff,2.0,0.0,0.0
8320c8fffffffff,4.0,0.0,0.0
8320c9fffffffff,1.0,0.0,0.0
8320e0fffffffff,5.0,3.0,0.0
8320e2fffffffff,23.0,8.0,0.0
8320e3fffffffff,32.0,7.0,0.0
8320e5fffffffff,1.0,0.0,0.0
8320e6fffffffff,74.0,35.0,2.0
8320e9fffffffff,10.0,0.0,0.0
8320eefffffffff,4.0,0.0,0.0
8320f2fffffffff,1.0,1.0,0.0
8320f4fffffffff,1.0,0.0,1.0
8320f5fffffffff,14.0,0.0,0.0
832129fffffffff,1.0,0.0,0.0
832148fffffffff,1.0,0.0,0.0
83214afffffffff,1.0,0.0,0.0
832153fffffffff,7.0,0.0,0.0
832429fffffffff,3.0,0.0,0.0
83242efffffffff,1.0,0.0,0.0
832460fffffffff,6.0,0.0,0.0
832461fffffffff,1.0,0.0,0.0
832464fffffffff,1.0,0.0,0.0
83246dfffffffff,2.0,0.0,0.0
832502fffffffff,1.0,0.0,0.0
832510fffffffff,1.0,0.0,0.0
832512fffffffff,34.0,0.0,0.0
832516fffffffff,3.0,0.0,0.0
83251bfffffffff,1.0,0.0,0.0
832540fffffffff,36.0,0.0,0.0
832541fffffffff,12.0,0.0,0.0
832553fffffffff,2.0,0.0,0.0
83255afffffffff,269.0,0.0,0.0
83255bfffffffff,4.0,0.0,0.0
8325a1fffffffff,2.0,0.0,0.0
8325a3fffffffff,2.0,0.0,0.0
8325a4fffffffff,25.0,0.0,0.0
8325acfffffffff,44.0,0.0,0.0
8325aefffffffff,6.0,0.0,0.0
8325b0fffffffff,40.0,2.0,0.0
8325b4fffffffff,41.0,1.0,0.0
8325b6fffffffff,4.0,0.0,0.0
832ec9fffffffff,6.0,0.0,0.0
832ecbfffffffff,21.0,0.0,0.0
833126fffffffff,6.0,0.0,0.0
833d21fffffffff,1.0,0.0,0.0
