cell_id,Setophaga petechia,Setophaga petechia [aestiva Group],Setophaga petechia [erithachorides Group],Setophaga petechia aureola,Setophaga petechia [petechia Group],Setophaga petechia [erithachorides Group x petechia Group]
830c01fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c02fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c03fffffffff,132.0,0.0,0.0,0.0,0.0,0.0
830c04fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830c05fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830c06fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830c0bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830c14fffffffff,4359.0,0.0,0.0,0.0,0.0,0.0
830c15fffffffff,499.0,0.0,0.0,0.0,0.0,0.0
830c18fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830c1bfffffffff,43.0,5.0,0.0,0.0,0.0,0.0
830c1efffffffff,142.0,0.0,0.0,0.0,0.0,0.0
830c21fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830c23fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
830c2afffffffff,58.0,0.0,0.0,0.0,0.0,0.0
830c2cfffffffff,26.0,0.0,0.0,0.0,0.0,0.0
830c2dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c30fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830c32fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830c33fffffffff,132.0,0.0,0.0,0.0,0.0,0.0
830c34fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
830c35fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,441.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,558.0,0.0,0.0,0.0,0.0,0.0
830c44fffffffff,57.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,367.0,4.0,0.0,0.0,0.0,0.0
830c50fffffffff,64.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,105.0,0.0,0.0,0.0,0.0,0.0
830c52fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c54fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,91.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,329.0,0.0,0.0,0.0,0.0,0.0
830c60fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c61fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c62fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830c63fffffffff,36.0,4.0,0.0,0.0,0.0,0.0
830c64fffffffff,60.0,0.0,0.0,0.0,0.0,0.0
830c65fffffffff,36.0,3.0,0.0,0.0,0.0,0.0
830c66fffffffff,298.0,44.0,0.0,0.0,0.0,0.0
830c68fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830c69fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c6afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c70fffffffff,47.0,4.0,0.0,0.0,0.0,0.0
830c71fffffffff,99.0,10.0,0.0,0.0,0.0,0.0
830c72fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,1343.0,125.0,0.0,0.0,0.0,0.0
830c74fffffffff,331.0,59.0,0.0,0.0,0.0,0.0
830c75fffffffff,216.0,22.0,0.0,0.0,0.0,0.0
830c76fffffffff,58.0,4.0,0.0,0.0,0.0,0.0
830ca4fffffffff,58.0,0.0,0.0,0.0,0.0,0.0
830cccfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ccefffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830cddfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830cdefffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830ce3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830ce8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ce9fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
830cecfffffffff,14.0,0.0,0.0,0.0,0.0,0.0
830cedfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830ceefffffffff,22.0,0.0,0.0,0.0,0.0,0.0
830cf4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830d03fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d09fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
830d0afffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830d0bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830d0dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d1bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830d40fffffffff,45.0,0.0,0.0,0.0,0.0,0.0
830d42fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
830d44fffffffff,37.0,0.0,0.0,0.0,0.0,0.0
830d46fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
830d48fffffffff,71.0,0.0,0.0,0.0,0.0,0.0
830d49fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
830d4afffffffff,34.0,1.0,0.0,0.0,0.0,0.0
830d4cfffffffff,17.0,0.0,0.0,0.0,0.0,0.0
830d4dfffffffff,104.0,0.0,0.0,0.0,0.0,0.0
830d4efffffffff,18.0,0.0,0.0,0.0,0.0,0.0
830d52fffffffff,83.0,2.0,0.0,0.0,0.0,0.0
830d53fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
830d56fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830d58fffffffff,138.0,4.0,0.0,0.0,0.0,0.0
