cell_id,Tangara arthus,Tangara arthus arthus,Tangara arthus [aurulenta Group],Tangara arthus [pulchra Group]
82660ffffffffff,2.0,0.0,0.0,0.0
82661ffffffffff,11.0,0.0,1.0,0.0
8266d7fffffffff,38.0,0.0,9.0,0.0
8266dffffffffff,27.0,0.0,19.0,0.0
8266e7fffffffff,1.0,0.0,1.0,0.0
8266f7fffffffff,12.0,0.0,4.0,0.0
82674ffffffffff,2.0,0.0,0.0,0.0
82675ffffffffff,6.0,0.0,0.0,0.0
828b67fffffffff,10.0,0.0,0.0,2.0
828f2ffffffffff,7.0,0.0,4.0,0.0
828f47fffffffff,1.0,0.0,0.0,1.0
828f4ffffffffff,2.0,0.0,0.0,0.0
828f77fffffffff,9.0,0.0,0.0,2.0
