cell_id,Icterus pyrrhopterus,Icterus pyrrhopterus tibialis,Icterus pyrrhopterus [pyrrhopterus Group]
8480007ffffffff,2.0,0.0,0.0
8480021ffffffff,1.0,1.0,0.0
8480061ffffffff,8.0,0.0,0.0
8480101ffffffff,29.0,5.0,0.0
8480103ffffffff,2.0,0.0,0.0
8480105ffffffff,10.0,0.0,0.0
8480107ffffffff,5.0,0.0,0.0
8480109ffffffff,131.0,56.0,0.0
848010dffffffff,5.0,0.0,0.0
848011bffffffff,53.0,0.0,0.0
848011dffffffff,2.0,2.0,0.0
8480139ffffffff,1.0,0.0,0.0
8480141ffffffff,69.0,26.0,0.0
8480147ffffffff,4.0,1.0,0.0
8480155ffffffff,2.0,0.0,0.0
8480165ffffffff,8.0,5.0,0.0
848016bffffffff,14.0,0.0,0.0
848016dffffffff,10.0,4.0,0.0
8480245ffffffff,2.0,0.0,0.0
8480301ffffffff,52.0,4.0,0.0
8480305ffffffff,4.0,4.0,0.0
8480309ffffffff,2.0,0.0,0.0
848030dffffffff,3.0,0.0,0.0
8480359ffffffff,2.0,0.0,0.0
8480363ffffffff,24.0,6.0,0.0
8480a4dffffffff,1.0,0.0,0.0
8481005ffffffff,16.0,6.0,0.0
8481007ffffffff,1.0,0.0,0.0
8481011ffffffff,3.0,0.0,0.0
8481021ffffffff,1.0,0.0,0.0
8481029ffffffff,47.0,2.0,0.0
8481049ffffffff,5.0,0.0,0.0
8481061ffffffff,2.0,0.0,0.0
8481099ffffffff,4.0,0.0,0.0
84810e5ffffffff,2.0,0.0,0.0
8481101ffffffff,1.0,0.0,0.0
8481125ffffffff,18.0,2.0,0.0
8481137ffffffff,2.0,0.0,0.0
8481161ffffffff,6.0,0.0,0.0
8481167ffffffff,4.0,0.0,0.0
8481193ffffffff,6.0,0.0,0.0
84811a1ffffffff,4.0,0.0,0.0
84811a5ffffffff,2.0,0.0,0.0
84811a7ffffffff,1.0,1.0,0.0
84811abffffffff,6.0,0.0,0.0
84811c5ffffffff,2.0,0.0,0.0
