cell_id,Pardalotus punctatus,Pardalotus punctatus millitaris,Pardalotus punctatus punctatus,Pardalotus punctatus xanthopyge
839c05fffffffff,6.0,0.0,0.0,0.0
839c21fffffffff,3.0,0.0,0.0,0.0
839c23fffffffff,4.0,0.0,0.0,0.0
83a700fffffffff,1.0,0.0,0.0,0.0
83a702fffffffff,3.0,0.0,0.0,0.0
83a726fffffffff,2.0,0.0,2.0,0.0
83b9a5fffffffff,2.0,0.0,0.0,2.0
83be08fffffffff,9.0,0.0,1.0,0.0
83be09fffffffff,3.0,0.0,0.0,0.0
83be0afffffffff,3.0,0.0,3.0,0.0
83be0cfffffffff,23.0,0.0,0.0,0.0
83be0dfffffffff,3.0,0.0,0.0,0.0
83be0efffffffff,1.0,0.0,0.0,0.0
83be40fffffffff,3.0,0.0,0.0,1.0
83be43fffffffff,2.0,0.0,0.0,0.0
83be44fffffffff,4.0,0.0,0.0,1.0
83be45fffffffff,1.0,0.0,1.0,0.0
83be49fffffffff,5.0,0.0,3.0,2.0
83be4dfffffffff,3.0,0.0,0.0,3.0
83be4efffffffff,2.0,0.0,0.0,2.0
83be53fffffffff,1.0,0.0,0.0,0.0
83be54fffffffff,1.0,0.0,1.0,0.0
83be62fffffffff,3.0,0.0,1.0,0.0
83be63fffffffff,2.0,0.0,0.0,2.0
83be6afffffffff,2.0,0.0,0.0,2.0
83be72fffffffff,29.0,0.0,0.0,0.0
83be8dfffffffff,8.0,0.0,2.0,0.0
83bef0fffffffff,2.0,0.0,0.0,0.0
83bef5fffffffff,2.0,0.0,2.0,0.0
83bef6fffffffff,2.0,0.0,0.0,0.0
83bf4cfffffffff,2.0,0.0,0.0,0.0
