cell_id,Thryomanes bewickii,Thryomanes bewickii bewickii,Thryomanes bewickii [mexicanus Group],Thryomanes bewickii [spilurus Group]
8412d17ffffffff,25.0,0.0,0.0,0.0
8412d81ffffffff,2.0,0.0,0.0,0.0
8412d83ffffffff,3.0,0.0,0.0,0.0
8412d89ffffffff,14.0,0.0,0.0,0.0
8412db1ffffffff,2.0,0.0,0.0,0.0
8412dbbffffffff,2.0,0.0,0.0,0.0
8412de5ffffffff,13.0,0.0,0.0,0.0
842603bffffffff,2.0,0.0,0.0,0.0
84260ddffffffff,2.0,0.0,0.0,0.0
84262c9ffffffff,2.0,0.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0,0.0
8426425ffffffff,2.0,0.0,0.0,0.0
8426429ffffffff,11.0,0.0,0.0,0.0
842642bffffffff,36.0,33.0,0.0,0.0
842643bffffffff,1.0,0.0,0.0,0.0
8426461ffffffff,6.0,0.0,0.0,0.0
8426463ffffffff,2.0,0.0,0.0,0.0
8426465ffffffff,1.0,0.0,0.0,0.0
842648bffffffff,1.0,0.0,0.0,0.0
84264a5ffffffff,2.0,0.0,0.0,0.0
84264a7ffffffff,1.0,0.0,0.0,0.0
84264d9ffffffff,1.0,0.0,0.0,0.0
84264dbffffffff,17.0,4.0,0.0,0.0
8426501ffffffff,3.0,2.0,0.0,0.0
842651bffffffff,4.0,0.0,0.0,0.0
842651dffffffff,1.0,0.0,0.0,0.0
8426523ffffffff,1.0,0.0,0.0,0.0
8426527ffffffff,2.0,0.0,0.0,0.0
842652dffffffff,1.0,0.0,0.0,0.0
8426531ffffffff,2.0,0.0,0.0,0.0
8426537ffffffff,7.0,0.0,0.0,0.0
8426553ffffffff,1.0,0.0,0.0,0.0
8426555ffffffff,10.0,0.0,0.0,0.0
8426557ffffffff,9.0,2.0,0.0,0.0
8426559ffffffff,2.0,0.0,0.0,0.0
842655bffffffff,3.0,0.0,0.0,0.0
842655dffffffff,22.0,0.0,0.0,0.0
842656dffffffff,1.0,0.0,0.0,0.0
84265a3ffffffff,10.0,0.0,0.0,0.0
84265a5ffffffff,1.0,0.0,0.0,0.0
84265a7ffffffff,7.0,0.0,0.0,0.0
84265b1ffffffff,6.0,0.0,0.0,0.0
84265b5ffffffff,4.0,0.0,0.0,0.0
84265b9ffffffff,2.0,0.0,0.0,0.0
84265c7ffffffff,1.0,0.0,0.0,0.0
84265d9ffffffff,1.0,0.0,0.0,0.0
84265e1ffffffff,2.0,0.0,0.0,0.0
84265e9ffffffff,1.0,0.0,0.0,0.0
84265ebffffffff,2.0,0.0,0.0,0.0
8426611ffffffff,1.0,0.0,0.0,0.0
842669bffffffff,1.0,0.0,0.0,0.0
84266b1ffffffff,19.0,0.0,0.0,0.0
84266d9ffffffff,1.0,0.0,0.0,0.0
8426707ffffffff,8.0,0.0,0.0,0.0
8426711ffffffff,14.0,4.0,0.0,0.0
8426717ffffffff,14.0,4.0,0.0,0.0
8426733ffffffff,11.0,0.0,0.0,0.0
842673bffffffff,2.0,0.0,0.0,0.0
842681bffffffff,7.0,0.0,0.0,0.0
8426823ffffffff,3.0,0.0,0.0,0.0
8426829ffffffff,2.0,0.0,0.0,0.0
842682dffffffff,4.0,0.0,0.0,0.0
8426851ffffffff,2.0,0.0,0.0,0.0
8426853ffffffff,1.0,0.0,0.0,0.0
8426867ffffffff,2.0,0.0,0.0,0.0
842686bffffffff,4.0,0.0,0.0,0.0
8426881ffffffff,11.0,0.0,0.0,0.0
8426887ffffffff,8.0,0.0,0.0,0.0
8426889ffffffff,36.0,0.0,0.0,0.0
842688dffffffff,32.0,0.0,0.0,0.0
8426891ffffffff,57.0,0.0,0.0,0.0
8426893ffffffff,16.0,0.0,0.0,0.0
8426895ffffffff,2.0,0.0,0.0,0.0
8426897ffffffff,1.0,0.0,0.0,0.0
842689dffffffff,8.0,0.0,0.0,0.0
84268b3ffffffff,2.0,0.0,0.0,0.0
84268c7ffffffff,4.0,0.0,0.0,0.0
84268d3ffffffff,2.0,0.0,0.0,0.0
84268d5ffffffff,3.0,0.0,0.0,0.0
84268e7ffffffff,1.0,0.0,0.0,0.0
84268ebffffffff,2.0,0.0,0.0,0.0
8426905ffffffff,6.0,0.0,0.0,0.0
8426929ffffffff,71.0,0.0,0.0,0.0
8426945ffffffff,1.0,0.0,0.0,0.0
842694dffffffff,4.0,0.0,0.0,0.0
8426953ffffffff,2.0,0.0,0.0,0.0
8426959ffffffff,2.0,0.0,0.0,0.0
8426961ffffffff,8.0,0.0,0.0,0.0
8426963ffffffff,17.0,0.0,0.0,0.0
8426967ffffffff,17.0,0.0,0.0,0.0
8426969ffffffff,37.0,0.0,0.0,0.0
842696bffffffff,5.0,0.0,0.0,0.0
8426985ffffffff,1.0,0.0,0.0,0.0
8426987ffffffff,2.0,0.0,0.0,0.0
8426989ffffffff,1.0,0.0,0.0,0.0
842698dffffffff,2.0,0.0,0.0,0.0
8426997ffffffff,4.0,0.0,0.0,0.0
84269a9ffffffff,1.0,0.0,1.0,0.0
84269abffffffff,4.0,0.0,0.0,0.0
84269adffffffff,2.0,0.0,2.0,0.0
84269b9ffffffff,2.0,0.0,0.0,0.0
84269c3ffffffff,1.0,0.0,0.0,0.0
84269c5ffffffff,2.0,0.0,2.0,0.0
84269cbffffffff,2.0,0.0,0.0,0.0
84269cdffffffff,1.0,0.0,0.0,0.0
84269d5ffffffff,6.0,0.0,0.0,0.0
84269ddffffffff,2.0,0.0,0.0,0.0
84269e7ffffffff,2.0,0.0,0.0,0.0
8426aabffffffff,1.0,0.0,0.0,0.0
8426b33ffffffff,5.0,0.0,0.0,0.0
