cell_id,Cisticola juncidis,Cisticola juncidis [juncidis Group],Cisticola juncidis terrestris/uropygialis,Cisticola juncidis [tinnabulans Group],Cisticola juncidis brunniceps
823ca7fffffffff,19.0,0.0,0.0,0.0,0.0
823caffffffffff,162.0,0.0,0.0,0.0,0.0
823cb7fffffffff,1119.0,0.0,0.0,0.0,0.0
823cc7fffffffff,183.0,0.0,0.0,0.0,0.0
823ccffffffffff,46.0,0.0,0.0,0.0,0.0
823cdffffffffff,52.0,0.0,0.0,0.0,0.0
823ce7fffffffff,401.0,0.0,0.0,0.0,0.0
823ceffffffffff,260.0,0.0,0.0,0.0,0.0
823cf7fffffffff,3053.0,0.0,0.0,0.0,0.0
823d17fffffffff,458.0,0.0,0.0,0.0,0.0
823d37fffffffff,92.0,0.0,0.0,0.0,0.0
823d87fffffffff,263.0,0.0,0.0,0.0,0.0
823d8ffffffffff,428.0,0.0,0.0,0.0,0.0
823d97fffffffff,498.0,0.0,0.0,0.0,0.0
823d9ffffffffff,649.0,0.0,0.0,0.0,0.0
823da7fffffffff,2095.0,0.0,0.0,0.0,0.0
823daffffffffff,447.0,0.0,0.0,0.0,0.0
823db7fffffffff,251.0,0.0,0.0,0.0,0.0
823e47fffffffff,1.0,0.0,0.0,0.0,0.0
823e5ffffffffff,52.0,2.0,0.0,0.0,0.0
823e67fffffffff,52.0,5.0,0.0,0.0,0.0
823e77fffffffff,19.0,0.0,0.0,0.0,0.0
823eeffffffffff,3.0,0.0,0.0,0.0,0.0
823f27fffffffff,2.0,0.0,0.0,0.0,0.0
823f2ffffffffff,224.0,0.0,0.0,0.0,0.0
823f37fffffffff,234.0,8.0,0.0,0.0,0.0
823f47fffffffff,4.0,0.0,0.0,0.0,0.0
823f4ffffffffff,237.0,46.0,0.0,0.0,0.0
823f67fffffffff,137.0,0.0,0.0,0.0,0.0
823f6ffffffffff,3.0,0.0,0.0,0.0,0.0
823f77fffffffff,2.0,0.0,0.0,0.0,0.0
82401ffffffffff,9.0,0.0,0.0,0.0,0.0
82402ffffffffff,4.0,0.0,0.0,0.0,0.0
824047fffffffff,10.0,0.0,0.0,0.0,0.0
82404ffffffffff,30.0,0.0,0.0,0.0,0.0
824057fffffffff,3.0,0.0,0.0,0.0,0.0
