cell_id,Automolus ochrolaemus,Automolus ochrolaemus pallidigularis,Automolus ochrolaemus turdinus,Automolus ochrolaemus ochrolaemus,Automolus ochrolaemus auricularis
845f013ffffffff,1.0,0.0,0.0,0.0,0.0
845f017ffffffff,2.0,0.0,0.0,0.0,0.0
845f025ffffffff,1.0,0.0,0.0,0.0,0.0
845f035ffffffff,11.0,0.0,0.0,0.0,0.0
845f03dffffffff,2.0,0.0,0.0,0.0,0.0
845f107ffffffff,2.0,0.0,0.0,0.0,0.0
845f117ffffffff,3.0,0.0,0.0,0.0,0.0
845f129ffffffff,1.0,0.0,0.0,0.0,0.0
845f139ffffffff,1.0,0.0,0.0,0.0,0.0
845f143ffffffff,1.0,0.0,0.0,0.0,0.0
845f163ffffffff,1.0,0.0,0.0,0.0,0.0
845f295ffffffff,3.0,0.0,0.0,0.0,0.0
845f2b3ffffffff,4.0,0.0,0.0,0.0,0.0
845f2bbffffffff,16.0,0.0,0.0,0.0,0.0
845f2c3ffffffff,1.0,0.0,0.0,0.0,0.0
845f331ffffffff,1.0,0.0,0.0,0.0,0.0
845f42bffffffff,5.0,0.0,0.0,0.0,0.0
845f501ffffffff,2.0,0.0,0.0,0.0,0.0
845f50bffffffff,8.0,0.0,0.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0,0.0,0.0
845f711ffffffff,6.0,0.0,0.0,0.0,0.0
845f713ffffffff,6.0,0.0,0.0,0.0,0.0
845f717ffffffff,2.0,0.0,0.0,0.0,0.0
845f71bffffffff,2.0,0.0,0.0,0.0,0.0
845f759ffffffff,7.0,0.0,0.0,0.0,0.0
845f75dffffffff,5.0,0.0,0.0,0.0,0.0
845f767ffffffff,1.0,0.0,0.0,0.0,0.0
8466027ffffffff,1.0,0.0,0.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0,0.0,0.0
8466087ffffffff,2.0,0.0,0.0,0.0,0.0
8466089ffffffff,2.0,0.0,0.0,0.0,0.0
846608dffffffff,20.0,0.0,0.0,0.0,0.0
