cell_id,Todiramphus saurophagus,Todiramphus saurophagus saurophagus,Todiramphus saurophagus admiralitatis
8472a31ffffffff,2.0,0.0,0.0
8472ae1ffffffff,3.0,0.0,0.0
8472ae3ffffffff,42.0,0.0,0.0
8472ae7ffffffff,4.0,0.0,0.0
8472b69ffffffff,1.0,0.0,0.0
8472c8bffffffff,2.0,0.0,0.0
8472c91ffffffff,1.0,0.0,0.0
8472f23ffffffff,2.0,0.0,0.0
8473901ffffffff,4.0,0.0,0.0
8473905ffffffff,19.0,3.0,0.0
8473907ffffffff,20.0,3.0,0.0
847390bffffffff,2.0,0.0,0.0
847390dffffffff,44.0,6.0,0.0
8473917ffffffff,1.0,0.0,0.0
8473955ffffffff,6.0,0.0,0.0
847395dffffffff,1.0,1.0,0.0
8473987ffffffff,7.0,0.0,0.0
84739a1ffffffff,52.0,3.0,0.0
84739a3ffffffff,7.0,0.0,0.0
84739a9ffffffff,35.0,5.0,0.0
84739abffffffff,209.0,36.0,0.0
84739adffffffff,6.0,0.0,0.0
84739b5ffffffff,6.0,2.0,0.0
84739bbffffffff,2.0,0.0,0.0
84739e3ffffffff,2.0,1.0,0.0
8476815ffffffff,2.0,0.0,0.0
847683bffffffff,2.0,0.0,0.0
847692bffffffff,1.0,0.0,0.0
8476991ffffffff,2.0,0.0,0.0
8476993ffffffff,2.0,0.0,0.0
8476999ffffffff,1.0,0.0,0.0
847699bffffffff,4.0,0.0,0.0
847699dffffffff,47.0,0.0,0.0
84769d1ffffffff,13.0,0.0,0.0
84769ddffffffff,5.0,0.0,0.0
8476a29ffffffff,1.0,0.0,0.0
8477821ffffffff,1.0,0.0,0.0
8477913ffffffff,1.0,0.0,0.0
847791dffffffff,2.0,0.0,0.0
847799dffffffff,2.0,0.0,0.0
8495613ffffffff,11.0,0.0,0.0
849561bffffffff,1.0,1.0,0.0
84956c3ffffffff,3.0,0.0,0.0
84956c5ffffffff,9.0,0.0,0.0
84956c7ffffffff,5.0,0.0,0.0
84956d3ffffffff,9.0,0.0,0.0
849c901ffffffff,2.0,0.0,0.0
849c905ffffffff,4.0,0.0,0.0
849c907ffffffff,44.0,0.0,0.0
849c993ffffffff,1.0,0.0,0.0
849c997ffffffff,1.0,0.0,0.0
849d983ffffffff,2.0,0.0,0.0
849ed19ffffffff,2.0,0.0,0.0
849ed51ffffffff,2.0,0.0,0.0
849ed59ffffffff,2.0,1.0,0.0
849eda7ffffffff,10.0,0.0,0.0
849edb3ffffffff,2.0,0.0,0.0
849edb9ffffffff,1.0,0.0,0.0
849edebffffffff,2.0,0.0,0.0
849ef37ffffffff,1.0,0.0,0.0
