cell_id,Cercococcyx montanus,Cercococcyx montanus montanus,Cercococcyx montanus patulus
846ac07ffffffff,1.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0
846ace5ffffffff,2.0,0.0,0.0
846adadffffffff,1.0,0.0,0.0
846adc1ffffffff,183.0,0.0,0.0
846ade5ffffffff,2.0,0.0,0.0
846ade7ffffffff,158.0,0.0,0.0
847a455ffffffff,54.0,0.0,0.0
847b481ffffffff,1.0,0.0,0.0
847b485ffffffff,1.0,0.0,0.0
847b487ffffffff,3.0,0.0,0.0
847b4b9ffffffff,48.0,0.0,0.0
847b4bdffffffff,2.0,0.0,0.0
847b4cbffffffff,1.0,0.0,0.0
847b4dbffffffff,11.0,0.0,0.0
8496b09ffffffff,29.0,0.0,0.0
8496b1bffffffff,1.0,0.0,0.0
8496b21ffffffff,3.0,0.0,0.0
8496b2bffffffff,2.0,0.0,0.0
8496b55ffffffff,15.0,0.0,0.0
8496b57ffffffff,2.0,0.0,0.0
8496b61ffffffff,3.0,0.0,0.0
8496b63ffffffff,1.0,0.0,0.0
8496b67ffffffff,5.0,0.0,0.0
8496d21ffffffff,2.0,0.0,0.0
8496d2dffffffff,1.0,0.0,0.0
8497107ffffffff,2.0,0.0,0.0
8497139ffffffff,1.0,0.0,0.0
8497885ffffffff,1.0,0.0,0.0
849790dffffffff,1.0,0.0,0.0
8497983ffffffff,1.0,0.0,0.0
8497ac7ffffffff,1.0,0.0,0.0
