cell_id,Tolmomyias assimilis,Tolmomyias assimilis neglectus,Tolmomyias assimilis examinatus,Tolmomyias assimilis obscuriceps,Tolmomyias assimilis [assimilis Group],Tolmomyias assimilis sucunduri,Tolmomyias assimilis paraensis
83661cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
836641fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d1fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8366dcfffffffff,8.0,0.0,0.0,8.0,0.0,0.0,0.0
8366defffffffff,34.0,0.0,0.0,3.0,0.0,0.0,0.0
8366e3fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838061fffffffff,16.0,0.0,16.0,0.0,0.0,0.0,0.0
83814efffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
838a63fffffffff,5.0,0.0,0.0,0.0,5.0,0.0,0.0
838a80fffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
838a81fffffffff,16.0,0.0,0.0,0.0,0.0,16.0,0.0
838aa8fffffffff,8.0,0.0,0.0,0.0,0.0,8.0,0.0
838aaafffffffff,22.0,0.0,0.0,0.0,0.0,22.0,0.0
838af6fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
838b5cfffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
