cell_id,Picumnus exilis,Picumnus exilis undulatus,Picumnus exilis buffonii,Picumnus exilis pernambucensis,Picumnus exilis exilis
836641fffffffff,1.0,0.0,0.0,0.0,0.0
838136fffffffff,4.0,0.0,0.0,0.0,4.0
838180fffffffff,4.0,0.0,0.0,4.0,0.0
838181fffffffff,24.0,0.0,0.0,24.0,0.0
838183fffffffff,7.0,0.0,0.0,7.0,0.0
838185fffffffff,20.0,0.0,0.0,20.0,0.0
8381a1fffffffff,7.0,0.0,0.0,0.0,7.0
838ac4fffffffff,2.0,2.0,0.0,0.0,0.0
838ae8fffffffff,1.0,1.0,0.0,0.0,0.0
838af1fffffffff,1.0,1.0,0.0,0.0,0.0
83a596fffffffff,11.0,0.0,0.0,0.0,11.0
