cell_id,Macropygia ruficeps,Macropygia ruficeps [undescribed form]
836416fffffffff,102.0,0.0
836480fffffffff,3.0,0.0
836482fffffffff,5.0,0.0
836484fffffffff,2.0,0.0
836491fffffffff,22.0,0.0
8364a3fffffffff,33.0,0.0
8364a5fffffffff,5.0,0.0
8364b1fffffffff,12.0,0.0
8364b5fffffffff,1.0,0.0
836500fffffffff,739.0,0.0
836502fffffffff,40.0,0.0
836503fffffffff,37.0,0.0
836505fffffffff,201.0,0.0
836508fffffffff,1.0,0.0
836509fffffffff,2.0,0.0
83650dfffffffff,10.0,0.0
83652dfffffffff,28.0,0.0
836554fffffffff,40.0,0.0
836556fffffffff,48.0,0.0
836573fffffffff,4.0,0.0
836589fffffffff,2.0,0.0
83658bfffffffff,2.0,0.0
836802fffffffff,40.0,0.0
836811fffffffff,1309.0,0.0
836812fffffffff,84.0,0.0
836813fffffffff,1.0,0.0
83689afffffffff,5.0,0.0
8368acfffffffff,93.0,0.0
83699bfffffffff,2.0,0.0
838c10fffffffff,8.0,0.0
838c1afffffffff,14.0,0.0
838c96fffffffff,1.0,0.0
838cd0fffffffff,24.0,0.0
838cd3fffffffff,3.0,0.0
838cd5fffffffff,62.0,0.0
838cf4fffffffff,4.0,0.0
838d84fffffffff,1.0,0.0
838d85fffffffff,14.0,0.0
838d88fffffffff,1.0,0.0
838d8cfffffffff,5.0,0.0
838da2fffffffff,84.0,0.0
838db5fffffffff,85.0,0.0
839421fffffffff,13.0,13.0
839423fffffffff,3.0,3.0
839426fffffffff,2.0,0.0
83942cfffffffff,6.0,6.0
83942dfffffffff,2.0,2.0
83942efffffffff,3.0,3.0
839518fffffffff,8.0,0.0
83951afffffffff,4.0,2.0
83951efffffffff,5.0,0.0
839553fffffffff,3.0,0.0
8395a4fffffffff,6.0,0.0
8395a5fffffffff,2.0,0.0
8395a9fffffffff,45.0,45.0
8395adfffffffff,4.0,4.0
