cell_id,Hylophilus flavipes,Hylophilus flavipes viridiflavus/xuthus,Hylophilus flavipes [flavipes Group],Hylophilus flavipes insularis
835f40fffffffff,20.0,0.0,0.0,0.0
835f41fffffffff,10.0,0.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0,0.0
835f43fffffffff,1.0,0.0,0.0,0.0
835f46fffffffff,4.0,0.0,0.0,0.0
835f48fffffffff,5.0,0.0,0.0,0.0
835f49fffffffff,3.0,0.0,0.0,0.0
835f4afffffffff,12.0,0.0,0.0,0.0
835f4bfffffffff,61.0,0.0,0.0,0.0
835f4efffffffff,12.0,0.0,0.0,0.0
835f59fffffffff,1.0,0.0,0.0,0.0
835f5bfffffffff,775.0,0.0,0.0,0.0
835f5dfffffffff,15.0,0.0,0.0,0.0
835f68fffffffff,13.0,0.0,0.0,0.0
835f71fffffffff,1.0,0.0,0.0,0.0
836600fffffffff,6.0,0.0,0.0,0.0
836601fffffffff,6.0,0.0,0.0,0.0
836602fffffffff,280.0,0.0,0.0,0.0
836604fffffffff,91.0,0.0,0.0,0.0
836606fffffffff,49.0,0.0,0.0,0.0
836608fffffffff,1013.0,0.0,6.0,0.0
836609fffffffff,7.0,0.0,0.0,0.0
83660afffffffff,61.0,0.0,4.0,0.0
83660bfffffffff,3.0,0.0,0.0,0.0
83660cfffffffff,82.0,0.0,2.0,0.0
83660dfffffffff,45.0,0.0,0.0,0.0
83660efffffffff,90.0,0.0,0.0,0.0
836610fffffffff,4.0,0.0,0.0,0.0
836611fffffffff,23.0,0.0,0.0,0.0
836613fffffffff,2.0,0.0,0.0,0.0
836615fffffffff,7.0,0.0,0.0,0.0
836616fffffffff,279.0,0.0,0.0,0.0
836618fffffffff,20.0,0.0,0.0,0.0
836619fffffffff,938.0,0.0,0.0,0.0
83661cfffffffff,33.0,0.0,0.0,0.0
83661dfffffffff,50.0,0.0,0.0,0.0
836620fffffffff,751.0,0.0,20.0,0.0
836621fffffffff,175.0,0.0,8.0,0.0
836622fffffffff,508.0,0.0,8.0,0.0
836623fffffffff,14.0,0.0,4.0,0.0
836625fffffffff,378.0,0.0,31.0,0.0
836628fffffffff,4.0,0.0,0.0,0.0
836629fffffffff,17.0,0.0,0.0,0.0
83662bfffffffff,32.0,0.0,0.0,0.0
83662cfffffffff,20.0,0.0,0.0,0.0
83662dfffffffff,7.0,0.0,0.0,0.0
83662efffffffff,26.0,0.0,0.0,0.0
836631fffffffff,242.0,0.0,0.0,0.0
836640fffffffff,3.0,0.0,0.0,0.0
836650fffffffff,17.0,0.0,0.0,0.0
836652fffffffff,214.0,0.0,0.0,0.0
836654fffffffff,69.0,0.0,0.0,0.0
836656fffffffff,175.0,0.0,0.0,0.0
836660fffffffff,12.0,0.0,0.0,0.0
836663fffffffff,28.0,0.0,0.0,0.0
836664fffffffff,16.0,0.0,0.0,0.0
836670fffffffff,9.0,0.0,0.0,0.0
836672fffffffff,22.0,0.0,0.0,0.0
836673fffffffff,24.0,0.0,0.0,0.0
836674fffffffff,4.0,0.0,0.0,0.0
836675fffffffff,20.0,0.0,0.0,0.0
836676fffffffff,1.0,0.0,0.0,0.0
836684fffffffff,76.0,0.0,0.0,0.0
8366a0fffffffff,288.0,0.0,0.0,0.0
8366a1fffffffff,493.0,0.0,0.0,0.0
8366a2fffffffff,37.0,0.0,0.0,0.0
8366a3fffffffff,43.0,0.0,0.0,0.0
8366a5fffffffff,2531.0,0.0,0.0,0.0
8366a6fffffffff,2.0,0.0,0.0,0.0
8366aefffffffff,5.0,0.0,0.0,0.0
8366b0fffffffff,234.0,0.0,0.0,0.0
8366b1fffffffff,20.0,0.0,0.0,0.0
8366b4fffffffff,241.0,0.0,0.0,0.0
8366b5fffffffff,1259.0,0.0,0.0,0.0
8366b6fffffffff,21.0,0.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0,0.0
8366c4fffffffff,362.0,0.0,0.0,0.0
8366c6fffffffff,65.0,0.0,0.0,0.0
