cell_id,Certhilauda subcoronata,Certhilauda subcoronata benguelensis/kaokoensis,Certhilauda subcoronata [subcoronata Group]
828307fffffffff,2.0,2.0,0.0
82831ffffffffff,3.0,3.0,0.0
828327fffffffff,16.0,16.0,0.0
82ac87fffffffff,2.0,2.0,0.0
82ac8ffffffffff,1.0,1.0,0.0
82aca7fffffffff,166.0,72.0,88.0
82acaffffffffff,86.0,82.0,2.0
82ad17fffffffff,1.0,0.0,1.0
82ad37fffffffff,3.0,0.0,1.0
82ad87fffffffff,3.0,0.0,3.0
82ad8ffffffffff,19.0,0.0,15.0
82ada7fffffffff,267.0,0.0,254.0
82adaffffffffff,21.0,0.0,16.0
82adb7fffffffff,3.0,0.0,3.0
82bc47fffffffff,161.0,0.0,146.0
82bc4ffffffffff,108.0,0.0,103.0
82bc57fffffffff,6.0,0.0,5.0
82bc5ffffffffff,17.0,0.0,17.0
82bc6ffffffffff,11.0,0.0,9.0
82bceffffffffff,1.0,0.0,1.0
