cell_id,Cinclus mexicanus,Cinclus mexicanus [mexicanus Group],Cinclus mexicanus ardesiacus
840c141ffffffff,14.0,0.0,0.0
840c143ffffffff,4.0,0.0,0.0
840c145ffffffff,9.0,0.0,0.0
840c147ffffffff,308.0,0.0,0.0
840c14dffffffff,4.0,0.0,0.0
840c15dffffffff,2.0,0.0,0.0
840c421ffffffff,2.0,0.0,0.0
840c425ffffffff,3.0,0.0,0.0
840c42dffffffff,343.0,0.0,0.0
840c441ffffffff,11.0,0.0,0.0
840c44bffffffff,2.0,0.0,0.0
840c451ffffffff,2.0,0.0,0.0
840c455ffffffff,43.0,0.0,0.0
840c45dffffffff,2.0,0.0,0.0
840c461ffffffff,56.0,0.0,0.0
840c465ffffffff,42.0,0.0,0.0
840c467ffffffff,39.0,0.0,0.0
840c46dffffffff,23.0,0.0,0.0
840c501ffffffff,2.0,0.0,0.0
840c503ffffffff,1.0,0.0,0.0
840c50bffffffff,2.0,0.0,0.0
840c515ffffffff,4.0,0.0,0.0
840c51dffffffff,17.0,0.0,0.0
840c555ffffffff,3.0,0.0,0.0
840c55bffffffff,161.0,0.0,0.0
840c5a1ffffffff,2.0,0.0,0.0
840c5a5ffffffff,45.0,0.0,0.0
840c5a7ffffffff,3.0,0.0,0.0
840c5adffffffff,97.0,0.0,0.0
840c5e5ffffffff,2.0,0.0,0.0
840c623ffffffff,2.0,0.0,0.0
840c63dffffffff,4.0,0.0,0.0
840c657ffffffff,3.0,0.0,0.0
840c665ffffffff,46.0,2.0,0.0
840c705ffffffff,9.0,0.0,0.0
840c707ffffffff,3.0,0.0,0.0
840c715ffffffff,10.0,0.0,0.0
840c731ffffffff,6.0,0.0,0.0
840c733ffffffff,506.0,9.0,0.0
840c739ffffffff,63.0,0.0,0.0
840c73bffffffff,87.0,1.0,0.0
840c741ffffffff,14.0,0.0,0.0
840c74bffffffff,12.0,0.0,0.0
840c74dffffffff,35.0,0.0,0.0
840c759ffffffff,49.0,6.0,0.0
840c75dffffffff,2.0,0.0,0.0
840c769ffffffff,10.0,0.0,0.0
840cce9ffffffff,4.0,0.0,0.0
840cd8dffffffff,14.0,0.0,0.0
840ce9dffffffff,1.0,0.0,0.0
840cec9ffffffff,2.0,0.0,0.0
840ced3ffffffff,1.0,0.0,0.0
840ced7ffffffff,2.0,0.0,0.0
840d4d5ffffffff,40.0,0.0,0.0
840d585ffffffff,2.0,0.0,0.0
840d58dffffffff,16.0,0.0,0.0
840d71dffffffff,1.0,0.0,0.0
840d723ffffffff,8.0,0.0,0.0
840d737ffffffff,12.0,0.0,0.0
84121a7ffffffff,2.0,0.0,0.0
841236dffffffff,1.0,0.0,0.0
8412805ffffffff,6.0,0.0,0.0
841280dffffffff,4.0,0.0,0.0
8412821ffffffff,1.0,0.0,0.0
8412835ffffffff,1.0,0.0,0.0
841283dffffffff,3.0,0.0,0.0
8412847ffffffff,9.0,0.0,0.0
841284bffffffff,2.0,0.0,0.0
8412851ffffffff,4.0,0.0,0.0
8412853ffffffff,2.0,0.0,0.0
841285bffffffff,3.0,0.0,0.0
841289bffffffff,3.0,0.0,0.0
84128bdffffffff,1.0,0.0,0.0
84128d1ffffffff,9.0,0.0,0.0
84128d3ffffffff,6.0,0.0,0.0
84128d9ffffffff,3.0,0.0,0.0
84128dbffffffff,3.0,0.0,0.0
84128e7ffffffff,4.0,0.0,0.0
8412905ffffffff,2.0,0.0,0.0
8412909ffffffff,5.0,0.0,0.0
8412945ffffffff,2.0,0.0,0.0
8412993ffffffff,4.0,0.0,0.0
8412997ffffffff,2.0,0.0,0.0
84129abffffffff,2.0,0.0,0.0
84129b7ffffffff,4.0,0.0,0.0
84129b9ffffffff,2.0,0.0,0.0
84129bbffffffff,3.0,0.0,0.0
84129bdffffffff,4.0,0.0,0.0
84129c9ffffffff,1.0,0.0,0.0
84129d9ffffffff,8.0,0.0,0.0
84129dbffffffff,2.0,0.0,0.0
8412a25ffffffff,10.0,0.0,0.0
8412a2dffffffff,2.0,0.0,0.0
8412a37ffffffff,3.0,0.0,0.0
8412a61ffffffff,4.0,0.0,0.0
8412a6dffffffff,1.0,0.0,0.0
8412a83ffffffff,2.0,0.0,0.0
8412a97ffffffff,84.0,0.0,0.0
8412a99ffffffff,4.0,0.0,0.0
8412a9dffffffff,2.0,0.0,0.0
8412aa7ffffffff,6.0,0.0,0.0
8412ab3ffffffff,1.0,0.0,0.0
8412abdffffffff,1.0,0.0,0.0
8412ad7ffffffff,4.0,0.0,0.0
8412b01ffffffff,58.0,0.0,0.0
8412b03ffffffff,206.0,0.0,0.0
8412b05ffffffff,8.0,0.0,0.0
8412b0bffffffff,5.0,0.0,0.0
8412b0dffffffff,2.0,0.0,0.0
8412b15ffffffff,2.0,0.0,0.0
8412b17ffffffff,3.0,0.0,0.0
8412b19ffffffff,2.0,0.0,0.0
8412b41ffffffff,1.0,0.0,0.0
8412b43ffffffff,5.0,0.0,0.0
8412b45ffffffff,2.0,0.0,0.0
8412b47ffffffff,5.0,0.0,0.0
8412b49ffffffff,8.0,0.0,0.0
8412b53ffffffff,19.0,0.0,0.0
8412b55ffffffff,23.0,0.0,0.0
8412b63ffffffff,3.0,0.0,0.0
8412b6bffffffff,2.0,0.0,0.0
8412c01ffffffff,33.0,0.0,0.0
8412c03ffffffff,120.0,0.0,0.0
8412c05ffffffff,11.0,0.0,0.0
8412c07ffffffff,3.0,0.0,0.0
8412c0bffffffff,14.0,0.0,0.0
8412c11ffffffff,371.0,0.0,0.0
8412c13ffffffff,139.0,0.0,0.0
8412c15ffffffff,11.0,0.0,0.0
8412c17ffffffff,27.0,0.0,0.0
8412c19ffffffff,4.0,0.0,0.0
8412c1bffffffff,19.0,0.0,0.0
8412c1dffffffff,164.0,0.0,0.0
8412c21ffffffff,26.0,0.0,0.0
8412c23ffffffff,2.0,0.0,0.0
8412c25ffffffff,4.0,0.0,0.0
8412c27ffffffff,5.0,0.0,0.0
8412c31ffffffff,5.0,0.0,0.0
8412c33ffffffff,13.0,0.0,0.0
8412c35ffffffff,5.0,0.0,0.0
8412c37ffffffff,4.0,0.0,0.0
8412c3bffffffff,11.0,0.0,0.0
8412c45ffffffff,15.0,0.0,0.0
8412c49ffffffff,27.0,0.0,0.0
8412c4dffffffff,47.0,0.0,0.0
8412c53ffffffff,5.0,0.0,0.0
8412c55ffffffff,5.0,0.0,0.0
8412c57ffffffff,3.0,0.0,0.0
8412c59ffffffff,2.0,0.0,0.0
8412c5dffffffff,3.0,0.0,0.0
8412c85ffffffff,72.0,0.0,0.0
8412c87ffffffff,24.0,0.0,0.0
8412c8dffffffff,4.0,0.0,0.0
8412ca1ffffffff,5.0,0.0,0.0
8412ca3ffffffff,46.0,0.0,0.0
8412ca5ffffffff,17.0,0.0,0.0
8412ca7ffffffff,4.0,0.0,0.0
8412ca9ffffffff,19.0,0.0,0.0
8412cabffffffff,311.0,0.0,0.0
8412cadffffffff,79.0,0.0,0.0
8412cb1ffffffff,65.0,0.0,0.0
8412cb3ffffffff,2.0,0.0,0.0
8412cb5ffffffff,119.0,0.0,0.0
8412cb7ffffffff,21.0,0.0,0.0
8412cb9ffffffff,2.0,0.0,0.0
8412cbdffffffff,666.0,0.0,0.0
8412cc1ffffffff,1.0,0.0,0.0
8412cc5ffffffff,6.0,0.0,0.0
8412ccdffffffff,386.0,0.0,0.0
8412ce1ffffffff,5.0,0.0,0.0
8412ce3ffffffff,97.0,0.0,0.0
8412ce5ffffffff,11.0,0.0,0.0
8412ce7ffffffff,80.0,0.0,0.0
8412ce9ffffffff,24.0,0.0,0.0
8412cebffffffff,40.0,0.0,0.0
8412cedffffffff,2.0,0.0,0.0
8412d01ffffffff,8.0,0.0,0.0
8412d03ffffffff,2.0,0.0,0.0
8412d05ffffffff,1.0,0.0,0.0
8412d07ffffffff,3.0,0.0,0.0
8412d0bffffffff,2.0,0.0,0.0
8412d11ffffffff,7.0,0.0,0.0
8412d13ffffffff,4.0,0.0,0.0
8412d15ffffffff,1.0,0.0,0.0
8412d17ffffffff,294.0,0.0,0.0
8412d19ffffffff,6.0,0.0,0.0
8412d21ffffffff,4.0,0.0,0.0
8412d27ffffffff,2.0,0.0,0.0
8412d2dffffffff,10.0,0.0,0.0
8412d31ffffffff,1.0,0.0,0.0
8412d33ffffffff,18.0,0.0,0.0
8412d35ffffffff,7.0,0.0,0.0
8412d37ffffffff,18.0,0.0,0.0
8412d3bffffffff,83.0,0.0,0.0
8412d3dffffffff,9.0,0.0,0.0
8412d55ffffffff,2.0,0.0,0.0
8412d57ffffffff,4.0,0.0,0.0
8412d5dffffffff,12.0,0.0,0.0
8412d61ffffffff,2.0,0.0,0.0
8412d63ffffffff,42.0,0.0,0.0
8412d67ffffffff,120.0,0.0,0.0
8412d6bffffffff,2.0,0.0,0.0
8412d81ffffffff,42.0,0.0,0.0
8412d83ffffffff,25.0,0.0,0.0
8412d85ffffffff,10.0,0.0,0.0
8412d87ffffffff,10.0,0.0,0.0
8412d89ffffffff,187.0,0.0,0.0
8412d8bffffffff,35.0,0.0,0.0
8412d8dffffffff,6.0,0.0,0.0
8412d91ffffffff,23.0,0.0,0.0
8412d93ffffffff,16.0,0.0,0.0
8412d95ffffffff,3.0,0.0,0.0
8412d97ffffffff,6.0,0.0,0.0
8412d99ffffffff,16.0,0.0,0.0
8412d9bffffffff,7.0,0.0,0.0
8412d9dffffffff,43.0,0.0,0.0
8412da1ffffffff,9.0,0.0,0.0
8412da9ffffffff,2.0,0.0,0.0
8412dabffffffff,6.0,0.0,0.0
8412db1ffffffff,19.0,0.0,0.0
8412db3ffffffff,9.0,0.0,0.0
8412db5ffffffff,1.0,0.0,0.0
8412db7ffffffff,57.0,0.0,0.0
8412db9ffffffff,1.0,0.0,0.0
8412dbbffffffff,9.0,0.0,0.0
8412dc1ffffffff,15.0,0.0,0.0
8412dc3ffffffff,442.0,0.0,0.0
8412dc5ffffffff,11.0,0.0,0.0
8412dc7ffffffff,41.0,0.0,0.0
8412dc9ffffffff,95.0,0.0,0.0
8412dcbffffffff,44.0,0.0,0.0
8412dcdffffffff,2.0,0.0,0.0
8412dd1ffffffff,9.0,0.0,0.0
8412dd3ffffffff,93.0,0.0,0.0
8412dd5ffffffff,6.0,0.0,0.0
8412dd7ffffffff,51.0,0.0,0.0
8412dd9ffffffff,22.0,0.0,0.0
8412ddbffffffff,701.0,0.0,0.0
8412dddffffffff,6.0,0.0,0.0
8412de1ffffffff,5.0,0.0,0.0
8412de3ffffffff,2.0,0.0,0.0
8412de5ffffffff,128.0,0.0,0.0
8412de7ffffffff,51.0,0.0,0.0
8412de9ffffffff,9.0,0.0,0.0
8412dedffffffff,48.0,0.0,0.0
8412e25ffffffff,5.0,0.0,0.0
8412e27ffffffff,14.0,0.0,0.0
8412ea5ffffffff,49.0,0.0,0.0
8412f05ffffffff,9.0,0.0,0.0
8412f13ffffffff,53.0,0.0,0.0
8412f15ffffffff,8.0,0.0,0.0
8412f1bffffffff,17.0,0.0,0.0
8412f27ffffffff,1.0,0.0,0.0
8412f29ffffffff,11.0,0.0,0.0
8412f33ffffffff,2.0,0.0,0.0
8412f37ffffffff,7.0,0.0,0.0
8412f4dffffffff,2.0,0.0,0.0
8412f57ffffffff,1.0,0.0,0.0
8412f61ffffffff,4.0,0.0,0.0
8412f63ffffffff,2.0,0.0,0.0
8412f65ffffffff,6.0,0.0,0.0
8412f6bffffffff,5.0,0.0,0.0
8412f6dffffffff,16.0,0.0,0.0
8413823ffffffff,2.0,0.0,0.0
841382dffffffff,6.0,0.0,0.0
841383dffffffff,2.0,0.0,0.0
8413865ffffffff,6.0,0.0,0.0
8413867ffffffff,142.0,0.0,0.0
841386dffffffff,2.0,0.0,0.0
8413893ffffffff,2.0,0.0,0.0
841389bffffffff,2.0,0.0,0.0
84138edffffffff,5.0,0.0,0.0
841390bffffffff,1.0,0.0,0.0
8413911ffffffff,12.0,0.0,0.0
8413917ffffffff,3.0,0.0,0.0
8413919ffffffff,62.0,0.0,0.0
841391dffffffff,27.0,0.0,0.0
8413933ffffffff,3.0,0.0,0.0
8413941ffffffff,2.0,0.0,0.0
8413943ffffffff,8.0,0.0,0.0
841394bffffffff,16.0,0.0,0.0
8413955ffffffff,1.0,0.0,0.0
841395dffffffff,24.0,0.0,0.0
84139a3ffffffff,2.0,0.0,0.0
84139c9ffffffff,8.0,0.0,0.0
84139e1ffffffff,115.0,0.0,0.0
84139edffffffff,72.0,0.0,0.0
8413b23ffffffff,6.0,0.0,0.0
8413b29ffffffff,1.0,0.0,0.0
8413b35ffffffff,20.0,0.0,0.0
841d241ffffffff,2.0,0.0,0.0
841d243ffffffff,59.0,0.0,0.0
841d24dffffffff,2.0,0.0,0.0
8422d09ffffffff,19.0,0.0,0.0
8422d0bffffffff,37.0,0.0,0.0
8426801ffffffff,124.0,0.0,0.0
8426803ffffffff,45.0,0.0,0.0
8426805ffffffff,6.0,0.0,0.0
8426807ffffffff,8.0,0.0,0.0
8426809ffffffff,7.0,0.0,0.0
842680bffffffff,2.0,0.0,0.0
842680dffffffff,2.0,0.0,0.0
8426811ffffffff,164.0,0.0,0.0
8426813ffffffff,978.0,0.0,0.0
8426815ffffffff,64.0,0.0,0.0
8426817ffffffff,193.0,0.0,0.0
8426819ffffffff,1526.0,0.0,0.0
