cell_id,Hylophilus flavipes,Hylophilus flavipes viridiflavus/xuthus,Hylophilus flavipes [flavipes Group],Hylophilus flavipes insularis
845f403ffffffff,1.0,0.0,0.0,0.0
845f407ffffffff,7.0,0.0,0.0,0.0
845f40dffffffff,5.0,0.0,0.0,0.0
845f411ffffffff,1.0,0.0,0.0,0.0
845f415ffffffff,8.0,0.0,0.0,0.0
845f42bffffffff,14.0,0.0,0.0,0.0
845f437ffffffff,1.0,0.0,0.0,0.0
845f445ffffffff,1.0,0.0,0.0,0.0
845f463ffffffff,1.0,0.0,0.0,0.0
845f46bffffffff,2.0,0.0,0.0,0.0
845f483ffffffff,2.0,0.0,0.0,0.0
845f487ffffffff,3.0,0.0,0.0,0.0
845f491ffffffff,1.0,0.0,0.0,0.0
845f49bffffffff,2.0,0.0,0.0,0.0
845f4a3ffffffff,1.0,0.0,0.0,0.0
845f4a7ffffffff,2.0,0.0,0.0,0.0
845f4a9ffffffff,5.0,0.0,0.0,0.0
845f4abffffffff,4.0,0.0,0.0,0.0
845f4b3ffffffff,52.0,0.0,0.0,0.0
845f4b9ffffffff,2.0,0.0,0.0,0.0
845f4bdffffffff,7.0,0.0,0.0,0.0
845f4e1ffffffff,1.0,0.0,0.0,0.0
845f4e3ffffffff,1.0,0.0,0.0,0.0
845f4e5ffffffff,14.0,0.0,0.0,0.0
845f4e7ffffffff,10.0,0.0,0.0,0.0
845f59bffffffff,1.0,0.0,0.0,0.0
845f5b5ffffffff,529.0,0.0,0.0,0.0
845f5bdffffffff,246.0,0.0,0.0,0.0
845f5dbffffffff,1.0,0.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0,0.0
845f68bffffffff,11.0,0.0,0.0,0.0
845f713ffffffff,1.0,0.0,0.0,0.0
8466005ffffffff,6.0,0.0,0.0,0.0
846601bffffffff,2.0,0.0,0.0,0.0
8466021ffffffff,123.0,0.0,0.0,0.0
8466023ffffffff,10.0,0.0,0.0,0.0
8466025ffffffff,50.0,0.0,0.0,0.0
8466027ffffffff,17.0,0.0,0.0,0.0
8466029ffffffff,62.0,0.0,0.0,0.0
846602bffffffff,14.0,0.0,0.0,0.0
846602dffffffff,3.0,0.0,0.0,0.0
8466035ffffffff,2.0,0.0,0.0,0.0
8466045ffffffff,89.0,0.0,0.0,0.0
8466047ffffffff,11.0,0.0,0.0,0.0
8466063ffffffff,10.0,0.0,0.0,0.0
8466067ffffffff,17.0,0.0,0.0,0.0
846606bffffffff,12.0,0.0,0.0,0.0
8466081ffffffff,80.0,0.0,0.0,0.0
8466085ffffffff,8.0,0.0,0.0,0.0
