cell_id,Suthora nipalensis,Suthora nipalensis nipalensis/garhwalensis,Suthora nipalensis humii/crocotia,Suthora nipalensis poliotis/feae,Suthora nipalensis ripponi/patriciae,Suthora nipalensis beaulieu/kamoli
843c029ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
843c02dffffffff,27.0,0.0,0.0,0.0,0.0,0.0
843c063ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
843c0a3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,164.0,0.0,1.0,0.0,0.0,0.0
843c0a9ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
843c0adffffffff,45.0,0.0,0.0,0.0,0.0,0.0
843c0b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843c0b7ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
843c0e7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843c199ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,52.0,0.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,223.0,0.0,16.0,0.0,0.0,0.0
843c1dbffffffff,7.0,0.0,0.0,0.0,0.0,0.0
843c315ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843c33bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843c437ffffffff,4.0,0.0,0.0,3.0,0.0,0.0
843c521ffffffff,40.0,0.0,0.0,0.0,0.0,0.0
843c525ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843c527ffffffff,136.0,0.0,0.0,0.0,0.0,0.0
843c533ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
843c565ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843c581ffffffff,261.0,0.0,0.0,0.0,0.0,0.0
843c589ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843c5cbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843c5d5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843cd8bffffffff,22.0,0.0,0.0,0.0,12.0,0.0
843cdd5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843ce49ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
843ce4dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843ce51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843ce53ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843ce59ffffffff,42.0,0.0,0.0,0.0,0.0,0.0
843ce5bffffffff,27.0,0.0,0.0,0.0,0.0,0.0
843ce85ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
843ce87ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843cebdffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8440443ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84404c5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84404c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84404ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84404e1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8440591ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84406b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8464825ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846482bffffffff,61.0,0.0,0.0,29.0,0.0,0.0
846482dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8469349ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846934dffffffff,1.0,0.0,0.0,0.0,0.0,1.0
