cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
821217fffffffff,2.0,0.0,0.0
821287fffffffff,49.0,0.0,0.0
82128ffffffffff,1341.0,0.0,0.0
8212a7fffffffff,8.0,0.0,0.0
8212affffffffff,508.0,0.0,0.0
8212c7fffffffff,4929.0,0.0,6.0
8212cffffffffff,7895.0,52.0,3.0
8212d7fffffffff,4557.0,0.0,0.0
8212dffffffffff,10646.0,0.0,0.0
8212e7fffffffff,15.0,0.0,0.0
8212effffffffff,15.0,0.0,0.0
8212f7fffffffff,412.0,0.0,3.0
821387fffffffff,4.0,0.0,0.0
82139ffffffffff,5.0,0.0,0.0
822687fffffffff,26967.0,3598.0,0.0
82268ffffffffff,21798.0,1086.0,0.0
822697fffffffff,7561.0,2.0,0.0
82269ffffffffff,7840.0,349.0,0.0
8226a7fffffffff,207.0,2.0,0.0
8226affffffffff,892.0,14.0,0.0
8226b7fffffffff,2736.0,131.0,0.0
8226d7fffffffff,86.0,0.0,0.0
8226f7fffffffff,2.0,0.0,0.0
822787fffffffff,97.0,7.0,0.0
82278ffffffffff,1.0,0.0,0.0
822797fffffffff,3433.0,55.0,0.0
82279ffffffffff,827.0,16.0,0.0
822807fffffffff,1055.0,0.0,0.0
822817fffffffff,14205.0,0.0,42.0
82281ffffffffff,3898.0,0.0,0.0
822837fffffffff,1473.0,0.0,14.0
822887fffffffff,6406.0,0.0,0.0
82288ffffffffff,4223.0,0.0,0.0
822897fffffffff,7153.0,177.0,0.0
82289ffffffffff,3990.0,3.0,0.0
8228a7fffffffff,161.0,0.0,0.0
8228affffffffff,14949.0,13.0,0.0
8228b7fffffffff,3210.0,6.0,0.0
8228d7fffffffff,7081.0,0.0,0.0
8228dffffffffff,54.0,0.0,0.0
8228f7fffffffff,3551.0,0.0,0.0
822917fffffffff,43.0,0.0,0.0
822987fffffffff,1084.0,0.0,0.0
82298ffffffffff,22063.0,0.0,1578.0
822997fffffffff,4996.0,20.0,0.0
82299ffffffffff,1346.0,0.0,0.0
8229a7fffffffff,25442.0,0.0,0.0
8229affffffffff,10560.0,0.0,99.0
8229b7fffffffff,2224.0,122.0,0.0
82485ffffffffff,572.0,0.0,0.0
8248c7fffffffff,2150.0,191.0,0.0
8248cffffffffff,10193.0,756.0,0.0
8248d7fffffffff,1352.0,59.0,0.0
8248dffffffffff,20358.0,1371.0,0.0
8248effffffffff,6361.0,5.0,0.0
8248f7fffffffff,288.0,0.0,0.0
