cell_id,Elaenia fallax,Elaenia fallax fallax,Elaenia fallax cherriei
8445b21ffffffff,1.0,0.0,0.0
8445b27ffffffff,29.0,0.0,0.0
8445b2dffffffff,13.0,1.0,0.0
844c887ffffffff,1.0,0.0,0.0
844c893ffffffff,10.0,0.0,1.0
844c897ffffffff,5.0,0.0,0.0
844c8bdffffffff,1.0,0.0,0.0
844cd0dffffffff,6.0,0.0,0.0
844cd29ffffffff,55.0,0.0,12.0
844cd2dffffffff,76.0,0.0,25.0
844cd45ffffffff,166.0,0.0,39.0
844cd47ffffffff,14.0,0.0,0.0
844cd4dffffffff,3.0,0.0,0.0
844cd67ffffffff,7.0,0.0,2.0
844cd69ffffffff,4.0,0.0,0.0
844cd6bffffffff,1.0,0.0,1.0
8467251ffffffff,16.0,0.0,0.0
8467255ffffffff,20.0,0.0,0.0
846725bffffffff,386.0,0.0,85.0
846725dffffffff,11.0,0.0,0.0
8467261ffffffff,1.0,0.0,0.0
8467267ffffffff,13.0,0.0,0.0
8467305ffffffff,14.0,0.0,0.0
8467329ffffffff,198.0,27.0,0.0
