cell_id,Lophura inornata,Lophura inornata hoogerwerfi,Lophura inornata inornata
82650ffffffffff,2.0,0.0,0.0
82652ffffffffff,1.0,0.0,0.0
826557fffffffff,2.0,1.0,0.0
826577fffffffff,1.0,0.0,0.0
828c1ffffffffff,6.0,0.0,0.0
828cd7fffffffff,77.0,0.0,6.0
