cell_id,Cyanistes cyanus,Cyanistes cyanus [cyanus Group],Cyanistes cyanus [flavipectus Group]
840bb01ffffffff,2.0,0.0,0.0
8410c23ffffffff,22.0,0.0,0.0
8410c27ffffffff,6.0,0.0,0.0
8410c35ffffffff,3.0,0.0,0.0
8410c67ffffffff,1.0,0.0,0.0
8410dc1ffffffff,6.0,0.0,0.0
8410dc9ffffffff,33.0,0.0,0.0
8410dcdffffffff,1.0,0.0,0.0
84118cdffffffff,1.0,0.0,0.0
8411a8dffffffff,1.0,0.0,0.0
8411ae3ffffffff,107.0,17.0,0.0
8414ae5ffffffff,59.0,0.0,0.0
8414aedffffffff,2.0,0.0,0.0
8414d65ffffffff,1.0,0.0,0.0
8415923ffffffff,5.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
841592bffffffff,3.0,0.0,0.0
841598bffffffff,4.0,0.0,0.0
8415b07ffffffff,2.0,0.0,0.0
841e643ffffffff,3.0,0.0,0.0
841e64dffffffff,3.0,0.0,0.0
841f591ffffffff,7.0,0.0,0.0
841f593ffffffff,6.0,0.0,0.0
841f59bffffffff,1.0,0.0,0.0
841f59dffffffff,1.0,0.0,0.0
841f735ffffffff,1.0,0.0,0.0
84200adffffffff,40.0,17.0,0.0
84200e3ffffffff,4.0,2.0,0.0
8420123ffffffff,4.0,0.0,4.0
8420125ffffffff,12.0,0.0,11.0
8420127ffffffff,4.0,0.0,4.0
842013bffffffff,1.0,0.0,1.0
842013dffffffff,11.0,0.0,10.0
8420185ffffffff,1.0,0.0,0.0
8420187ffffffff,16.0,8.0,0.0
8420193ffffffff,1.0,0.0,0.0
84201a3ffffffff,9.0,0.0,1.0
84201abffffffff,13.0,0.0,3.0
84201b7ffffffff,2.0,0.0,1.0
84201bdffffffff,16.0,0.0,0.0
84201d3ffffffff,4.0,3.0,0.0
84204a1ffffffff,2.0,0.0,0.0
84204a5ffffffff,20.0,4.0,0.0
84204a7ffffffff,6.0,0.0,0.0
84204b5ffffffff,9.0,2.0,0.0
8420591ffffffff,7.0,0.0,0.0
84205abffffffff,1.0,0.0,0.0
84205b9ffffffff,17.0,5.0,0.0
84205e9ffffffff,3.0,2.0,0.0
842075bffffffff,1.0,0.0,0.0
8420803ffffffff,2.0,0.0,2.0
8420807ffffffff,5.0,0.0,4.0
8420809ffffffff,2.0,0.0,1.0
8420815ffffffff,4.0,0.0,2.0
8420833ffffffff,1.0,0.0,0.0
8420839ffffffff,7.0,0.0,7.0
842083dffffffff,2.0,0.0,2.0
8420841ffffffff,2.0,0.0,2.0
8420847ffffffff,1.0,0.0,1.0
842084bffffffff,1.0,0.0,1.0
84208d3ffffffff,1.0,1.0,0.0
84208d7ffffffff,3.0,0.0,0.0
8420a05ffffffff,7.0,0.0,7.0
8420a19ffffffff,1.0,0.0,0.0
8420a1bffffffff,1.0,0.0,1.0
8420a25ffffffff,3.0,0.0,3.0
8420a27ffffffff,29.0,0.0,28.0
8420a29ffffffff,1.0,0.0,1.0
8420a2bffffffff,6.0,0.0,6.0
8420a53ffffffff,5.0,0.0,4.0
8420a65ffffffff,13.0,0.0,12.0
