cell_id,Sporophila leucoptera,Sporophila leucoptera bicolor,Sporophila leucoptera [leucoptera Group]
835f22fffffffff,8.0,0.0,0.0
838040fffffffff,6.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838100fffffffff,2.0,0.0,0.0
838102fffffffff,55.0,0.0,1.0
838106fffffffff,57.0,0.0,3.0
838113fffffffff,2.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0
838121fffffffff,4.0,0.0,0.0
838124fffffffff,80.0,0.0,3.0
838126fffffffff,2.0,0.0,0.0
838130fffffffff,11.0,0.0,0.0
838132fffffffff,64.0,0.0,3.0
838133fffffffff,164.0,0.0,10.0
838134fffffffff,19.0,0.0,0.0
838136fffffffff,24.0,0.0,2.0
838140fffffffff,8.0,0.0,0.0
838141fffffffff,2.0,0.0,0.0
838142fffffffff,3.0,0.0,0.0
838143fffffffff,3.0,0.0,0.0
838144fffffffff,6.0,0.0,0.0
838145fffffffff,5.0,0.0,0.0
838146fffffffff,5.0,0.0,0.0
83814efffffffff,2.0,0.0,0.0
83815cfffffffff,2.0,0.0,0.0
838162fffffffff,15.0,0.0,0.0
838163fffffffff,5.0,0.0,0.0
838166fffffffff,2.0,0.0,0.0
838171fffffffff,46.0,0.0,0.0
838180fffffffff,3.0,0.0,0.0
838181fffffffff,4.0,0.0,0.0
838185fffffffff,7.0,0.0,0.0
8381adfffffffff,4.0,0.0,0.0
838b01fffffffff,8.0,0.0,0.0
838b04fffffffff,2.0,0.0,0.0
838b08fffffffff,47.0,0.0,0.0
838b0cfffffffff,93.0,0.0,0.0
838b0dfffffffff,7.0,0.0,0.0
838b0efffffffff,9.0,0.0,0.0
838b22fffffffff,214.0,0.0,0.0
838b23fffffffff,29.0,0.0,0.0
838b2afffffffff,100.0,0.0,0.0
838b2efffffffff,2.0,0.0,0.0
838b31fffffffff,7.0,0.0,0.0
838b56fffffffff,14.0,0.0,0.0
838b76fffffffff,5.0,0.0,0.0
838ba0fffffffff,3.0,0.0,0.0
838ba2fffffffff,1.0,0.0,0.0
838ba4fffffffff,2.0,0.0,0.0
838ba6fffffffff,65.0,0.0,2.0
838bb5fffffffff,19.0,0.0,0.0
83a596fffffffff,48.0,0.0,0.0
83a801fffffffff,4.0,0.0,0.0
83a802fffffffff,2.0,0.0,0.0
83a803fffffffff,4.0,0.0,0.0
83a806fffffffff,2.0,0.0,1.0
83a80bfffffffff,1.0,0.0,0.0
83a80dfffffffff,2.0,0.0,0.0
83a80efffffffff,4.0,0.0,0.0
83a810fffffffff,220.0,0.0,1.0
83a811fffffffff,71.0,0.0,3.0
83a812fffffffff,273.0,0.0,5.0
83a813fffffffff,72.0,0.0,7.0
83a814fffffffff,24.0,0.0,0.0
83a815fffffffff,7.0,0.0,0.0
83a816fffffffff,1.0,0.0,0.0
83a818fffffffff,70.0,0.0,0.0
83a819fffffffff,76.0,0.0,0.0
83a81afffffffff,38.0,0.0,0.0
83a81bfffffffff,72.0,0.0,0.0
83a81cfffffffff,98.0,0.0,0.0
83a81dfffffffff,11.0,0.0,0.0
83a81efffffffff,449.0,0.0,0.0
83a829fffffffff,30.0,0.0,0.0
83a82afffffffff,2.0,0.0,0.0
83a833fffffffff,17.0,0.0,0.0
83a840fffffffff,169.0,0.0,0.0
83a841fffffffff,17.0,0.0,0.0
83a842fffffffff,1.0,0.0,0.0
83a844fffffffff,6.0,0.0,0.0
83a845fffffffff,25.0,0.0,0.0
83a846fffffffff,17.0,0.0,0.0
83a84afffffffff,8.0,0.0,4.0
83a84efffffffff,3.0,0.0,0.0
83a851fffffffff,2.0,0.0,0.0
83a855fffffffff,5.0,0.0,0.0
83a859fffffffff,324.0,0.0,10.0
83a85bfffffffff,1.0,0.0,0.0
83a85dfffffffff,247.0,0.0,3.0
83a860fffffffff,2.0,0.0,0.0
83a861fffffffff,5.0,0.0,0.0
83a862fffffffff,11.0,0.0,0.0
83a863fffffffff,1.0,0.0,0.0
83a864fffffffff,14.0,0.0,0.0
83a870fffffffff,4.0,0.0,0.0
83a871fffffffff,3.0,0.0,0.0
83a873fffffffff,19.0,0.0,0.0
83a874fffffffff,1.0,0.0,0.0
83a875fffffffff,2.0,0.0,0.0
83a876fffffffff,11.0,0.0,0.0
83a880fffffffff,41.0,0.0,3.0
83a881fffffffff,3.0,0.0,0.0
83a882fffffffff,4.0,0.0,0.0
83a883fffffffff,5.0,0.0,0.0
83a884fffffffff,86.0,0.0,0.0
83a885fffffffff,6.0,0.0,0.0
83a886fffffffff,21.0,0.0,0.0
83a888fffffffff,2.0,0.0,0.0
83a88afffffffff,2.0,0.0,0.0
83a88bfffffffff,5.0,0.0,0.0
83a88cfffffffff,3.0,0.0,0.0
83a88dfffffffff,83.0,0.0,6.0
83a891fffffffff,24.0,0.0,0.0
83a893fffffffff,2.0,0.0,0.0
83a895fffffffff,5.0,0.0,0.0
83a89bfffffffff,1.0,0.0,0.0
83a89cfffffffff,1.0,0.0,0.0
83a8a0fffffffff,34.0,0.0,0.0
83a8a1fffffffff,256.0,0.0,6.0
83a8a2fffffffff,87.0,0.0,2.0
83a8a3fffffffff,58.0,0.0,0.0
83a8a5fffffffff,75.0,0.0,9.0
83a8a8fffffffff,2.0,0.0,0.0
83a8a9fffffffff,29.0,0.0,5.0
83a8aafffffffff,11.0,0.0,0.0
83a8abfffffffff,16.0,0.0,0.0
83a8acfffffffff,93.0,0.0,4.0
83a8adfffffffff,20.0,0.0,0.0
83a8aefffffffff,25.0,0.0,0.0
83a8b1fffffffff,4.0,0.0,0.0
83a8c0fffffffff,56.0,0.0,0.0
83a8c2fffffffff,26.0,0.0,12.0
83a8c6fffffffff,1.0,0.0,0.0
83a8c8fffffffff,1.0,0.0,0.0
83a8ccfffffffff,2.0,0.0,1.0
83a8cefffffffff,1.0,0.0,0.0
83a8d0fffffffff,10.0,0.0,0.0
83a8d1fffffffff,64.0,0.0,1.0
83a8d3fffffffff,2.0,0.0,0.0
83a8d4fffffffff,9.0,0.0,0.0
83a8d9fffffffff,1.0,0.0,0.0
83a8dafffffffff,2.0,0.0,0.0
83a8e0fffffffff,1.0,0.0,0.0
83a8e4fffffffff,2.0,0.0,0.0
83a8e6fffffffff,8.0,0.0,0.0
83a8ecfffffffff,5.0,0.0,0.0
83a8f3fffffffff,1.0,0.0,0.0
83a8f4fffffffff,11.0,0.0,0.0
83a8f5fffffffff,4.0,0.0,0.0
83a940fffffffff,14.0,0.0,0.0
83a941fffffffff,270.0,0.0,0.0
83a942fffffffff,22.0,0.0,0.0
83a943fffffffff,17.0,0.0,0.0
83a944fffffffff,42.0,0.0,2.0
83a945fffffffff,73.0,0.0,0.0
83a946fffffffff,229.0,0.0,0.0
83a94cfffffffff,12.0,0.0,0.0
83a94efffffffff,987.0,0.0,0.0
83a953fffffffff,11.0,0.0,0.0
83a959fffffffff,8.0,0.0,0.0
83a95cfffffffff,7.0,0.0,0.0
83a95dfffffffff,118.0,0.0,0.0
83a95efffffffff,8.0,0.0,0.0
83a961fffffffff,69.0,0.0,0.0
83a962fffffffff,13.0,0.0,0.0
83a963fffffffff,6.0,0.0,0.0
83a96afffffffff,122.0,0.0,0.0
83a96efffffffff,42.0,0.0,0.0
83b360fffffffff,5.0,0.0,0.0
83b364fffffffff,1.0,0.0,0.0
83c2c9fffffffff,8.0,0.0,0.0
83c2cafffffffff,2.0,0.0,0.0
