cell_id,Cynanthus canivetii,Cynanthus canivetii canivetii,Cynanthus canivetii salvini/osberti
824507fffffffff,436.0,42.0,0.0
82450ffffffffff,3689.0,629.0,0.0
82451ffffffffff,11.0,6.0,0.0
824527fffffffff,1287.0,14.0,284.0
82452ffffffffff,3159.0,289.0,0.0
824537fffffffff,1460.0,67.0,93.0
824577fffffffff,192.0,48.0,0.0
824997fffffffff,1049.0,119.0,0.0
82499ffffffffff,81.0,0.0,0.0
8266b7fffffffff,130.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0
826d07fffffffff,251.0,78.0,0.0
826d27fffffffff,829.0,136.0,0.0
826d2ffffffffff,465.0,60.0,83.0
826d37fffffffff,320.0,39.0,0.0
826d67fffffffff,1447.0,0.0,365.0
826d6ffffffffff,6465.0,0.0,2.0
826d77fffffffff,376.0,0.0,9.0
